,Mês,Preparação do Terreno %,Construção de Edifícios e Obras Civis %,Obras de Infraestrutura para Eng. Elétrica e Telecom. %,Obras de Instalações %,Obras de Acabamento %,"Aluguel de Equipamentos de Construção e Demolição, com Operador %"
0,jan/12,1.8,-8.9,-11.9,-6.9,-14.3,-13.8
1,fev/12,-0.8,-6.9,-11.1,-4.6,-12.4,-4.7
2,mar/12,-3.7,-3.8,-15.2,-2.8,-0.6,-0.1
3,abr/12,-9.4,-9.7,-13.2,-8.4,-0.1,15.8
4,mai/12,-5.6,-9.6,-16.5,-11.3,-8.1,3.8
5,jun/12,-2.3,-10.1,-11.8,-6.8,-4.0,-6.3
6,jul/12,-8.1,-10.5,-19.0,-9.7,-0.2,-9.2
7,ago/12,-6.9,-9.1,-16.3,-8.6,-10.3,-17.1
8,set/12,-4.2,-2.1,-13.2,-3.6,-4.6,6.5
9,out/12,-5.1,-1.3,-13.9,-4.4,4.5,-1.0
10,nov/12,-11.0,-3.8,-1.6,-6.8,1.2,11.2
11,dez/12,-7.3,-3.0,-6.5,-7.0,2.5,5.6
