,Mês,Preparação do Terreno,Construção de Edifícios e Obras Civis,Obras de Infraestrutura para Eng. Elétrica e Telecom.,Obras de Instalações,Obras de Acabamento,"Aluguel de Equipamentos de Construção e Demolição, com Operador"
0,jan/12,138.1,129.8,121.0,132.4,123.9,114.1
1,fev/12,138.2,131.1,121.9,136.1,128.8,119.9
2,mar/12,134.1,129.5,111.3,134.4,134.8,132.1
3,abr/12,123.4,122.3,122.4,130.4,137.8,136.3
4,mai/12,130.6,125.2,122.2,129.6,126.2,144.2
5,jun/12,130.3,123.9,116.9,127.2,126.9,125.7
6,jul/12,125.2,121.1,112.3,124.6,132.6,129.1
7,ago/12,124.7,119.3,115.6,128.2,132.8,119.7
8,set/12,122.6,122.4,111.9,129.6,131.3,129.8
9,out/12,118.5,120.3,115.0,130.4,128.1,119.0
10,nov/12,110.0,120.4,115.3,128.2,127.0,123.8
11,dez/12,120.5,121.5,117.0,127.4,129.9,109.1
