,Mês,Preparação do Terreno,Construção de Edifícios e Obras Civis,Obras de Infraestrutura para Eng. Elétrica e Telecom.,Obras de Instalações,Obras de Acabamento,"Aluguel de Equipamentos de Construção e Demolição, com Operador"
0,jan/12,117.2,120.7,117.3,126.4,128.6,111.5
1,fev/12,116.9,117.8,111.8,121.3,115.5,134.0
2,mar/12,115.7,121.9,106.3,123.5,115.2,118.7
3,abr/12,115.1,121.3,107.0,122.2,127.4,111.3
4,mai/12,128.2,122.3,103.7,126.0,127.7,103.6
5,jun/12,118.3,118.6,104.8,122.2,126.9,106.4
6,jul/12,113.6,117.9,93.1,127.1,123.4,100.7
7,ago/12,121.6,113.7,98.8,123.5,125.4,97.5
8,set/12,119.1,117.8,95.5,127.0,123.8,92.4
9,out/12,119.3,118.1,106.7,120.5,114.4,99.8
10,nov/12,117.3,116.1,105.0,126.2,116.4,95.9
11,dez/12,115.0,116.3,102.7,123.7,111.4,104.4
