,"Código
PRODLIST
Construção",Classes de atividades                                                                                                                                                                                                                                                                         e                                                                                                                                                   descrição de produtos,"Valor das incorporações,
 obras e/ou
serviços da
construção
(1 000 R$)","Como contratante
única ou principal Número
de
informantes","Como contratante
única ou principal Valor
(1 000 R$)","Como subcontratada Número
de
informantes","Como subcontratada Valor
(1 000 R$)"
3,,                    Total,281691744,15772,259686695,2797,22005049
4,4110,Incorporação de empreendimentos imobiliários,6894372,471,6894372,-,-
5,4110.2010,    Incorporação de empreendimentos imobiliários executados por terceiros,6894372,471,6894372,-,-
6,4120,Construção de edifícios,110750928,7372,103866986,862,6883942
7,4120.2010," Edifícios comerciais (shoppings, supermercados, lojas, etc.)",10697985,621,9382317,105,1315669
8,4120.2020 ," Edifícios industriais (fábricas, oficinas, galpões industriais, etc.)",9702819,278,8372026,31,1330793
9,4120.2030 ," Edifícios não residenciais não especificados anteriormente   (hospitais, escolas, hotéis, garagens, estádios, etc.)",10625667,753,10158976,69,466691
10,4120.2040, Edifícios residenciais,57187657,3523,55059651,341,2128006
11,4120.2050 ," Estações de embarque e desembarque (rodoviárias,    aeroportos, portos, estações de metrô e trens, etc.)",1348534,23,1343843,1,4690
12,4120.9010 , Serviços de montagem de edifícios não residenciais    pré-fabricados,505503,22,477518,5,27986
13,4120.9020 ,    Serviços de montagem de edifícios residenciais  pré-fabricados,353865,33,347876,3,5989
14,4120.9030 , Serviços de reforma ou manutenção de edifícios    não residenciais,8030643,808,7552341,78,478302
15,4120.9040 , Serviços de reforma ou manutenção de edifícios residenciais,12298254,1313,11172437,227,1125817
16,4211,Construção de rodovias e ferrovias,34559930,817,32957727,118,1602203
17,4211.2010 ," Instalação de sinalização não elétrica em rodovias, ferrovias e    pistas de aeroportos",646724,38,585313,9,61411
18,4211.2020 ," Pavimentação de rodovias, autoestradas e outras vias    não urbanas",13214178,399,12237040,65,977138
19,4211.2030 , Pistas de aeroportos,113991,5,107056,1,6935
20,4211.2040 ," Rodovias, autoestradas e outras vias não urbanas",8742880,135,8494625,11,248255
21,4211.2050 , Vias férreas e metropolitanos,3564940,45,3451462,2,113478
22,4211.9010 , Serviços de recuperação ou reforma de ferrovias,342507,17,324346,5,18160
23,4211.9020 , Serviços de recuperação ou reforma de pistas de aeroportos,20654,1,20654,-,-
24,4211.9030 , Serviços de recuperação ou reforma de rodovias,7914056,178,7737231,25,176825
25,4212,Construção de obras de arte especiais,5626138,138,5512324,25,113814
26,,   túneis e outras obras de arte especiais,1511806,34,1487074,10,24732
27,4213,"Obras de urbanização - ruas, praças e calçadas",7323166,507,6984092,59,339073
28,4213.2010 , Instalação de sinalização não elétrica em vias urbanas,67610,13,51554,8,16057
29,4213.2020 ," Ruas, praças, calçadas e outras obras de urbanização",4747820,305,4570048,27,177772
30,4213.9010 ," Serviços de recuperação de ruas, praças, calçadas e outras    obras de urbanização",2507736,189,2362491,24,145245
31,4221,Obras para geração e distribuição de energia elétrica e para telecomunicações,22698359,470,18765113,104,3933246
32,4221.2010, Barragens ou represas para geração de energia elétrica,2293112,21,2018623,5,274489
33,4221.2020 , Redes de transmissão e distribuição de energia elétrica,2924355,119,2434757,24,489597
34,,   outras obras para geração de energia elétrica,121069,12,87272,2,33798
35,4221.9020 , Serviços de manutenção de redes e torres de telecomunicações,2912587,75,2555336,17,357251
36,4221.9030 , Serviços de manutenção de redes de transmissão e  distribuição de energia elétrica,3992326,171,3484022,38,508304
