,"Código
PRODLIST
Construção","Classes de atividades                                                                                                                                                                                                                                                                         e
descrição de produtos","Valor das incorporações,
 obras e/ou
serviços da
construção
(1 000 R$)","Como contratante
única ou principal Número
de
informantes","Como contratante
única ou principal Valor
(1 000 R$)","Como subcontratada Número
de
informantes","Como subcontratada Valor
(1 000 R$)"
3,4222,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",6637832,399,6386318,53,251515
4,4222.2010 ," Obras de irrigação (barragens, canais, etc.)",283272,15,276245,4,7028
5,4222.2020 , Redes de distribuição de água,1256951,82,1158630,12,98321
6,4222.2030 ," Redes de esgotos, interceptores, estações de tratamento   ou galerias pluviais",3659840,205,3553219,23,106621
7,4222.9010 , Serviços de manutenção de redes de distribuição de água,276496,25,276101,2,395
8,4222.9020 ," Serviços de manutenção de redes de esgotos,   interceptores, estações de tratamento ou galerias pluviais",1161272,73,1122122,11,39150
9,4223,"Construção de redes de transportes por duto, exceto para água e esgoto",3232924,41,3059219,8,173704
10,4223.2010 ," Dutos (oleodutos, gasodutos, minerodutos, etc.)",2132456,28,2033625,6,98832
11,4223.9010 ," Serviços de manutenção de dutos (oleodutos,   gasodutos, minerodutos, etc.)",1100467,14,1025595,2,74872
12,4291,"Obras portuárias, marítimas e fluviais",5371841,70,5135187,15,236653
13,4291.2010 , Dragagem e aterro hidráulico,580107,24,451027,4,129080
14,4291.2020 , Instalação de cabos submarinos,16361,-,-,1,16361
15,4291.2030 ," Obras marítimas e fluviais (portos, marinas, diques, etc.)",4560920,34,4475335,9,85585
16,4291.9010," Serviço de manutenção de obras marítimas   e fluviais (portos, marinas, diques, etc.)",214453,12,208825,1,5627
17,4292,Montagem de instalações industriais e de estruturas metálicas,19213811,245,18472292,62,741519
18,4292.2010 , Montagem de estruturas metálicas permanentes,2892606,147,2549737,43,342869
19,4292.2020 , Plantas de mineração,1397153,12,1397153,-,-
20,4292.2030 ," Plantas e instalações industriais (tubulações, redes   de facilidades, etc.)",14924052,86,14525401,19,398650
21,4299,Obras de engenharia civil não especificadas anteriormente,17490694,676,16257944,109,1232750
22,4299.2010 ," Quadras, piscinas, pistas de competição e outras    instalações esportivas e recreativas semelhantes",875894,52,855185,2,20709
23,4299.2020 , Obras de engenharia civil não especificadas anteriormente,12563610,503,11651748,88,911862
24,4299.9010 , Serviços de recuperação de obras de engenharia civil   não especificadas anteriormente,4051190,121,3751011,19,300179
25,4311,Demolição e preparação de canteiros de obras,1512161,118,1456412,37,55749
26,4311.2010 , Demolição de edifícios e outras estruturas,1097555,61,1066722,21,30832
27,4311.2020 , Preparação de canteiros de obras,155123,40,139577,11,15546
28,4311.9010 , Serviços de aluguel e operação de equipamentos de   demolição,259484,16,250113,5,9371
29,4312,Perfurações e sondagens,1379828,84,1354858,16,24970
30,4312.2010 , Perfurações e sondagens,1379828,84,1354858,16,24970
31,4313,Obras de terraplenagem,8858196,573,7904348,113,953848
32,4313.2010 , Derrocamentos,486234,10,475786,1,10448
33,4313.2020 , Escavação e movimentação de terras - terraplenagem,7693786,481,6888732,92,805055
34,4313.9010 , Serviços de aluguel e operação de equipamentos    de terraplenagem,678176,82,539831,20,138345
35,4319,Serviços de preparação do terreno não  especificados anteriormente,520571,87,475086,19,45486
36,4319.2010 , Drenagem,367401,64,339812,9,27589
37,4319.2020 , Rebaixamento de lençol freático,9054,5,6910,2,2144
38,4319.2030 , Outros tipos de preparações de terreno não    especificadas anteriormente,144116,18,128364,7,15753
