,"Grandes Regiões 
e
Unidades da Federação
da sede da empresa","Número
de
empresas ativas","Pessoal ocupado
em 31.12","Salários, retiradas e
outras remunerações 1 000 R$","Valor das incorporações,
obras e/ou serviços
da construção 1 000 R$"
3,Total das empresas,,,,
4,Brasil,104338,2814268,60317120,336591352
5,Norte,3516,113007,1756719,10591102
6,Nordeste,13992,545394,8525738,47886269
7,Sudeste,51213,1551982,39174690,208644745
8,Sul,27437,391423,7022470,44691792
9,Centro-Oeste,8180,212462,3837503,24777444
10,Empresas de 1 a 4 pessoas ocupadas,,,,
11,Brasil,48399,140403,1758835,11796992
12,Norte,1333,6324,74727,482466
13,Nordeste,5883,23023,276198,1826419
14,Sudeste,23712,65727,799657,5002019
15,Sul,13914,34592,455598,3328949
16,Centro-Oeste,3557,10736,152654,1157138
17,Empresas com 5 ou mais pessoas ocupadas,,,,
18,Brasil,55939,2673865,58558285,324794360
19, Norte,2184,106683,1681992,10108636
20,Rondônia,332,9963,160748,929010
21,Acre,147,7031,99041,731132
22,Amazonas,505,24382,457823,2975199
23,Roraima,71,3283,45619,269186
24,Pará,776,49299,747047,4184765
25,Amapá,110,4262,55615,287703
26,Tocantins,241,8462,116098,731642
27,Nordeste,8108,522371,8249541,46059849
28,Maranhão,546,46588,498829,3016635
29,Piauí,372,28775,334933,1829762
30,Ceará,1252,87289,1352101,7906474
31,Rio Grande do Norte,812,37180,499756,3216308
32,Paraíba,945,36673,454776,2436548
33,Pernambuco,1399,88167,1448155,7700603
34,Alagoas,402,26528,336171,2233838
35,Sergipe,308,24359,499621,2665731
36,Bahia,2073,146812,2825198,15053951
37,Sudeste,27500,1486255,38375033,203642726
38,Minas Gerais,6944,359675,8402844,43205761
39,Espírito Santo,1445,50132,767992,5114782
40,Rio de Janeiro,4035,307913,8243321,41536056
41,São Paulo,15076,768535,20960876,113786127
42, Sul,13523,356832,6566872,41362843
43,Paraná,4629,138729,2758061,16567253
44,Santa Catarina,3888,92502,1605734,10915933
45,Rio Grande do Sul,5007,125601,2203076,13879657
46,Centro-Oeste,4623,201725,3684848,23620306
47,Mato Grosso do Sul,661,25264,395434,2397489
48,Mato Grosso,948,33088,586327,3218521
49,Goiás,1773,82604,1482701,8545808
50,Distrito Federal,1241,60769,1220387,9458488
