,"Códigos
da 
CNAE
2.0","Divisões, grupos
 e
classes de atividades","Número
de 
empresas                                                ativas",,"Pessoal
ocupado
em
31.12",,Custos e despesas Total (1 000 R$),,Custos e despesas Gastos de pessoal Total (1 000 R$),,"Custos e despesas Gastos de pessoal Salários, retiradas e outras remunerações (1 000 R$)",
5,,                      Total das empresas,104338,A,2814268,A,278313263,A,90477657,A,60317120,A
6,,Empresas de 1 a 4 pessoas ocupadas,48399,A,140403,B,7349326,B,2229173,B,1758835,B
7,41,Construção de edifícios,16983,B,55021,B,3496932,B,871223,B,641158,B
8,42,Obras de infraestrutura,3862,B,12718,B,870568,C,239041,C,189958,C
9,43,Serviços especializados para construção,27554,B,72664,B,2981826,B,1118909,B,927718,B
10,,Empresas de 5 a 29 pessoas ocupadas,41267,A,491985,A,30432810,A,10193968,A,7387677,A
11,41,Construção de edifícios,18448,A,229602,A,17585000,B,4974164,B,3464518,B
12,41.1,    Incorporação e empreendimentos imobiliários,681,C,9475,C,1420377,D,216085,C,144105,C
13,41.2,    Construção de edifícios,17767,A,220127,A,16164623,B,4758079,B,3320413,B
14,42,Obras de infraestrutura,3857,B,45002,B,2608653,B,902589,B,655424,B
15,42.1,"        Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1392,B,16532,B,1103447,B,302037,B,218555,B
16,42.2,"       Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",677,B,9844,B,503546,B,220058,B,159540,B
17,42.9,     Construção de outras obras de infraestrutura,1788,B,18625,B,1001660,B,380494,B,277329,B
18,43,Serviços especializados para construção,18963,A,217381,A,10239156,B,4317215,B,3267735,A
19,43.1,      Demolição e preparação do terreno,2312,B,24765,B,1691247,B,516331,B,382404,B
20,43.2,"      Instalações elétricas, hidráulicas e outras instalações  em construções",6026,B,71527,B,3764903,B,1615039,B,1235913,B
21,43.3,      Obras de acabamento,5361,B,54260,B,1751124,B,879920,B,688838,B
22,43.9,      Outros serviços especializados para construções,5263,B,66828,B,3031882,B,1305925,B,960580,B
23,,Empresas com 30 ou mais pessoas ocupadas ,14671,A,2181880,A,240531127,A,78054515,A,51170608,A
24,41,Construção de edifícios,7321,A,879414,A,91067118,A,25024662,A,16655299,A
25,41.1,    Incorporação e empreendimentos imobiliários,246,B,26265,A,5743585,B,1138147,B,756077,B
26,41.10,        Incorporação e empreendimentos imobiliários,246,B,26265,A,5743585,B,1138147,B,756077,B
27,41.2,    Construção de edifícios,7075,A,853149,A,85323532,A,23886514,A,15899223,A
28,41.20,        Construção de edifícios,7075,A,853149,A,85323532,A,23886514,A,15899223,A
29,42,Obras de infraestrutura,2748,A,885730,A,119925815,A,41134010,A,26592905,A
30,42.1,"    Construção de rodovias, ferrovias, obras urbanas",,,,,,,,,,
31,42.12,        Construção de obras de arte especiais,81,B,50641,A,7539390,A,2566715,A,1643147,A
32,42.13,"        Obras de urbanização - ruas, praças e calçadas",307,A,55723,A,7130417,B,2097443,A,1411941,A
33,42.2,"     Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",774,A,269047,A,27336727,A,11569531,A,7474078,A
34,42.21,        Obras para geração e distribuição de energia elétrica e para telecomunicações,498,A,210262,A,20312639,A,9160581,A,5944311,A
35,42.22,"             Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",241,A,44838,A,4444316,A,1399488,A,904582,A
36,42.23,"          Construção de redes de transportes por dutos,exceto para água e esgoto",35,B,13948,B,2579773,B,1009463,A,625185,A
37,42.9,     Construção de outras obras de infraestrutura,899,A,324704,B,46200019,B,16720421,B,10740244,B
38,42.91,"        Obras portuárias, marítimas e fluviais",32,B,67870,C,10564065,C,4032913,C,2644339,C
39,42.92,                 Montagem de instalações industriais e de estruturas metálicas,266,A,136326,B,18765667,B,7115654,B,4453186,B
40,42.99,                 Obras de engenharia civil não especificada anteriormente,601,A,120507,A,16870286,B,5571854,A,3642719,A
41,43,Serviços especializados para construção,4603,A,416737,A,29538195,A,11895844,A,7922404,A
42,43.1,      Demolição e preparação do terreno,627,A,63172,A,7009849,A,2236657,A,1476925,A
43,43.11,         Demolição e preparação de canteiros de obras,71,B,6714,B,614670,C,236499,C,161046,C
44,43.12,         Perfurações e sondagens,71,B,7997,B,800965,B,318464,B,201308,B
45,43.13,         Obras de terraplenagem,456,A,45133,A,5340611,A,1600694,A,1060083,A
46,43.19,          Serviços de preparação do terreno não especificados anteriormente,29,B,3329,B,253604,B,81000,B,54488,B
47,43.2,"      Instalações elétricas, hidráulicas e outras instalações  em construções",1304,A,136819,A,8972898,A,4060268,A,2684820,A
48,43.21,         Instalações elétricas,695,A,74959,A,4533109,A,2150640,A,1417601,A
49,43.22,"                   Instalações hidráulicas, de sistemas de ventilação e refrigeração",429,A,40802,A,2748507,A,1205170,A,816432,A
50,43.29,                 Obras de instalações em construções não especi- ficadas anteriormente,179,B,21058,A,1691283,B,704458,A,450788,A
51,43.3,      Obras de acabamento,1013,A,69573,A,3002701,A,1473684,A,1006031,A
52,43.30,         Obras de acabamento,1013,A,69573,A,3002701,A,1473684,A,1006031,A
53,43.9,      Outros serviços especializados para construção,1659,A,147173,A,10552747,A,4125235,A,2754628,A
54,43.91,         Obras de fundações,279,B,33663,B,2701137,B,1020715,A,675102,A
55,43.99,         Serviços especializados para construção não especificados anteriormente,1380,A,113510,A,7851609,A,3104520,A,2079526,A
