,"Códigos
da 
CNAE
2.0","Divisões,                                                                                           grupos de atividades
 e
 faixas de pessoal ocupado","Número
de 
empresas
ativas","Pessoal
ocupado
em
31.12",Custos e despesas Total 1 000 R$,Custos e despesas Gastos de pessoal Total 1 000 R$,"Custos e despesas Gastos de pessoal Salários,
retiradas e
outras
remune-
rações 1 000 R$","Custos e despesas Custos das obras e/ou
serviços da construção Total 1 000 R$","Custos e despesas Custos das obras e/ou
serviços da construção Consumo
de materiais
de
construção 1000 R$","Custos e despesas Custos de
incorporações de
imóveis construídos
por terceiros Total 1 000 R$","Custos e despesas Custos de
incorporações de
imóveis construídos
por terceiros Materiais
de
construção 1 000 R$","Custos e despesas Outros
custos e
despesas   1000 R$"
5,,          Total,55939,2673865,270963937,88248483,58558285,115009135,67378966,5500589,2695472,62205730
6,,De   5 a 29,41640,471565,34199536,10681695,7677864,15635703,11007860,1419207,445828,6462930
7,,De  30 a 49,5424,205030,16189470,4805801,3348022,7673901,5345304,604024,213085,3105745
8,,De  50 a 99,4615,316403,26355598,7964669,5409038,12166559,7971176,929601,366042,5294769
9,,De 100 a 249,2762,420091,38705080,12225429,8092959,17740235,11416444,927705,471813,7811710
10,,De 250 a 499,875,301573,29756825,9577584,6267910,12500842,7379276,613789,487118,7064609
11,,Com 500 e mais,623,959203,125757429,42993305,27762493,49291893,24258906,1006263,711586,32465967
12,41,Construção de edifícios ,25769,1109016,108652118,29998826,20119817,52474511,34671334,5058076,2343878,21120705
13,,De   5 a 29,18749,220924,20503423,5326833,3679660,10095729,7502921,1388396,435710,3692465
14,,De  30 a 49,2564,97257,9340243,2256007,1557133,4901300,3574387,580919,195903,1602017
15,,De  50 a 99,2328,159821,13999030,3864242,2611740,6993174,4892557,859017,306462,2282597
16,,De 100 a 249,1462,222453,20498366,5987225,4011889,10316011,7199397,849185,423813,3345945
17,,De 250 a 499,414,141176,13448179,3914314,2595872,6031868,3846787,588650,467200,2913347
18,,Com 500 e mais,251,267384,30862876,8650203,5663524,14136428,7655284,791910,514789,7284334
19,41.1,Incorporação de empreendimentos imobiliários,927,35741,7163963,1354233,900181,134823,103284,4094664,1788285,1580243
20,,De   5 a 29,698,7755,2047303,261204,172851,24044,11315,1295440,388877,466615
21,,De  30 a 49,62,2418,648758,102011,70442,10004,5712,369787,99202,166956
22,,De  50 a 99,100,6549,1197651,186488,125324,2899,881,728858,217073,279406
23,,De 100 a 249,43,6712,1094543,285090,183322,7330,7081,563296,252349,238826
24,,De 250 a 499,16,5977,982354,273010,190675,34884,34746,489019,395859,185440
25,,Com 500 e mais,7,6330,1193354,246430,157566,55661,43549,648264,434926,242999
26,41.2,Construção de edifícios,24842,1073276,101488155,28644593,19219636,52339688,34568050,963412,555593,19540462
27,,De   5 a 29,18052,213170,18456120,5065629,3506808,10071685,7491606,92955,46833,3225850
28,,De  30 a 49,2502,94839,8691485,2153997,1486690,4891296,3568676,211132,96702,1435061
29,,De  50 a 99,2227,153272,12801379,3677755,2486416,6990275,4891676,130159,89390,2003190
30,,De 100 a 249,1419,215741,19403823,5702135,3828567,10308681,7192316,285889,171464,3107119
31,,De 250 a 499,397,135200,12465826,3641304,2405196,5996984,3812042,99631,71341,2727907
32,,Com 500 e mais,244,261054,29669522,8403773,5505958,14080767,7611735,143646,79863,7041336
33,42,Obras de infraestrutura,6605,930732,122534468,42036599,27248329,48380131,24620210,320884,272368,31796856
34,,De   5 a 29,3912,43054,3152648,1046576,743482,1468597,1075657,6459,990,631016
35,,De  30 a 49,704,26987,2521299,771965,524834,1175560,755664,9073,8054,564702
36,,De  50 a 99,775,54070,5876132,1593286,1076308,2766659,1585490,14966,13392,1501222
37,,De 100 a 249,644,102251,11312498,3513269,2298427,4993118,2891734,59655,40337,2746456
38,,De 250 a 499,295,104564,11816227,3856322,2485889,4957935,2730895,20109,16531,2981862
39,,Com 500 e mais,276,599805,87855662,31255181,20119389,33018262,15580771,210621,193065,23371598
40,42.1,"Construção de rodovias, ferrovias,obras urbanas e obras de arte",2467,308511,47492516,13146095,8597138,21413642,10888075,176971,145770,12755807
41,,De   5 a 29,1401,14836,1361864,375838,263999,729293,497898,379,229,256354
42,,De  30 a 49,248,9400,1134142,254846,173200,613705,383550,906,592,264686
43,,De  50 a 99,297,20558,2455105,568139,379515,1059729,655793,4903,4160,822334
44,,De 100 a 249,278,44219,5790747,1534745,1018918,2866532,1725808,9338,-,1380133
45,,De 250 a 499,126,43950,6412247,1767446,1141056,2882216,1583886,14065,10486,1748520
46,,Com 500 e mais,117,175549,30338410,8645081,5620450,13262167,6041140,147380,130302,8283782
47,42.2,"  Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por duto",1451,278891,27840274,11789589,7633618,8386667,4303204,15762,14194,7648256
48,,De   5 a 29,685,9316,659275,245956,175934,248732,185171,441,239,164145
49,,De  30 a 49,175,6807,537816,205222,137465,217302,140457,4265,4086,111027
50,,De  50 a 99,213,15133,1268186,484554,330394,462905,293676,1658,1308,319069
51,,De 100 a 249,205,33502,3114165,1183100,765494,1139080,667753,2966,2607,789019
52,,De 250 a 499,89,31651,2771265,1075644,684709,917870,522347,5772,5772,771979
53,,Com 500 e mais,84,182482,19489567,8595112,5539623,5400778,2493799,661,182,5493017
