,"Códigos
da 
CNAE
2.0","Divisões,                                                                                           grupos de atividades
 e
 faixas de pessoal ocupado","
Receita
bruta 
total
1 000 R$","Receita
líquida 1 000 R$","
Valor das
incorporações,
obras e/ou
serviços
da
construção 1 000 R$
","Consumo
intermediário 1 000 R$","Valor bruto
da
produção 1 000 R$","Valor
adicionado
(1) 1 000 R$"
5,,          Total,323862282,301436923,324794360,156134934,308701918,152566984
6,,De   5 a 29,49550409,46077048,48381654,20518699,46058810,25540111
7,,De  30 a 49,21639929,20037126,21634351,10061493,20554229,10492736
8,,De  50 a 99,34078630,31777967,34083278,15993481,32533577,16540096
9,,De 100 a 249,49501147,46236203,49468424,23242225,47139004,23896779
10,,De 250 a 499,34943666,32519439,35619767,17103428,33820234,16716806
11,,Com 500 e mais,134148502,124789140,135606888,69215608,128596064,59380456
12,41,Construção de edifícios ,134977116,126162858,137511821,67200984,128428086,61227101
13,,De   5 a 29,29635429,27805742,29002675,13061385,27329847,14268461
14,,De  30 a 49,11857580,11034231,12245531,6282322,11473395,5191073
15,,De  50 a 99,18108969,16999339,18255835,9032451,17327407,8294956
16,,De 100 a 249,25677316,24118914,25918399,12896718,24604164,11707446
17,,De 250 a 499,15850670,14923655,16590507,8010043,15629332,7619288
18,,Com 500 e mais,33847152,31280977,35498874,17918065,32063942,14145877
19,41.1,Incorporação de empreendimentos imobiliários,8787175,8251426,8754237,4800196,8145978,3345782
20,,De   5 a 29,3195932,2997196,3053233,1477129,2902007,1424878
21,,De  30 a 49,674349,635056,688112,448524,641235,192711
22,,De  50 a 99,1401997,1308217,1446001,861776,1333244,471468
23,,De 100 a 249,1067285,1002309,1127211,674072,1091826,417754
24,,De 250 a 499,1139655,1067319,1137975,612297,1048779,436482
25,,Com 500 e mais,1307956,1241331,1301704,726399,1128887,402488
26,41.2,Construção de edifícios,126189941,117911432,128757584,62400788,120282107,57881319
27,,De   5 a 29,26439497,24808547,25949442,11584256,24427840,12843584
28,,De  30 a 49,11183231,10399175,11557420,5833798,10832160,4998361
29,,De  50 a 99,16706972,15691123,16809834,8170675,15994162,7823487
30,,De 100 a 249,24610031,23116606,24791187,12222646,23512338,11289692
31,,De 250 a 499,14711014,13856337,15452531,7397747,14580553,7182806
32,,Com 500 e mais,32539195,30039646,34197170,17191666,30935055,13743389
33,42,Obras de infraestrutura,136302421,127098003,135652685,68413311,130914230,62500919
34,,De   5 a 29,4795648,4445482,4603995,1843168,4438417,2595249
35,,De  30 a 49,3439237,3188366,3329383,1534766,3242114,1707348
36,,De  50 a 99,7291618,6825694,7170561,3509245,6928096,3418851
37,,De 100 a 249,14915802,13919767,14837778,6762998,14165917,7402918
38,,De 250 a 499,13674729,12627189,13651699,6799196,13152175,6352979
39,,Com 500 e mais,92185386,86091506,92059269,47963938,88987511,41023574
40,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte",53694237,50149948,53952938,28820626,51786503,22965877
41,,De   5 a 29,2061043,1924131,1985082,873124,1940593,1067469
42,,De  30 a 49,1557912,1446842,1487301,776757,1481759,705002
43,,De  50 a 99,2922629,2721200,2896262,1331643,2762378,1430735
44,,De 100 a 249,7490399,7007982,7514528,3680716,7243845,3563129
45,,De 250 a 499,7130471,6611707,7269759,3942508,6997406,3054899
46,,Com 500 e mais,32531782,30438087,32800007,18215879,31360523,13144644
47,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por duto",30881656,28577352,31086628,13229711,29915763,16686052
48,,De   5 a 29,938034,861360,919879,331611,856546,524935
49,,De  30 a 49,750018,691806,728560,287839,691651,403812
50,,De  50 a 99,1731144,1616536,1662660,687476,1648811,961335
51,,De 100 a 249,4106404,3823020,4013594,1748494,3843921,2095427
52,,De 250 a 499,3375648,3107510,3315270,1397802,3206304,1808501
53,,Com 500 e mais,19980409,18477119,20446666,8776489,19668530,10892041
