,"Códigos
da 
CNAE
2.0","Divisões,                                                                                           grupos de atividades
 e
 faixas de pessoal ocupado","
Receita
bruta 
total 1 000 R$
","Receita
líquida 1 000 R$","
Valor das
incorporações,
obras e/ou
serviços
da
construção 1 000 R$
","Consumo
intermediário 1 000 R$","Valor bruto
da
produção 1 000 R$","Valor
adicionado
(1) 1 000 R$"
5,42.9,Construção de outras obras de  infraestrutura,51726529,48370703,50613119,26362974,49211964,22848990
6,,De   5 a 29,1796571,1659991,1699034,638433,1641278,1002845
7,,De  30 a 49,1131307,1049718,1113523,470171,1068705,598534
8,,De  50 a 99,2637845,2487958,2611639,1490127,2516907,1026781
9,,De 100 a 249,3319000,3088765,3309657,1333788,3078151,1744363
10,,De 250 a 499,3168610,2907972,3066670,1458886,2948465,1489579
11,,Com 500 e mais,39673195,37176301,38812596,20971570,37958458,16986889
12,43,Serviços especializados para construção,52582745,48176061,51629854,20520638,49359602,28838964
13,,De   5 a 29,15119332,13825824,14774983,5614146,14290547,8676401
14,,De  30 a 49,6343111,5814529,6059437,2244405,5838720,3594315
15,,De  50 a 99,8678043,7952934,8656882,3451785,8278074,4826289
16,,De 100 a 249,8908029,8197522,8712247,3582509,8368924,4786415
17,,De 250 a 499,5418267,4968595,5377561,2294188,5038727,2744539
18,,Com 500 e mais,8115964,7416657,8048745,3333605,7544611,4211005
19,43.1,Demolição e preparação do terreno,11684622,10688850,11444411,4724260,10914061,6189801
20,,De   5 a 29,2667780,2435243,2605641,1070126,2528591,1458465
21,,De  30 a 49,1336575,1217736,1280105,495954,1240228,744275
22,,De  50 a 99,1966177,1814653,1958511,771755,1873306,1101550
23,,De 100 a 249,1883499,1746078,1833750,776286,1736431,960145
24,,De 250 a 499,1566841,1429213,1530991,659679,1400329,740650
25,,Com 500 e mais,2263749,2045927,2235412,950461,2135176,1184716
26,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",16655204,15123318,15985631,6421213,15375557,8954344
27,,De   5 a 29,5287693,4823871,5061518,2101914,5013903,2911989
28,,De  30 a 49,1743290,1573150,1604821,599271,1570109,970838
29,,De  50 a 99,2427380,2197116,2338750,942602,2232050,1289447
30,,De 100 a 249,2584508,2354920,2462791,1015599,2364792,1349194
31,,De 250 a 499,1493613,1356863,1457702,520576,1360128,839552
32,,Com 500 e mais,3118720,2817399,3060049,1241251,2834576,1593324
33,43.3,Obras de acabamento,6276852,5761177,6232810,2245787,5875377,3629590
34,,De   5 a 29,2302601,2114061,2312117,818269,2146170,1327901
35,,De  30 a 49,1056444,972824,1035557,367883,976980,609096
36,,De  50 a 99,1145779,1047663,1105221,379226,1068967,689741
37,,De 100 a 249,851888,779095,851495,296925,823577,526652
38,,De 250 a 499,337848,309980,339982,142630,315903,173273
39,,Com 500 e mais,582291,537553,588438,240854,543779,302926
40,43.9, Outros serviços especializados para construção,17966068,16602716,17967003,7129378,17194608,10065229
41,,De   5 a 29,4861257,4452649,4795706,1623837,4601883,2978046
42,,De  30 a 49,2206803,2050819,2138954,781297,2051403,1270106
43,,De  50 a 99,3138707,2893502,3254400,1358201,3103751,1745550
44,,De 100 a 249,3588133,3317430,3564211,1493700,3444124,1950424
45,,De 250 a 499,2019964,1872539,2048886,971303,1962368,991064
46,,Com 500 e mais,2151203,2015778,2164846,901040,2031079,1130039
