,"Grandes Regiões 
e
 Unidades da Federação
da sede da empresa","
Receita
bruta
total
1 000 R$","Receita
líquida 1 000 R$","
Valor das incorporações,
 obras
e/ou serviços da
construção 
1 000 R$","Consumo
intermediário 1 000 R$","Valor bruto
da
produção 1 000 R$","Valor
adicionado
(1) 1 000 R$"
5,Total das empresas,,,,,,
6,                    Brasil ,336117304,312878667,336591352,160582180,319844988,159262809
7,             Norte,10760546,9973799,10591102,4703188,10049209,5346021
8,             Nordeste,47251087,43967353,47886269,20881832,45038125,24156293
9,             Sudeste,208244246,193648381,208644745,102968088,198244863,95276775
10,             Sul,45222738,42316461,44691792,20246743,43018402,22771659
11,             Centro-Oeste,24638687,22972673,24777444,11782329,23494390,11712061
12,Empresas de 1 a 4 pessoas ocupadas,,,,,,
13,                    Brasil,12255022,11441745,11796992,4447246,11143070,6695825
14,             Norte,492499,457417,482466,214038,456151,242113
15,             Nordeste,1904399,1800509,1826419,764131,1762343,998213
16,             Sudeste,5277147,4893888,5002019,1699016,4637449,2938433
17,             Sul,3423795,3203767,3328949,1272870,3176065,1903196
18,             Centro-Oeste,1157181,1086163,1157138,497191,1111061,613871
19,Empresas com 5 ou mais pessoas ocupadas,,,,,,
20,                    Brasil,323862282,301436923,324794360,156134934,308701918,152566984
21,            Norte,10268046,9516382,10108636,4489150,9593058,5103908
22,Rondônia,851732,796579,929010,423799,922714,498915
23,Acre,842170,789015,731132,348043,707956,359913
24,Amazonas,2960264,2776295,2975199,1372858,2855863,1483006
25,Roraima,285554,266951,269186,104194,266691,162496
26,Pará,4207600,3857745,4184765,1769868,3900720,2130852
27,Amapá,295830,258369,287703,96112,257993,161880
28,Tocantins,824898,771428,731642,374275,681121,306846
29,             Nordeste,45346687,42166845,46059849,20117701,43275781,23158081
30,Maranhão,3118867,2896907,3016635,1317525,2858615,1541090
31,Piauí,1865458,1758913,1829762,747994,1743209,995215
32,Ceará,7893239,7321868,7906474,3307938,7372678,4064740
33,Rio Grande do Norte,2929819,2714923,3216308,1342571,2989245,1646674
34,Paraíba,2611163,2440360,2436548,996930,2341802,1344872
35,Pernambuco,7888698,7337248,7700603,3366387,7347408,3981020
36,Alagoas,2182645,2068658,2233838,1095049,2124207,1029159
37,Sergipe,2527630,2401461,2665731,1203938,2414056,1210117
38,Bahia,14329169,13226507,15053951,6739367,14084562,7345195
39,           Sudeste,202967099,188754492,203642726,101269072,193607414,92338342
40,Minas Gerais,43383116,40168385,43205761,20852071,39731627,18879556
41,Espírito Santo,5112988,4718973,5114782,2194739,4790222,2595483
42,Rio de Janeiro,41942713,39219577,41536056,20564707,40154400,19589693
43,São Paulo,112528282,104647557,113786127,57657555,108931165,51273610
44,           Sul,41798943,39112694,41362843,18973873,39842336,20868463
45,Paraná,16913586,15860019,16567253,7742715,15743517,8000803
46,Santa Catarina,10676376,9894826,10915933,5312981,10678787,5365806
47,Rio Grande do Sul,14208981,13357849,13879657,5918177,13420032,7501855
48,           Centro-Oeste,23481506,21886510,23620306,11285138,22383329,11098190
49,Mato Grosso do Sul,2541124,2339308,2397489,1184305,2319891,1135585
50,Mato Grosso,3240799,3016374,3218521,1445077,3060515,1615438
51,Goiás,8448936,7840467,8545808,3747369,7989124,4241754
52,Distrito Federal,9250648,8690362,9458488,4908387,9013800,4105413
