,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Número
 de
 empresas    ativas ",Gastos de pessoal Total 1 000 R$,"Gastos de pessoal Salários,
retiradas e
outras remu-
nerações 1 000 R$","Gastos de pessoal Contribui-
ções para
previdência
social 1 000 R$",Gastos de pessoal FGTS 1 000 R$,"Gastos de pessoal Contribui-
ções para
previdência
privada 1 000 R$","Gastos de pessoal Indeni-
zações
trabalhistas 1 000 R$","Gastos de pessoal Benefícios
concedidos
aos
empregados 1 000 R$"
3,,                      Total das empresas,104338,90477657,60317120,13295716,5018138,335614,3253462,8257606
4,,Empresas de 1 a 4 pessoas ocupadas,48399,2229173,1758835,205174,97779,6476,105016,55894
5,41,Construção de edifícios,16983,871223,641158,109111,42281,2886,48275,27511
6,42,Obras de infraestrutura,3862,239041,189958,20271,11194,1152,11277,5189
7,43,Serviços especializados para construção,27554,1118909,927718,75792,44304,2438,45463,23194
8,,Empresas de 5 a 29 pessoas ocupadas,41267,10193968,7387677,1243582,571253,47204,453806,490445
9,41,Construção de edifícios,18448,4974164,3464518,735285,273698,23205,231309,246148
10,41.1,    Incorporação e empreendimentos imobiliários,681,216085,144105,34477,12154,907,7892,16550
11,41.2,    Construção de edifícios,17767,4758079,3320413,700808,261544,22299,223417,229598
12,42,Obras de infraestrutura,3857,902589,655424,102746,52767,4205,48953,38495
13,42.1,"    Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1392,302037,218555,37313,18256,1770,15535,10608
14,42.2,"     Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",677,220058,159540,25797,12945,1413,9406,10956
15,42.9,     Construção de outras obras de infraestrutura,1788,380494,277329,39636,21566,1021,24012,16930
16,43,Serviços especializados para construção,18963,4317215,3267735,405551,244788,19794,173544,205802
17,43.1,      Demolição e preparação do terreno,2312,516331,382404,63687,30994,1019,22768,15460
18,43.2,"        Instalações elétricas, hidráulicas e outras instalações em construções",6026,1615039,1235913,144930,89839,2892,54322,87144
19,43.3,      Obras de acabamento,5361,879920,688838,62899,50790,4140,37431,35822
20,43.9,      Outros serviços especializados para construções,5263,1305925,960580,134035,73166,11743,59024,67376
21,,Empresas com 30 ou mais pessoas ocupadas ,14671,78054515,51170608,11846960,4349106,281933,2694640,7711267
22,41,Construção de edifícios,7321,25024662,16655299,3874582,1420231,97863,857697,2118989
23,41.1,    Incorporação e empreendimentos imobiliários,246,1138147,756077,174466,65701,3448,35287,103169
24,41.10,        Incorporação e empreendimentos imobiliários,246,1138147,756077,174466,65701,3448,35287,103169
25,41.2,    Construção de edifícios,7075,23886514,15899223,3700117,1354529,94416,822411,2015820
26,41.20,        Construção de edifícios,7075,23886514,15899223,3700117,1354529,94416,822411,2015820
27,42,Obras de infraestrutura,2748,41134010,26592905,6226193,2256528,137439,1438241,4482703
28,42.1,"       Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1075,12844058,8378583,2023912,745267,27892,386486,1281917
29,42.11,        Construção de rodovias e ferrovias,687,8179900,5323495,1289905,476899,14642,259268,815691
30,42.12,        Construção de obras de arte especiais,81,2566715,1643147,408884,150933,7773,56956,299021
31,42.13,"        Obras de urbanização - ruas, praças e calçadas",307,2097443,1411941,325123,117435,5477,70262,167206
