,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Número
de
empresas
ativas","Receita bruta Total
(1) 1 000 R$","Receita bruta Obras e/ou
serviços da 
construção
executados 1 000 R$","Receita bruta Incorporações
de imóveis
construídos
por outras
empresas 1 000 R$","Receita bruta Serviços
técnicos de
escritório, de
campo e de
laboratório 1 000 R$","Receita bruta Venda de
materiais de
construção
e de
demolição 1 000 R$","Receita bruta Revenda
de
imóveis 1 000 R$","Receita bruta Locação
de
mão de obra 1 000 R$"
3,,                      Total das empresas,104338,336117304,317091790,10506384,739596,3532046,1051565,381429
4,,Empresas de 1 a 4 pessoas ocupadas,48399,12255022,10613250,1371330,16257,163886,35264,7887
5,41,Construção de edifícios,16983,5956926,4508266,1370722,6098,22817,35264,4865
6,42,Obras de infraestrutura,3862,1175118,1144599,436,981,7657,-,437
7,43,Serviços especializados para construção,27554,5122978,4960385,172,9178,133413,-,2585
8,,Empresas de 5 a 29 pessoas ocupadas,41267,44050735,40367702,2240682,197924,410073,406071,57491
9,41,Construção de edifícios,18448,25233516,22290254,2237932,167952,89749,369543,9240
10,41.1,    Incorporação e empreendimentos imobiliários,681,2308653,43123,2138006,107833,-,19690,-
11,41.2,    Construção de edifícios,17767,22924864,22247131,99926,60119,89749,349853,9240
12,42,Obras de infraestrutura,3857,4133537,3992100,584,4562,62500,14972,21224
13,42.1,"    Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1392,1736283,1681864,260,3094,28881,4174,3610
14,42.2,"      Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",677,767000,757270,-,404,6997,-,579
15,42.9,     Construção de outras obras de infraestrutura,1788,1630254,1552966,324,1064,26622,10798,17035
16,43,Serviços especializados para construção,18963,14683682,14085348,2166,25409,257824,21556,27027
17,43.1,      Demolição e preparação do terreno,2312,2505247,2412775,37,94,17707,7099,1741
18,43.2,"        Instalações elétricas, hidráulicas e outras instalações em construções",6026,5064989,4680389,63,22234,166904,-,7765
19,43.3,      Obras de acabamento,5361,2338784,2326449,642,1352,7280,-,242
20,43.9,      Outros serviços especializados para construções,5263,4774662,4665735,1424,1729,65933,14457,17279
21,,Empresas com 30 ou mais pessoas ocupadas ,14671,279811547,266110838,6894372,525415,2958087,610230,316052
22,41,Construção de edifícios,7321,109743600,101607799,6717245,144514,351772,379114,112929
23,41.1,    Incorporação e empreendimentos imobiliários,246,6478522,248870,6180788,13449,44,17430,11846
24,41.10,        Incorporação e empreendimentos imobiliários,246,6478522,248870,6180788,13449,44,17430,11846
25,41.2,    Construção de edifícios,7075,103265077,101358928,536458,131066,351728,361684,101083
26,41.20,        Construção de edifícios,7075,103265077,101358928,536458,131066,351728,361684,101083
27,42,Obras de infraestrutura,2748,132168884,127813731,122417,336657,2222704,129923,115941
28,42.1,"      Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1075,51957954,50718619,28301,47665,428602,82869,25209
29,42.11,        Construção de rodovias e ferrovias,687,35995302,35251895,10152,24250,347457,26177,16247
30,42.12,        Construção de obras de arte especiais,81,8196715,8142133,-,1380,7921,-,1217
31,42.13,"        Obras de urbanização - ruas, praças e calçadas",307,7765937,7324590,18148,22035,73225,56692,7745
32,42.2,"     Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",774,30114656,29020164,5043,224029,181744,14210,66721
33,42.21,          Obras para geração e distribuição de energia elétrica e para telecomunicações,498,22068133,21389160,506,44620,96793,-,34441
34,42.22,"         Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",241,5498957,5386131,4538,1860,27043,14210,3620
35,42.23,"         Construção de redes de transportes por dutos, exceto para água e esgoto",35,2547565,2244872,-,177549,57908,-,28660
36,42.9,     Construção de outras obras de infraestrutura,899,50096274,48074949,89073,64963,1612357,32844,24012
37,42.91,"        Obras portuárias, marítimas e fluviais",32,10807867,9844319,-,0,960271,-,-
38,42.92,        Montagem de instalações industriais e de estruturas metálicas,266,20583049,20101329,820,5045,380382,-,17332
39,42.99,        Obras de engenharia civil não especificadas anteriormente,601,18705358,18129300,88253,59919,271703,32844,6679
40,43,Serviços especializados para construção,4603,37899063,36689308,54710,44244,383611,101192,87182
41,43.1,      Demolição e preparação do terreno,627,9179374,8957293,4173,10531,79741,33781,15237
42,43.11,         Demolição e preparação de canteiros de obras,71,757662,751179,70,29,878,-,4093
43,43.12,         Perfurações e sondagens,71,1053844,1040161,-,10480,335,-,457
44,43.13,         Obras de terraplenagem,456,7062946,6901212,4103,5,78527,33781,10687
45,43.19,          Serviços de preparação do terreno não especificados anteriormente,29,304922,264741,-,16,-,-,-
46,43.2,"       Instalações elétricas, hidráulicas e outras instalações em construções",1304,11590215,11068344,2479,28541,163927,103,20328
47,43.21,         Instalações elétricas,695,5741117,5534209,340,7213,74125,-,4113
48,43.22,"            Instalações hidráulicas, de sistemas de ventilação e refrigeração",429,3741861,3503804,2139,20642,36171,103,15598
49,43.29,          Obras de instalações em construções não especificadas anteriormente,179,2107237,2030331,-,687,53631,-,617
50,43.3,      Obras de acabamento,1013,3938068,3830462,1277,272,68509,9565,2439
51,43.30,         Obras de acabamento,1013,3938068,3830462,1277,272,68509,9565,2439
52,43.9,      Outros serviços especializados para construção,1659,13191406,12833209,46781,4900,71435,57744,49177
53,43.91,         Obras de fundações,279,3362249,3297882,4964,79,23130,541,2497
54,43.99,          Serviços especializados para construção não especificados anteriormente,1380,9829157,9535328,41817,4821,48305,57202,46680
