,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades",Deduções 1 000 R$,"Receita
líquida 1 000 R$","Receita de
aluguéis e
arrendamentos 1 000 R$","Receitas
financeiras 1 000 R$","Demais
receitas
operacionais
(2) 1 000 R$","Outras
receitas
1 000 R$","Receitas de
obras e/ou
serviços da
construção
no exterior 1 000 R$"
2,,                      Total das empresas,23238637,312878667,1697292,4643549,24769007,3119262,537953
3,,Empresas de 1 a 4 pessoas ocupadas,813277,11441745,79561,170318,232623,73914,-
4,41,Construção de edifícios,351906,5605020,62470,162484,204870,39029,-
5,42,Obras de infraestrutura,83022,1092095,2604,2811,5666,906,-
6,43,Serviços especializados para construção,378349,4744629,14487,5023,22087,33979,-
7,,Empresas de 5 a 29 pessoas ocupadas,3110025,40940710,433332,320713,1322441,162228,122
8,41,Construção de edifícios,1555798,23677718,240234,265531,1107814,68469,121
9,41.1,    Incorporação e empreendimentos imobiliários,141176,2167477,1567,56787,83516,9565,-
10,41.2,    Construção de edifícios,1414622,21510241,238667,208745,1024298,58904,121
11,42,Obras de infraestrutura,310762,3822776,28633,11801,31877,16869,-
12,42.1,"     Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",121363,1614920,22081,4460,22326,4238,-
13,42.2,"     Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",62850,704150,2764,2421,4009,3713,-
14,42.9,     Construção de outras obras de infraestrutura,126549,1503706,3788,4920,5541,8918,-
15,43,Serviços especializados para construção,1243465,13440217,164466,43381,182750,76890,0
16,43.1,      Demolição e preparação do terreno,224120,2281128,56730,7195,21970,45806,-
17,43.2,"      Instalações elétricas, hidráulicas e outras instalações em construções",448226,4616763,19482,5550,22528,16261,-
18,43.3,      Obras de acabamento,184603,2154180,3888,1829,33771,770,-
19,43.9,      Outros serviços especializados para construções,386517,4388145,84366,28807,104481,14052,0
20,,Empresas com 30 ou mais pessoas ocupadas ,19315335,260496212,1184399,4152518,23213943,2883119,537832
21,41,Construção de edifícios,7258460,102485140,592207,2214624,10573275,794723,263847
22,41.1,    Incorporação e empreendimentos imobiliários,394573,6083949,40898,260153,4065957,90807,0
23,41.10,        Incorporação e empreendimentos imobiliários,394573,6083949,40898,260153,4065957,90807,0
24,41.2,    Construção de edifícios,6863887,96401191,551309,1954471,6507318,703916,263847
25,41.20,        Construção de edifícios,6863887,96401191,551309,1954471,6507318,703916,263847
26,42,Obras de infraestrutura,8893656,123275228,291623,1667700,7593669,1754042,237168
27,42.1,"    Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",3422925,48535029,188414,824242,3348156,1008545,12528
28,42.11,        Construção de rodovias e ferrovias,2260882,33734420,120885,646543,2736470,665578,12528
29,42.12,        Construção de obras de arte especiais,554326,7642389,7616,120090,361013,61856,0
30,42.13,"        Obras de urbanização - ruas, praças e calçadas",607717,7158219,59914,57609,250673,281111,-
31,42.2,"    Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",2241454,27873201,39813,259980,1294658,167726,191431
32,42.21,          Obras para geração e distribuição de energia elétrica e para telecomunicações,1641639,20426495,8669,196604,944090,82745,188948
33,42.22,"         Construção de redes de abastecimento de água,  coleta de esgoto e construções correlatas",362335,5136622,19912,44864,269915,32777,2483
34,42.23,"        Construção de redes de transportes por dutos, exceto para água e esgoto",237480,2310085,11232,18512,80653,52203,-
35,42.9,     Construção de outras obras de infraestrutura,3229276,46866998,63396,583478,2950855,577771,33210
36,42.91,"        Obras portuárias, marítimas e fluviais",516576,10291291,217,144372,1295345,262840,-
37,42.92,         Montagem de instalações industriais e de estruturas metálicas,1530641,19052408,20472,207487,647620,67951,33210
38,42.99,         Obras de engenharia civil não especificadasanteriormente,1182059,17523299,42707,231619,1007890,246981,-
39,43,Serviços especializados para construção,3163219,34735844,300568,270194,5046999,334354,36816
40,43.1,      Demolição e preparação do terreno,771652,8407722,111814,83062,387451,71514,23562
41,43.11,         Demolição e preparação de canteiros de obras,72351,685311,6697,2484,4904,3287,-
42,43.12,         Perfurações e sondagens,97039,956805,321,16681,46504,1152,51
43,43.13,         Obras de terraplenagem,582562,6480384,103291,61088,274015,45641,23511
44,43.19,          Serviços de preparação do terreno não especificados anteriormente,19700,285222,1506,2808,62029,21435,-
45,43.2,"        Instalações elétricas, hidráulicas e outras instalações em construções",1083660,10506555,21300,60662,4042468,45744,4853
46,43.21,         Instalações elétricas,493101,5248017,6330,34255,3976102,20491,1479
47,43.22,"          Instalações hidráulicas, de sistemas de ventilação e refrigeração",375198,3366663,5240,12378,20989,15349,0
48,43.29,           Obras de instalações em construções não especificadas anteriormente,215361,1891876,9730,14029,45378,9904,3373
49,43.3,      Obras de acabamento,331072,3606996,39555,18672,37752,3576,0
50,43.30,         Obras de acabamento,331072,3606996,39555,18672,37752,3576,0
51,43.9,      Outros serviços especializados para construção,976835,12214571,127898,107798,579327,213520,8401
52,43.91,         Obras de fundações,240157,3122092,68647,33991,64328,27558,3772
53,43.99,         Serviços especializados para construção não especi-,,,,,,,
54,43.99,         Serviços especializados para construção não especificados anteriormente,736678,9092479,59251,73807,514999,185962,4629
