,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Número
de
empresas
ativas","Custos e despesas Total
(1) 1 000 R$",Custos e despesas Custos das obras e/ou serviços da construção Total 1 000 R$,"Custos e despesas Custos das obras e/ou serviços da construção Consumo 
de
materiais
de
construção 1 000 R$","Custos e despesas Custos das obras e/ou serviços da construção Consumo
de
combustíveis
e
lubrificantes 1 000 R$","Custos e despesas Custos das obras e/ou serviços da construção Obras e/ou
serviços
contratados
a terceiros 1 000 R$","Custos e despesas Custos das obras e/ou serviços da construção Serviço de
manutenção e
reparação de
máquinas e
equipamentos
(2) 1 000 R$",Custos e despesas Custos das obras e/ou serviços da construção Terrenos 1 000 R$
5,,                      Total das empresas,104338,278313263,118057195,69452677,6797178,30930819,7560040,3316480
6,,Empresas de 1 a 4 pessoas ocupadas,48399,7349326,3048061,2073710,422962,292705,140888,117794
7,41,Construção de edifícios,16983,3496932,1369536,995264,50490,183197,25387,115198
8,42,Obras de infraestrutura,3862,870568,420429,312040,51297,25578,29167,2346
9,43,Serviços especializados para construção,27554,2981826,1258095,766406,321175,83930,86334,250
10,,Empresas de 5 a 29 pessoas ocupadas,41267,30432810,13620766,9698993,834490,1613252,719088,754943
11,41,Construção de edifícios,18448,17585000,8563414,6424833,225779,915908,268801,728093
12,41.1,    Incorporação e empreendimentos imobiliários,681,1420377,21649,9783,1178,7972,938,1779
13,41.2,    Construção de edifícios,17767,16164623,8541765,6415050,224602,907936,267863,726314
14,42,Obras de infraestrutura,3857,2608653,1238607,946452,107632,92750,80709,11064
15,42.1,"     Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1392,1103447,608064,438786,55301,59467,44437,10073
16,42.2,"      Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",677,503546,190230,141598,20903,11244,16448,38
17,42.9,     Construção de outras obras de infraestrutura,1788,1001660,440313,366068,31428,22040,19824,953
18,43,Serviços especializados para construção,18963,10239156,3818744,2327708,501078,604594,369578,15786
19,43.1,      Demolição e preparação do terreno,2312,1691247,663262,237144,220199,48361,154122,3436
20,43.2,"        Instalações elétricas, hidráulicas e outras instalações em construções",6026,3764903,1397221,847715,99440,364236,81256,4574
21,43.3,      Obras de acabamento,5361,1751124,632987,432076,65895,68949,66067,-
