,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades",Custos e despesas Custos de incorporação de imóveis construídos por terceiros Total 1 000 R$,"Custos e despesas Custos de incorporação de imóveis construídos por terceiros Materiais
de
construção 1 000 R$","Custos e despesas Custos de incorporação de imóveis construídos por terceiros Obras
contratadas 1 000 R$","Custos e despesas Custos de incorporação de imóveis construídos por terceiros Serviço
de engenharia
e arquitetura 1 000 R$","Custos e despesas Custos de incorporação de imóveis construídos por terceiros Custos
dos
terrenos 1 000 R$"
4,,                      Total das empresas,6029030,2981328,2322431,317603,407669
5,,Empresas de 1 a 4 pessoas ocupadas,528441,285856,166012,3719,72854
6,41,Construção de edifícios,506309,270678,160349,3153,72128
7,42,Obras de infraestrutura,7503,898,5638,262,705
8,43,Serviços especializados para construção,14629,14280,25,304,20
9,,Empresas de 5 a 29 pessoas ocupadas,988332,203946,651144,55030,78212
10,41,Construção de edifícios,963218,194287,640729,53626,74575
11,41.1,    Incorporação e empreendimentos imobiliários,894593,159913,620595,48644,65441
12,41.2,    Construção de edifícios,68625,34374,20134,4983,9134
13,42,Obras de infraestrutura,3989,3090,261,426,212
14,42.1,"    Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",379,229,68,77,5
15,42.2,"     Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",389,186,-,203,-
16,42.9,     Construção de outras obras de infraestrutura,3221,2674,193,146,207
17,43,Serviços especializados para construção,21126,6570,10153,978,3424
18,43.1,      Demolição e preparação do terreno,7907,2482,4763,661,-
19,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",1536,1317,145,74,-
20,43.3,      Obras de acabamento,5899,1285,4313,124,176
21,43.9,      Outros serviços especializados para construções,5784,1485,932,119,3248
22,,Empresas com 30 ou mais pessoas ocupadas ,4512257,2491526,1505275,258854,256603
23,41,Construção de edifícios,4094859,2149591,1464154,238699,242415
24,41.1,    Incorporação e empreendimentos imobiliários,3200072,1628372,1196468,151399,223832
25,41.10,        Incorporação e empreendimentos imobiliários,3200072,1628372,1196468,151399,223832
26,41.2,    Construção de edifícios,894787,521219,267686,87300,18583
27,41.20,        Construção de edifícios,894787,521219,267686,87300,18583
28,42,Obras de infraestrutura,316894,269278,34004,10147,3464
29,42.1,"     Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",176592,145540,22977,4684,3390
30,42.11,        Construção de rodovias e ferrovias,160124,135729,21292,2018,1085
31,42.12,        Construção de obras de arte especiais,-,-,-,-,-
32,42.13,"        Obras de urbanização - ruas, praças e calçadas",16468,9811,1686,2666,2305
33,42.2,"     Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",15373,14007,331,977,58
34,42.21,         Obras para geração e distribuição de energia elétrica e para telecomunicações,14719,13661,290,768,-
35,42.22,"                 Construção de redes de abastecimento de água,  coleta de esgoto e construções correlatas",654,346,40,209,58
36,42.23,"         Construção de redes de transportes por dutos,exceto para água e esgoto",-,-,-,-,-
37,42.9,     Construção de outras obras de infraestrutura,124930,109731,10697,4487,16
38,42.91,"        Obras portuárias, marítimas e fluviais",525,525,-,-,-
39,42.92,                 Montagem de instalações industriais e de estruturas metálicas,42331,34493,3342,4480,16
40,42.99,                 Obras de engenharia civil não especificadas anteriormente,82074,74713,7355,6,-
41,43,Serviços especializados para construção,100503,72656,7116,10008,10724
42,43.1,      Demolição e preparação do terreno,13822,4597,2190,6964,71
43,43.11,         Demolição e preparação de canteiros de obras,7930,2092,6,5761,71
44,43.12,         Perfurações e sondagens,936,800,-,136,-
45,43.13,         Obras de terraplenagem,4956,1706,2184,1067,-
46,43.19,           Serviços de preparação do terreno não especificados anteriormente,-,-,-,-,-
47,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",21314,9508,1479,187,10140
48,43.21,         Instalações elétricas,8883,7684,963,185,51
49,43.22,"                   Instalações hidráulicas, de sistemas de ventilação e refrigeração",11432,1033,309,1,10089
50,43.29,                   Obras de instalações em construções não especificadas anteriormente,999,791,208,-,-
51,43.3,      Obras de acabamento,2838,2240,44,551,3
52,43.30,         Obras de acabamento,2838,2240,44,551,3
53,43.9,      Outros serviços especializados para construção,62530,56312,3403,2306,510
54,43.91,         Obras de fundações,12301,12127,-,151,23
55,43.99,                   Serviços especializados para construção não especificados anteriormente,50229,44185,3403,2155,487
