,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Custos e despesas Custos e despesas Gastos
de
pessoal 1 000 R$","Custos e despesas Custos e despesas Outros custos e despesas Total
(3) 1 000 R$","Custos e despesas Custos e despesas Outros custos e despesas Aluguéis
e 
arrenda-
mento 1 000 R$","Custos e despesas Custos e despesas Outros custos e despesas Despesas
com
arrenda-
mento
mercantil 1 000 R$","Custos e despesas Custos e despesas Outros custos e despesas Depreciação,
amortização
e
exaustão 1 000 R$","Custos e despesas Custos e despesas Outros custos e despesas Despesas
com
propaganda 1 000 R$","Custos e despesas Custos e despesas Outros custos e despesas Fretes
e
carretos 1 000 R$","Custos e despesas Custos e despesas Outros custos e despesas Impostos
e
taxas 1 000 R$"
4,,                      Total das empresas,90477657,63749381,10763807,586037,4815622,1396348,1368177,2704719
5,,Empresas de 1 a 4 pessoas ocupadas,2229173,1543651,181661,8932,95131,53459,21849,196196
6,41,Construção de edifícios,871223,749865,46164,573,39888,47066,5069,145157
7,42,Obras de infraestrutura,239041,203594,29125,3506,16087,3732,5036,16648
8,43,Serviços especializados para construção,1118909,590192,106372,4852,39155,2661,11744,34392
9,,Empresas de 5 a 29 pessoas ocupadas,10193968,5629743,594007,101073,402874,127521,95484,375870
10,41,Construção de edifícios,4974164,3084205,207298,20970,146692,106999,36602,250041
11,41.1,    Incorporação e empreendimentos imobiliários,216085,288050,19468,365,6536,18594,959,17140
12,41.2,    Construção de edifícios,4758079,2796154,187831,20605,140155,88405,35643,232901
13,42,Obras de infraestrutura,902589,463468,83712,6380,52775,2749,12666,29005
14,42.1,"         Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",302037,192966,32071,983,24374,1302,6711,15240
15,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",220058,92869,14450,1615,9070,579,1504,6534
16,42.9,     Construção de outras obras de infraestrutura,380494,177632,37191,3781,19331,868,4452,7230
17,43,Serviços especializados para construção,4317215,2082071,302997,73724,203407,17773,46215,96824
18,43.1,      Demolição e preparação do terreno,516331,503747,77724,13303,104763,2270,7156,23497
19,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",1615039,751107,114899,17621,17979,7926,15773,29518
20,43.3,      Obras de acabamento,879920,232319,35790,1697,8707,2425,11348,18872
21,43.9,      Outros serviços especializados para construções,1305925,594898,74584,41103,71957,5152,11939,24936
22,,Empresas com 30 ou mais pessoas ocupadas ,78054515,56575987,9988138,476032,4317618,1215368,1250844,2132653
23,41,Construção de edifícios,25024662,18036501,1804201,80053,824154,1058200,245910,881499
24,41.1,    Incorporação e empreendimentos imobiliários,1138147,1292193,42991,823,49432,180382,3068,37873
25,41.10,        Incorporação e empreendimentos imobiliários,1138147,1292193,42991,823,49432,180382,3068,37873
26,41.2,    Construção de edifícios,23886514,16744308,1761210,79230,774722,877818,242842,843626
27,41.20,        Construção de edifícios,23886514,16744308,1761210,79230,774722,877818,242842,843626
28,42,Obras de infraestrutura,41134010,31333388,7065707,230525,2605731,113294,794849,949872
29,42.1,"        Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",12844058,12562841,2550844,123000,1442068,36720,438556,451851
30,42.11,        Construção de rodovias e ferrovias,8179900,9004267,1844534,97322,1095281,19190,334567,336258
31,42.12,        Construção de obras de arte especiais,2566715,1796578,374156,7586,174068,3240,66264,45359
32,42.13,"        Obras de urbanização - ruas, praças e calçadas",2097443,1761996,332154,18091,172718,14290,37724,70234
33,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",11569531,7555387,1737092,61598,561001,31125,128214,217297
34,42.21,                 Obras para geração e distribuição de energia elétrica e para telecomunicações,9160581,5570354,1349794,48376,415062,26675,102433,167875
35,42.22,"                Construção de redes de abastecimento de água,  coleta de esgoto e construções correlatas",1399488,1080748,266096,9327,91280,1410,20873,36814
36,42.23,"                 Construção de redes de transportes por dutos,exceto para água e esgoto",1009463,904285,121202,3895,54658,3041,4908,12607
37,42.9,     Construção de outras obras de infraestrutura,16720421,11215160,2777771,45927,602662,45449,228078,280723
38,42.91,"        Obras portuárias, marítimas e fluviais",4032913,2664618,664762,11702,111147,11538,52572,71231
39,42.92,                Montagem de instalações industriais e de estruturas metálicas,7115654,4803190,1295439,9248,264730,13862,50978,95950
40,42.99,                Obras de engenharia civil não especificadas anteriormente,5571854,3747352,817571,24977,226786,20048,124529,113542
41,43,Serviços especializados para construção,11895844,7206098,1118230,165454,887733,43874,210086,301282
42,43.1,      Demolição e preparação do terreno,2236657,2335257,394608,81083,503966,5515,71021,90740
43,43.11,         Demolição e preparação de canteiros de obras,236499,234173,61101,4842,42947,710,7280,11599
44,43.12,         Perfurações e sondagens,318464,239261,61979,2348,23588,874,11620,4608
45,43.13,         Obras de terraplenagem,1600694,1764402,262888,73812,428802,3733,51237,63408
46,43.19,                   Serviços de preparação do terreno não especificados anteriormente,81000,97421,8640,81,8629,198,884,11125
47,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",4060268,1757746,247087,24274,93451,11445,38317,88310
48,43.21,         Instalações elétricas,2150640,832532,127989,14351,38806,6090,17023,32420
49,43.22,"                   Instalações hidráulicas, de sistemas de ventilação e refrigeração",1205170,496855,58749,6934,26080,3218,7307,25175
50,43.29,                   Obras de instalações em construções não especificadas anteriormente,704458,428359,60350,2989,28565,2138,13987,30715
51,43.3,      Obras de acabamento,1473684,542512,68252,7074,22975,3562,21015,22491
52,43.30,         Obras de acabamento,1473684,542512,68252,7074,22975,3562,21015,22491
53,43.9,      Outros serviços especializados para construção,4125235,2570584,408283,53023,267341,23353,79734,99742
54,43.91,         Obras de fundações,1020715,719091,159286,28817,92415,4919,32554,24359
55,43.99,                 Serviços especializados para construção não especificados anteriormente,3104520,1851493,248997,24206,174926,18434,47179,75383
