,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Custos e despesas Outros custos e despesas Prêmios
de
seguros 1 000 R$","Custos e despesas Outros custos e despesas Variações
monetárias
passivas 1 000 R$","Custos e despesas Outros custos e despesas Despesas
financeiras 1 000 R$","Custos e despesas Outros custos e despesas Custos da
aquisição de
imóveis para
revenda 1 000 R$","Custos e despesas Outros custos e despesas Resultados
negativos de
participações
societárias 
 e em sociedade 
em conta de
participação 1 000 R$","Custos e despesas Outros custos e despesas Comissões
pagas a
terceiros 1 000 R$","Custos e despesas Outros custos e despesas Serviços
prestados
por terceiros
(4) 1 000 R$","Custos e despesas Outros custos e despesas Demais
custos e
despesas
opera-
cionais 1 000 R$","Custos e despesas Outros custos e despesas Outras
despesas 1 000 R$"
5,,                      Total das empresas,611312,1654014,8160890,1294961,2085302,690871,9958336,14166977,3417859
6,,Empresas de 1 a 4 pessoas ocupadas,11800,3377,106889,57869,2,36996,227749,497797,43667
7,41,Construção de edifícios,4136,2539,53819,57709,-,32339,89605,211579,14161
8,42,Obras de infraestrutura,1722,73,16580,160,-,362,38545,66708,5312
9,43,Serviços especializados para construção,5942,765,36490,-,2,4296,99600,219511,24195
10,,Empresas de 5 a 29 pessoas ocupadas,61075,40162,461867,544763,47052,117556,1126367,1288213,244551
11,41,Construção de edifícios,23830,15395,239070,514866,40470,109384,638871,578615,154385
12,41.1,    Incorporação e empreendimentos imobiliários,1868,171,28362,8400,39447,21258,55073,66127,4281
13,41.2,    Construção de edifícios,21961,15224,210708,506465,1023,88126,583798,512489,150104
14,42,Obras de infraestrutura,6011,788,47388,1866,6400,2754,68499,127988,14456
15,42.1,"         Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",2132,316,19640,244,6296,1188,21604,55711,5128
16,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",2131,450,10467,293,65,205,16358,26954,2193
17,42.9,     Construção de outras obras de infraestrutura,1748,21,17280,1329,39,1362,30538,45323,7135
18,43,Serviços especializados para construção,31234,23979,175408,28031,182,5417,418997,581609,75710
19,43.1,      Demolição e preparação do terreno,10136,991,51346,3842,181,1625,79002,110132,17641
20,43.2,"            Instalações elétricas, hidráulicas e outras instalações em construções",9019,22638,45973,37,-,1490,163364,262422,42374
21,43.3,      Obras de acabamento,3166,60,21307,1,1,333,41791,79858,6916
22,43.9,      Outros serviços especializados para construções,8914,290,56782,24152,-,1969,134840,129198,8780
23,,Empresas com 30 ou mais pessoas ocupadas ,538437,1610475,7592134,692329,2038248,536319,8604220,12380967,3129640
24,41,Construção de edifícios,151676,297828,3647927,447124,530163,458452,2783420,4169862,631043
25,41.1,    Incorporação e empreendimentos imobiliários,2085,40253,340580,22836,42301,59220,168587,270433,31318
26,41.10,        Incorporação e empreendimentos imobiliários,2085,40253,340580,22836,42301,59220,168587,270433,31318
27,41.2,    Construção de edifícios,149591,257575,3307348,424288,487862,399233,2614833,3899429,599725
28,41.20,        Construção de edifícios,149591,257575,3307348,424288,487862,399233,2614833,3899429,599725
29,42,Obras de infraestrutura,301120,1250755,3211856,76285,1439826,41145,4544571,6469818,2203926
30,42.1,"         Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",133800,141570,1361265,42315,694206,17024,1283887,2583008,1247795
31,42.11,        Construção de rodovias e ferrovias,91933,84515,1153370,10430,354721,12197,956686,1874734,724039
32,42.12,        Construção de obras de arte especiais,29112,44447,65371,32,292,321,140339,410376,435612
33,42.13,"        Obras de urbanização - ruas, praças e calçadas",12756,12608,142524,31853,339194,4506,186861,297897,88143
34,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",91144,52416,698797,7681,505333,5079,795926,1913939,743749
35,42.21,                Obras para geração e distribuição de energia elétrica e para telecomunicações,68059,34483,466901,384,463070,4649,591094,1514125,312458
36,42.22,"                Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",13622,10938,103705,7296,42080,417,145952,236030,94826
37,42.23,"                 Construção de redes de transportes por dutos, exceto para água e esgoto",9463,6994,128191,-,183,13,58880,163785,336465
38,42.9,     Construção de outras obras de infraestrutura,76176,1056769,1151795,26289,240287,19042,2464759,1972871,212382
39,42.91,"        Obras portuárias, marítimas e fluviais",3464,685190,244669,317,29912,5,524549,244351,8861
40,42.92,                Montagem de instalações industriais e de estruturas metálicas,45990,45741,457061,1734,186527,2298,1084139,1138375,110423
41,42.99,                 Obras de engenharia civil não especificadas anteriormente,26721,325839,450065,24238,23848,16739,856071,590145,93098
42,43,Serviços especializados para construção,85641,61893,732350,168920,68259,36722,1276228,1741287,294671
43,43.1,      Demolição e preparação do terreno,21675,36029,220260,10005,58268,12157,322088,413731,88919
44,43.11,         Demolição e preparação de canteiros de obras,1152,167,29780,-,-,216,23206,18434,32634
45,43.12,         Perfurações e sondagens,2576,8885,23809,-,-,1917,38672,51671,6353
46,43.13,         Obras de terraplenagem,16148,24923,158158,10005,58226,9792,253918,298622,46005
47,43.19,                  Serviços de preparação do terreno não especificados anteriormente,1799,2054,8513,-,42,232,6293,45004,3927
48,43.2,"           Instalações elétricas, hidráulicas e outras instalações em construções",26323,11855,176969,5543,333,8824,404505,538887,78668
49,43.21,         Instalações elétricas,12353,770,92552,4777,140,4502,194511,254765,31073
50,43.22,"               Instalações hidráulicas, de sistemas de ventilação e refrigeração",7174,2128,51344,760,36,2752,121373,158925,23859
51,43.29,                   Obras de instalações em construções não especificadas anteriormente,6796,8957,33073,5,158,1570,88622,125197,23735
52,43.3,      Obras de acabamento,6852,272,32213,5199,368,1802,162852,172510,14892
53,43.30,         Obras de acabamento,6852,272,32213,5199,368,1802,162852,172510,14892
54,43.9,      Outros serviços especializados para construção,30791,13737,302908,148174,9290,13939,386782,616159,112192
55,43.91,         Obras de fundações,11485,2781,80286,932,891,2944,63527,161124,49152
