,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Número
de
empresas
ativas","Valor
bruto
da
produção 1 000 R$",Valor das obras e/ou serviços da construção Total 1 000 R$,"Valor das obras e/ou serviços da construção Entidades
públicas 1 000 R$","Valor das obras e/ou serviços da construção Entidades
privadas 1 000 R$"
4,,                      Total das empresas,104338,319844988,326084968,114082915,212002053
5,,Empresas de 1 a 4 pessoas ocupadas,48399,11143070,10425662,2043321,8382342
6,41,Construção de edifícios,16983,5396094,4424195,869805,3554390
7,42,Obras de infraestrutura,3862,1094478,1147429,394560,752870
8,43,Serviços especializados para construção,27554,4652498,4854038,778956,4075082
9,,Empresas de 5 a 29 pessoas ocupadas,41267,41035120,40861934,7380336,33481598
10,41,Construção de edifícios,18448,23319295,22494267,3479219,19015048
11,41.1,    Incorporação e empreendimentos imobiliários,681,2100166,41466,-,41466
12,41.2,    Construção de edifícios,17767,21219129,22452800,3479219,18973581
13,42,Obras de infraestrutura,3857,3794585,3946554,1834612,2111941
14,42.1,"        Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1392,1628045,1682987,1112276,570711
15,42.2,"        Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",677,703167,753561,206157,547404
16,42.9,     Construção de outras obras de infraestrutura,1788,1463373,1510006,516179,993826
17,43,Serviços especializados para construção,18963,13921239,14421114,2066505,12354609
18,43.1,      Demolição e preparação do terreno,2312,2363582,2441936,442501,1999435
19,43.2,"            Instalações elétricas, hidráulicas e outras instalações em construções",6026,4819717,4868434,680213,4188221
20,43.3,      Obras de acabamento,5361,2183886,2352443,82464,2269979
21,43.9,      Outros serviços especializados para construções,5263,4554055,4758301,861326,3896975
22,,Empresas com 30 ou mais pessoas ocupadas ,14671,267666798,274797372,104659258,170138113
23,41,Construção de edifícios,7321,105108790,106062377,25491167,80571210
24,41.1,    Incorporação e empreendimentos imobiliários,246,6045812,393977,154609,239368
25,41.10,        Incorporação e empreendimentos imobiliários,246,6045812,393977,154609,239368
26,41.2,    Construção de edifícios,7075,99062978,105668400,25336558,80331842
27,41.20,        Construção de edifícios,7075,99062978,105668400,25336558,80331842
28,42,Obras de infraestrutura,2748,127119645,131583131,70670681,60912450
29,42.1,"       Construção de rodovias, ferrovias, obras urbanas  e obras de arte especiais",1075,50158458,52241390,36824599,15416791
30,42.11,        Construção de rodovias e ferrovias,687,34901375,36381288,25189351,11191937
31,42.12,        Construção de obras de arte especiais,81,7647150,8139463,5543202,2596260
32,42.13,"        Obras de urbanização - ruas, praças e calçadas",307,7609933,7720639,6092046,1628593
33,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",774,29212596,30328024,10687751,19640274
34,42.21,                Obras para geração e distribuição de energia elétrica e para telecomunicações,498,21358105,22319292,5584291,16735001
35,42.23,"                 Construção de redes de transportes por dutos, exceto para água e esgoto",35,2611110,2534992,987739,1547253
36,42.9,     Construção de outras obras de infraestrutura,899,47748591,49013717,23158331,25855386
37,42.91,"        Obras portuárias, marítimas e fluviais",32,10305478,9858290,4145083,5713207
38,42.92,                Montagem de instalações industriais e de estruturas metálicas,266,19560644,20681002,9993608,10687394
39,42.99,                 Obras de engenharia civil não especificadas anteriormente,601,17882468,18474425,9019640,9454784
40,43,Serviços especializados para construção,4603,35438363,37151864,8497410,28654454
41,43.1,      Demolição e preparação do terreno,627,8550479,8998264,2517334,6480929
42,43.11,         Demolição e preparação de canteiros de obras,71,758048,819830,138616,681214
43,43.12,         Perfurações e sondagens,71,945025,1028258,62967,965292
44,43.13,         Obras de terraplenagem,456,6563733,6886721,2195420,4691301
45,43.19,                   Serviços de preparação do terreno não especificados anteriormente,29,283673,263455,120331,143123
46,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",1304,10555840,11114655,2408361,8706294
47,43.21,         Instalações elétricas,695,5299713,5585541,1145077,4440464
48,43.22,"                 Instalações hidráulicas, de sistemas de ventilação  e refrigeração",429,3336335,3479920,501610,2978310
49,43.29,                   Obras de instalações em construções não especificadas anteriormente,179,1919793,2049194,761673,1287521
50,43.3,      Obras de acabamento,1013,3691491,3878448,527186,3351262
51,43.30,         Obras de acabamento,1013,3691491,3878448,527186,3351262
52,43.9,      Outros serviços especializados para construção,1659,12640553,13160497,3044530,10115968
53,43.91,         Obras de fundações,279,3229352,3336811,462444,2874367
54,43.99,                  Serviços especializados para construção não especificados anteriormente,1380,9411201,9823686,2582086,7241600
