,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Consumo intermediário Total
(1) 1 000 R$","Consumo intermediário Custos das obras e/ou serviços da construção Consumo
de combus-
tíveis e
lubrificantes 1 000 R$","Consumo intermediário Custos das obras e/ou serviços da construção Consumo
de
materiais de
construção 1 000 R$","Consumo intermediário Custos das obras e/ou serviços da construção Obras e/ou
serviços
contratados
com terceiros 1 000 R$","Consumo intermediário Custos das obras e/ou serviços da construção Serviços de
manutenção
e reparação de
máquinas e
equipamentos 1 000 R$"
4,,                      Total das empresas,160582180,6797178,69452677,30930819,7560040
5,,Empresas de 1 a 4 pessoas ocupadas,4447246,422962,2073710,292705,140888
6,41,Construção de edifícios,2150480,50490,995264,183197,25387
7,42,Obras de infraestrutura,573414,51297,312040,25578,29167
8,43,Serviços especializados para construção,1723351,321175,766406,83930,86334
9,,Empresas de 5 a 29 pessoas ocupadas,17715756,834490,9698993,1613252,719088
10,41,Construção de edifícios,10852730,225779,6424833,915908,268801
11,41.1,    Incorporação e empreendimentos imobiliários,1019876,1178,9783,7972,938
12,41.2,    Construção de edifícios,9832854,224602,6415050,907936,267863
13,42,Obras de infraestrutura,1541222,107632,946452,92750,80709
14,42.1,"         Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",719149,55301,438786,59467,44437
15,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",254465,20903,141598,11244,16448
16,42.9,     Construção de outras obras de infraestrutura,567608,31428,366068,22040,19824
17,43,Serviços especializados para construção,5321803,501078,2327708,604594,369578
18,43.1,      Demolição e preparação do terreno,971435,220199,237144,48361,154122
19,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",1985320,99440,847715,364236,81256
20,43.3,      Obras de acabamento,814831,65895,432076,68949,66067
21,43.9,      Outros serviços especializados para construções,1550219,115544,810773,123048,68134
22,,Empresas com 30 ou mais pessoas ocupadas ,138419178,5539726,57679973,29024862,6700064
23,41,Construção de edifícios,56348254,922612,28246502,10935191,1626072
24,41.1,    Incorporação e empreendimentos imobiliários,3780320,3085,93501,14288,1989
25,41.10,        Incorporação e empreendimentos imobiliários,3780320,3085,93501,14288,1989
26,41.2,    Construção de edifícios,52567934,919527,28153000,10920902,1624083
27,41.20,        Construção de edifícios,52567934,919527,28153000,10920902,1624083
28,42,Obras de infraestrutura,66872089,3607327,23673757,15813486,3833810
29,42.1,"        Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",28101477,2050318,10449289,6113377,2108228
30,42.11,        Construção de rodovias e ferrovias,19695659,1592067,7620668,3956337,1123661
31,42.12,        Construção de obras de arte especiais,4207020,150718,1367485,1410429,247280
32,42.13,"        Obras de urbanização - ruas, praças e calçadas",4198798,307533,1461135,746611,737286
33,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",12975246,1007297,4161606,2504289,515024
34,42.21,                Obras para geração e distribuição de energia elétrica e para telecomunicações,9280370,780508,2671728,1759389,348171
35,42.22,"                 Construção de redes de abastecimento de água,  coleta de esgoto e construções correlatas",2664004,187149,1211598,431552,132424
36,42.23,"                Construção de redes de transportes por dutos, exceto para água e esgoto",1030872,39640,278280,313348,34430
37,42.9,     Construção de outras obras de infraestrutura,25795366,549712,9062863,7195821,1210557
38,42.91,"        Obras portuárias, marítimas e fluviais",5380138,28977,2187496,1484034,165502
39,42.92,                 Montagem de instalações industriais e de estruturas metálicas,10395375,250996,2884430,2912467,664707
40,42.99,                 Obras de engenharia civil não especificadas anteriormente,10019853,269739,3990937,2799319,380348
41,43,Serviços especializados para construção,15198835,1009787,5759714,2276185,1240182
42,43.1,      Demolição e preparação do terreno,3752826,519491,941620,351554,601490
43,43.11,         Demolição e preparação de canteiros de obras,258218,29920,49648,29467,24494
44,43.12,         Perfurações e sondagens,413143,30782,146472,29938,34912
45,43.13,         Obras de terraplenagem,2945153,448945,711839,276441,527882
46,43.19,                  Serviços de preparação do terreno não especificados anteriormente,136313,9844,33660,15708,14202
47,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",4435893,135317,1784933,976947,228188
48,43.21,         Instalações elétricas,2176240,86621,910847,428009,109662
49,43.22,"                   Instalações hidráulicas, de sistemas de ventilação e refrigeração",1400278,24251,561794,390103,57306
50,43.29,                   Obras de instalações em construções não especificadas anteriormente,859375,24445,312292,158835,61219
51,43.3,      Obras de acabamento,1430956,55154,714413,158055,53003
52,43.30,         Obras de acabamento,1430956,55154,714413,158055,53003
53,43.9,      Outros serviços especializados para construção,5579160,299825,2318748,789629,357501
54,43.91,         Obras de fundações,1427279,100694,521666,216859,109519
55,43.99,                  Serviços especializados para construção não especificados anteriormente,4151881,199131,1797082,572770,247982
