,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Consumo intermediárioCustos de incorporação de imóveis
construídos por terceiros Materiais
de
construção 1 000 R$","Consumo intermediário Custos de incorporação de imóveis
construídos por terceiros Obras
contratadas 1 000 R$","Consumo intermediário Custos de incorporação de imóveis
construídos por terceiros Serviços de
engenharia e
arquitetura 1 000 R$","Consumo intermediário Aluguéis
e
arrenda-
mentos 1 000 R$","Consumo intermediário Serviços
prestados
por
terceiros
(2) 1 000 R$","Valor
adicionado 1 000 R$"
4,,                      Total das empresas,2981328,2322431,317603,10763807,9958336,159262809
5,,Empresas de 1 a 4 pessoas ocupadas,285856,166012,3719,181661,227749,6695825
6,41,Construção de edifícios,270678,160349,3153,46164,89605,3245613
7,42,Obras de infraestrutura,898,5638,262,29125,38545,521064
8,43,Serviços especializados para construção,14280,25,304,106372,99600,2929147
9,,Empresas de 5 a 29 pessoas ocupadas,203946,651144,55030,594007,1126367,23319364
10,41,Construção de edifícios,194287,640729,53626,207298,638871,12466565
11,41.1,    Incorporação e empreendimentos imobiliários,159913,620595,48644,19468,55073,1080290
12,41.2,    Construção de edifícios,34374,20134,4983,187831,583798,11386275
13,42,Obras de infraestrutura,3090,261,426,83712,68499,2253363
14,42.1,"        Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",229,68,77,32071,21604,908896
15,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",186,-,203,14450,16358,448702
16,42.9,     Construção de outras obras de infraestrutura,2674,193,146,37191,30538,895765
17,43,Serviços especializados para construção,6570,10153,978,302997,418997,8599436
18,43.1,      Demolição e preparação do terreno,2482,4763,661,77724,79002,1392148
19,43.2,"            Instalações elétricas, hidráulicas e outras instalações em construções",1317,145,74,114899,163364,2834397
20,43.3,      Obras de acabamento,1285,4313,124,35790,41791,1369056
21,43.9,      Outros serviços especializados para construções,1485,932,119,74584,134840,3003836
22,,Empresas com 30 ou mais pessoas ocupadas ,2491526,1505275,258854,9988138,8604220,129247620
23,41,Construção de edifícios,2149591,1464154,238699,1804201,2783420,48760536
24,41.1,    Incorporação e empreendimentos imobiliários,1628372,1196468,151399,42991,168587,2265492
25,41.10,        Incorporação e empreendimentos imobiliários,1628372,1196468,151399,42991,168587,2265492
26,41.2,    Construção de edifícios,521219,267686,87300,1761210,2614833,46495044
27,41.20,        Construção de edifícios,521219,267686,87300,1761210,2614833,46495044
28,42,Obras de infraestrutura,269278,34004,10147,7065707,4544571,60247556
29,42.1,"        Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",145540,22977,4684,2550844,1283887,22056981
30,42.11,        Construção de rodovias e ferrovias,135729,21292,2018,1844534,956686,15205716
31,42.12,        Construção de obras de arte especiais,-,-,-,374156,140339,3440130
32,42.13,"        Obras de urbanização - ruas, praças e calçadas",9811,1686,2666,332154,186861,3411135
33,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",14007,331,977,1737092,795926,16237350
34,42.21,              Obras para geração e distribuição de energia elétrica e para telecomunicações,13661,290,768,1349794,591094,12077736
35,42.22,"                 Construção de redes de abastecimento de água,  coleta de esgoto e construções correlatas",346,40,209,266096,145952,2579376
36,42.23,"                 Construção de redes de transportes por dutos, exceto para água e esgoto",-,-,-,121202,58880,1580238
37,42.9,     Construção de outras obras de infraestrutura,109731,10697,4487,2777771,2464759,21953225
38,42.91,"        Obras portuárias, marítimas e fluviais",525,-,-,664762,524549,4925340
39,42.92,                 Montagem de instalações industriais e de estruturas metálicas,34493,3342,4480,1295439,1084139,9165269
40,42.99,                Obras de engenharia civil não especificadas anteriormente,74713,7355,6,817571,856071,7862616
41,43,Serviços especializados para construção,72656,7116,10008,1118230,1276228,20239528
42,43.1,      Demolição e preparação do terreno,4597,2190,6964,394608,322088,4797653
43,43.11,         Demolição e preparação de canteiros de obras,2092,6,5761,61101,23206,499831
44,43.12,         Perfurações e sondagens,800,-,136,61979,38672,531882
45,43.13,         Obras de terraplenagem,1706,2184,1067,262888,253918,3618580
46,43.19,                   Serviços de preparação do terreno não especificados anteriormente,-,-,-,8640,6293,147361
47,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",9508,1479,187,247087,404505,6119947
48,43.21,         Instalações elétricas,7684,963,185,127989,194511,3123473
49,43.22,"                  Instalações hidráulicas, de sistemas de ventilação e refrigeração",1033,309,1,58749,121373,1936056
50,43.29,                   Obras de instalações em construções não especificadas anteriormente,791,208,-,60350,88622,1060418
51,43.3,      Obras de acabamento,2240,44,551,68252,162852,2260534
52,43.30,         Obras de acabamento,2240,44,551,68252,162852,2260534
53,43.9,      Outros serviços especializados para construção,56312,3403,2306,408283,386782,7061393
54,43.91,         Obras de fundações,12127,-,151,159286,63527,1802074
55,43.99,                  Serviços especializados para construção não especificados anteriormente,44185,3403,2155,248997,323255,5259319
