,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Número
de
empresas              ativas","Ativo imobilizado Aquisições de terceiros e produção própria Número
de
informantes",Ativo imobilizado Aquisições de terceiros e produção própria Total 1 000 R$,"Ativo imobilizado Aquisições de terceiros e produção própria Terrenos
e
edificações 1 000 R$","Ativo imobilizado Aquisições de terceiros e produção própria Máquinas
e
equipamentos 1 000 R$","Ativo imobilizado Aquisições de terceiros e produção própria Meios
de
transporte 1 000 R$","Ativo imobilizado Aquisições de terceiros e produção própria Outras
aquisições 1 000 R$"
5,,                      Total das empresas,104338,20203,16405838,3463138,8456457,2954893,1531350
6,,Empresas de 1 a 4 pessoas ocupadas,48399,5705,885087,425011,190795,240861,28419
7,41,Construção de edifícios,16983,2798,548474,415497,23979,100346,8652
8,42,Obras de infraestrutura,3862,551,73563,4486,53389,12842,2846
9,43,Serviços especializados para construção,27554,2355,263050,5028,113426,127673,16922
10,,Empresas de 5 a 29 pessoas ocupadas,41267,8322,1814681,769158,412863,270114,362546
11,41,Construção de edifícios,18448,4581,1267046,699726,127592,100479,339250
12,41.1,    Incorporação e empreendimentos imobiliários,681,193,74791,71397,705,783,1906
13,41.2,    Construção de edifícios,17767,4388,1192255,628328,126887,99696,337345
14,42,Obras de infraestrutura,3857,630,125354,33400,53459,32450,6046
15,42.1,"        Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1392,291,63133,8015,37293,15337,2488
16,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",677,150,35802,22196,6435,4746,2426
17,42.9,     Construção de outras obras de infraestrutura,1788,189,26419,3189,9731,12367,1132
18,43,Serviços especializados para construção,18963,3111,422280,36033,231812,137185,17250
19,43.1,      Demolição e preparação do terreno,2312,645,211857,7257,157565,45531,1504
20,43.2,"            Instalações elétricas, hidráulicas e outras instalações em construções",6026,885,48064,7544,11275,25110,4134
21,43.3,      Obras de acabamento,5361,489,17766,4072,6377,6690,626
22,43.9,      Outros serviços especializados para construções,5263,1092,144593,17159,56594,59854,10986
23,,Empresas com 30 ou mais pessoas ocupadas ,14671,6177,13706070,2268969,7852799,2443918,1140385
24,41,Construção de edifícios,7321,3097,2825531,1508516,555183,395248,366585
25,41.1,    Incorporação e empreendimentos imobiliários,246,110,195941,146373,5208,5198,39162
26,41.10,        Incorporação e empreendimentos imobiliários,246,110,195941,146373,5208,5198,39162
27,41.2,    Construção de edifícios,7075,2987,2629590,1362143,549975,390050,327423
28,41.20,        Construção de edifícios,7075,2987,2629590,1362143,549975,390050,327423
29,42,Obras de infraestrutura,2748,1523,6358672,598849,3410148,1687544,662131
30,42.1,"         Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1075,661,3789107,375925,2112733,1091333,209116
31,42.11,        Construção de rodovias e ferrovias,687,436,2098086,304125,1141257,564664,88040
32,42.12,        Construção de obras de arte especiais,81,53,1257176,55290,790904,314463,96520
33,42.13,"        Obras de urbanização - ruas, praças e calçadas",307,172,433845,16510,180573,212206,24556
34,42.2,"        Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",774,431,988593,69145,466149,281692,171607
35,42.21,                Obras para geração e distribuição de energia elétrica e para telecomunicações,498,280,820771,38030,391972,229650,161120
36,42.22,"                 Construção de redes de abastecimento de água,  coleta de esgoto e construções correlatas",241,129,118676,23785,53357,35440,6094
37,42.23,"                Construção de redes de transportes por dutos, exceto para água e esgoto",35,21,49146,7330,20820,16603,4394
38,42.9,     Construção de outras obras de infraestrutura,899,431,1580972,153779,831266,314519,281408
39,42.91,"        Obras portuárias, marítimas e fluviais",32,21,281019,31825,156863,15493,76839
40,42.92,                 Montagem de instalações industriais e de estruturas metálicas,266,111,573004,23095,301314,159016,89579
41,42.99,                Obras de engenharia civil não especificadas anteriormente,601,299,726948,98859,373089,140010,114990
42,43,Serviços especializados para construção,4603,1557,4521868,161604,3887468,361127,111669
43,43.1,      Demolição e preparação do terreno,627,306,3743808,72108,3452577,183488,35635
44,43.11,         Demolição e preparação de canteiros de obras,71,27,84724,10987,60064,11966,1706
45,43.12,         Perfurações e sondagens,71,35,56960,6750,38186,6576,5448
46,43.13,         Obras de terraplenagem,456,234,3578089,52960,3345641,153355,26133
47,43.19,                   Serviços de preparação do terreno não especificados anteriormente,29,10,24035,1411,8685,11592,2348
48,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",1304,503,176496,35564,59140,57891,23901
49,43.21,         Instalações elétricas,695,252,68103,9576,19236,26066,13226
50,43.22,"                   Instalações hidráulicas, de sistemas de ventilação e refrigeração",429,170,41454,14165,8146,13168,5975
51,43.29,                   Obras de instalações em construções não especificadas anteriormente,179,81,66939,11823,31758,18658,4700
52,43.3,      Obras de acabamento,1013,222,52756,4067,26479,16808,5402
53,43.30,         Obras de acabamento,1013,222,52756,4067,26479,16808,5402
54,43.9,      Outros serviços especializados para construção,1659,526,548807,49866,349273,102939,46730
55,43.91,         Obras de fundações,279,102,198093,11606,161787,18835,5865
56,43.99,                   Serviços especializados para construção não especificados anteriormente,1380,423,350714,38259,187486,84104,40865
