,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Ativo imobilizado Melhorias Número
de
informantes",Ativo imobilizado Melhorias Total 1 000 R$,"Ativo imobilizado Melhorias Terrenos
e
edificações 1 000 R$","Ativo imobilizado Melhorias Máquinas
e
equipamentos 1 000 R$","Ativo imobilizado Melhorias Meios
de
transporte 1 000 R$","Ativo imobilizado Melhorias Outras
aquisições 1 000 R$"
4,,                      Total das empresas,1043,330444,204295,47905,32413,45832
5,,Empresas de 1 a 4 pessoas ocupadas,242,669,258,300,-,110
6,41,Construção de edifícios,133,352,-,288,-,64
7,42,Obras de infraestrutura,46,258,258,-,-,-
8,43,Serviços especializados para construção,62,58,-,12,-,46
9,,Empresas de 5 a 29 pessoas ocupadas,456,29914,26392,2646,637,238
10,41,Construção de edifícios,244,23667,23540,79,-,48
11,41.1,    Incorporação e empreendimentos imobiliários,42,13282,13200,54,-,28
12,41.2,    Construção de edifícios,202,10385,10340,25,-,20
13,42,Obras de infraestrutura,93,809,416,322,55,16
14,42.1,"        Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",47,586,360,165,51,9
15,42.2,"        Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",3,27,9,13,3,2
16,42.9,     Construção de outras obras de infraestrutura,44,197,47,144,1,5
17,43,Serviços especializados para construção,118,5438,2437,2245,582,174
18,43.1,      Demolição e preparação do terreno,16,2546,1245,1135,118,47
19,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",47,1875,568,1077,136,94
20,43.3,      Obras de acabamento,36,378,-,33,329,17
21,43.9,      Outros serviços especializados para construções,20,639,623,-,-,15
22,,Empresas com 30 ou mais pessoas ocupadas ,345,299861,177644,44958,31776,45483
23,41,Construção de edifícios,149,86475,31328,11163,3888,40096
24,41.1,    Incorporação e empreendimentos imobiliários,6,10705,4602,449,-,5653
25,41.10,        Incorporação e empreendimentos imobiliários,6,10705,4602,449,-,5653
26,41.2,    Construção de edifícios,142,75771,26726,10714,3888,34443
27,41.20,        Construção de edifícios,142,75771,26726,10714,3888,34443
28,42,Obras de infraestrutura,96,150768,111758,15616,20672,2722
29,42.1,"         Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",41,74033,53550,9979,10108,397
30,42.11,        Construção de rodovias e ferrovias,30,72362,52933,9399,9690,340
31,42.12,        Construção de obras de arte especiais,1,161,161,-,-,-
32,42.13,"        Obras de urbanização - ruas, praças e calçadas",10,1510,456,580,417,57
33,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",36,66356,49869,4850,9481,2157
34,42.21,                 Obras para geração e distribuição de energia elétrica e para telecomunicações,21,50931,37158,2540,9094,2139
35,42.22,"                 Construção de redes de abastecimento de água,  coleta de esgoto e construções correlatas",14,15425,12711,2310,387,18
36,42.23,"                 Construção de redes de transportes por dutos, exceto para água e esgoto",-,-,-,-,-,-
37,42.9,     Construção de outras obras de infraestrutura,20,10378,8339,788,1083,168
38,42.91,"        Obras portuárias, marítimas e fluviais",2,64,54,5,5,-
39,42.92,                 Montagem de instalações industriais e de estruturas metálicas,7,5223,3525,761,778,159
40,42.99,                 Obras de engenharia civil não especificadas anteriormente,11,5091,4760,22,300,9
41,43,Serviços especializados para construção,100,62618,34558,18179,7216,2666
42,43.1,      Demolição e preparação do terreno,17,8946,1762,3880,3133,170
43,43.11,         Demolição e preparação de canteiros de obras,2,546,471,-,71,3
44,43.12,         Perfurações e sondagens,4,196,54,12,20,110
45,43.13,         Obras de terraplenagem,10,8070,1104,3868,3042,57
46,43.19,                  Serviços de preparação do terreno não especificados anteriormente,1,134,134,-,-,-
47,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",31,8686,4564,709,1450,1963
48,43.21,         Instalações elétricas,9,2839,2557,52,138,92
49,43.22,"                   Instalações hidráulicas, de sistemas de ventilação e refrigeração",13,3566,1788,4,830,945
50,43.29,                   Obras de instalações em construções não especificadas anteriormente,9,2281,218,653,483,927
51,43.3,      Obras de acabamento,16,4481,461,2117,1825,79
52,43.30,         Obras de acabamento,16,4481,461,2117,1825,79
53,43.9,      Outros serviços especializados para construção,36,40506,27771,11473,808,454
54,43.91,         Obras de fundações,6,11841,217,11165,442,17
55,43.99,                   Serviços especializados para construção não especificados anteriormente,30,28664,27554,308,366,437
