,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Ativo imobilizado Baixas Número
de
informantes",Ativo imobilizado Baixas Total 1 000 R$,"Ativo imobilizado Baixas Terrenos
e
edificações 1 000 R$","Ativo imobilizado Baixas Máquinas
e
equipamentos 1 000 R$","Ativo imobilizado Baixas Meios
de
transporte 1 000 R$","Ativo imobilizado Baixas Outras
baixas 1 000 R$"
4,,                      Total das empresas,7039,5725451,2342739,2038670,1045179,298863
5,,Empresas de 1 a 4 pessoas ocupadas,1774,702754,124211,521176,57048,320
6,41,Construção de edifícios,1380,181156,124211,1739,55140,66
7,42,Obras de infraestrutura,167,516114,-,515007,1080,26
8,43,Serviços especializados para construção,227,5484,-,4430,827,227
9,,Empresas de 5 a 29 pessoas ocupadas,2608,1372289,1189160,85814,62595,34720
10,41,Construção de edifícios,1432,1256862,1177479,27703,22723,28957
11,41.1,    Incorporação e empreendimentos imobiliários,177,217008,214325,-,240,2443
12,41.2,    Construção de edifícios,1254,1039854,963154,27703,22483,26514
13,42,Obras de infraestrutura,219,28068,2185,14228,10942,713
14,42.1,"         Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",105,13698,2015,5908,5253,522
15,42.2,"        Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",46,5296,170,2027,2911,189
16,42.9,     Construção de outras obras de infraestrutura,69,9074,-,6294,2778,2
17,43,Serviços especializados para construção,957,87358,9496,43883,28929,5050
18,43.1,      Demolição e preparação do terreno,255,49722,7346,33740,7468,1168
19,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",340,15524,227,1309,12356,1632
20,43.3,      Obras de acabamento,39,1434,-,84,1331,20
21,43.9,      Outros serviços especializados para construções,323,20678,1923,8750,7775,2231
22,,Empresas com 30 ou mais pessoas ocupadas ,2658,3650408,1029369,1431681,925536,263823
23,41,Construção de edifícios,1182,893438,590564,91327,128663,82884
24,41.1,    Incorporação e empreendimentos imobiliários,36,17222,14180,249,2289,503
25,41.10,        Incorporação e empreendimentos imobiliários,36,17222,14180,249,2289,503
26,41.2,    Construção de edifícios,1146,876216,576384,91078,126374,82381
27,41.20,        Construção de edifícios,1146,876216,576384,91078,126374,82381
28,42,Obras de infraestrutura,824,2396446,391097,1135402,707575,162373
29,42.1,"         Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",393,1752541,332734,936118,417669,66020
30,42.11,        Construção de rodovias e ferrovias,285,1083456,295731,513409,231305,43012
31,42.12,        Construção de obras de arte especiais,28,590682,5052,400466,171018,14145
32,42.13,"        Obras de urbanização - ruas, praças e calçadas",80,78403,31951,22244,15346,8863
33,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",237,225326,10683,90378,103132,21133
34,42.21,                 Obras para geração e distribuição de energia elétrica e para telecomunicações,148,144632,7264,52064,69532,15772
35,42.22,"                 Construção de redes de abastecimento de água,  coleta de esgoto e construções correlatas",78,34795,3201,20965,9045,1584
36,42.23,"                 Construção de redes de transportes por dutos, exceto para água e esgoto",11,45898,218,17349,24555,3776
37,42.9,     Construção de outras obras de infraestrutura,194,418579,47680,108906,186773,75220
38,42.91,"        Obras portuárias, marítimas e fluviais",8,84968,5842,54051,6758,18316
39,42.92,                 Montagem de instalações industriais e de estruturas metálicas,53,195449,3364,18022,158300,15763
40,42.99,                 Obras de engenharia civil não especificadas anteriormente,132,138162,38474,36832,21716,41140
41,43,Serviços especializados para construção,652,360524,47708,204952,89298,18566
42,43.1,      Demolição e preparação do terreno,163,204233,5576,134736,57833,6086
43,43.11,         Demolição e preparação de canteiros de obras,9,5925,2036,3054,800,35
44,43.12,         Perfurações e sondagens,16,13481,164,8720,3282,1316
45,43.13,         Obras de terraplenagem,131,184064,3146,122560,53654,4704
46,43.19,                  Serviços de preparação do terreno não especificados anteriormente,7,762,230,403,97,32
47,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",200,23033,4070,3189,12671,3103
48,43.21,         Instalações elétricas,99,13047,2338,1503,7555,1651
49,43.22,"                  Instalações hidráulicas, de sistemas de ventilação e refrigeração",69,5741,1706,775,2235,1025
50,43.29,                   Obras de instalações em construções não especificadas anteriormente,31,4245,26,911,2881,427
51,43.3,      Obras de acabamento,78,5692,1111,1292,2375,914
52,43.30,         Obras de acabamento,78,5692,1111,1292,2375,914
53,43.9,      Outros serviços especializados para construção,211,127567,36951,65735,16419,8462
54,43.91,         Obras de fundações,49,39968,2829,31596,3585,1958
55,43.99,                   Serviços especializados para construção não especificados anteriormente,162,87599,34122,34139,12834,6505
