,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Número
 de
 empresas ativas",Total 1 000 R$,Consumo de materiais de construção Tipos selecionados  Total v1 000 R$,Consumo de materiais de construção Tipos selecionados  Asfalto 1 000 R$,Consumo de materiais de construção Tipos selecionados  Cimento 1 000 R$,Consumo de materiais de construção Tipos selecionados  Concreto1 000 R$,Consumo de materiais de construção Tipos selecionados  Tijolos 1 000 R$,Consumo de materiais de construção Tipos selecionados  Vergalhões 1 000 R$
7,,                      Total das empresas,104338,69452677,23658514,3118125,6263541,6393237,3187078,4696533
8,,Empresas de 1 a 4 pessoas ocupadas,48399,2073710,655709,34721,239446,139648,137228,104666
9,41,Construção de edifícios,16983,995264,432282,2626,162000,115855,79172,72630
10,42,Obras de infraestrutura,3862,312040,58736,11402,13371,5966,9748,18248
11,43,Serviços especializados para construção,27554,766406,164692,20694,64075,17827,48308,13788
12,,Empresas de 5 a 29 pessoas ocupadas,41267,9698993,2935574,167645,986492,720808,543704,516924
13,41,Construção de edifícios,18448,6424833,2244371,38309,751544,572201,455723,426593
14,41.1,    Incorporação e empreendimentos imobiliários,681,9783,9206,2370,1675,1187,585,3389
15,41.2,    Construção de edifícios,17767,6415050,2235165,35939,749870,571014,455138,423204
16,42,Obras de infraestrutura,3857,946452,370334,104999,103186,87594,39835,34720
17,42.1,"         Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1392,438786,220235,92497,59592,41533,12942,13671
18,42.2,"    Obras de infraestrutura para energia elétrica,  teleco-",,,,,,,,
19,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",677,141598,33183,8303,8561,10120,2353,3845
20,42.9,     Construção de outras obras de infraestrutura,1788,366068,116917,4199,35033,35940,24540,17204
21,43,Serviços especializados para construção,18963,2327708,320869,24337,131761,61013,48146,55611
22,43.1,      Demolição e preparação do terreno,2312,237144,62543,13004,21967,11865,3963,11744
23,43.2,"            Instalações elétricas, hidráulicas e outras instalações em construções",6026,847715,18285,-,7374,3085,3727,4100
24,43.3,      Obras de acabamento,5361,432076,17747,4813,8639,1255,2143,897
25,43.9,      Outros serviços especializados para construções,5263,810773,222294,6521,93781,44808,38313,38870
26,,Empresas com 30 ou mais pessoas ocupadas ,14671,57679973,20067231,2915758,5037603,5532781,2506146,4074943
27,41,Construção de edifícios,7321,28246502,11764947,502828,2981811,3738648,2099559,2442102
28,41.1,    Incorporação e empreendimentos imobiliários,246,93501,40459,547,8392,15909,6942,8669
29,41.10,        Incorporação e empreendimentos imobiliários,246,93501,40459,547,8392,15909,6942,8669
30,41.2,    Construção de edifícios,7075,28153000,11724488,502281,2973419,3722738,2092617,2433433
31,41.20,        Construção de edifícios,7075,28153000,11724488,502281,2973419,3722738,2092617,2433433
32,42,Obras de infraestrutura,2748,23673757,7342407,2325535,1692111,1532555,304375,1487831
33,42.1,"         Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1075,10449289,4398275,2001618,781611,775746,180267,659033
34,42.11,        Construção de rodovias e ferrovias,687,7620668,3097027,1627193,573650,423811,102515,369857
35,42.12,        Construção de obras de arte especiais,81,1367485,730470,98708,109689,249111,37333,235629
36,42.13,"        Obras de urbanização - ruas, praças e calçadas",307,1461135,570778,275717,98272,102823,40419,53547
37,42.2,"         Obras de infraestrutura para energia elétrica,  telecomunicações, água, esgoto e transporte por dutos",774,4161606,749439,110556,168321,217263,38390,214909
38,42.21,               Obras para geração e distribuição de energia elétrica e para telecomunicações,498,2671728,241279,19417,60326,72484,13100,75952
39,42.22,"           Construção de redes de abastecimento de água,  coleta de esgoto e construções correlatas",241,1211598,478484,89239,104430,135289,24995,124532
40,42.23,"                 Construção de redes de transportes por dutos, exceto para água e esgoto",35,278280,29676,1900,3565,9489,296,14426
41,42.9,     Construção de outras obras de infraestrutura,899,9062863,2194693,213361,742179,539547,85718,613888
42,42.91,"        Obras portuárias, marítimas e fluviais",32,2187496,510274,6230,182428,138492,800,182325
43,42.92,                Montagem de instalações industriais e de estruturas metálicas,266,2884430,776923,81505,130799,224347,24819,315453
44,42.99,                Obras de engenharia civil não especificadas anteriormente,601,3990937,907496,125627,428951,176708,60099,116111
45,43,Serviços especializados para construção,4603,5759714,959877,87395,363681,261578,102212,145011
46,43.1,      Demolição e preparação do terreno,627,941620,177679,47338,62256,40938,7489,19659
47,43.11,         Demolição e preparação de canteiros de obras,71,49648,5215,362,1414,2883,241,315
48,43.12,         Perfurações e sondagens,71,146472,3096,-,737,486,235,1638
49,43.13,         Obras de terraplenagem,456,711839,167303,46754,59174,37205,6890,17280
50,43.19,                  Serviços de preparação do terreno não especificados anteriormente,29,33660,2065,222,930,364,123,426
51,43.2,"             Instalações elétricas, hidráulicas e outras instalações em construções",1304,1784933,88633,2576,27248,25646,20030,13133
52,43.21,         Instalações elétricas,695,910847,42330,1921,12110,10292,10826,7182
53,43.22,"                   Instalações hidráulicas, de sistemas de ventilação e refrigeração",429,561794,25695,208,7603,10806,4105,2973
54,43.29,                   Obras de instalações em construções não especificadas anteriormente,179,312292,20608,447,7535,4548,5100,2977
55,43.3,      Obras de acabamento,1013,714413,79108,10992,31839,18901,8519,8857
56,43.30,         Obras de acabamento,1013,714413,79108,10992,31839,18901,8519,8857
57,43.9,      Outros serviços especializados para construção,1659,2318748,614457,26490,242338,176092,66175,103362
58,43.91,         Obras de fundações,279,521666,111834,5135,40905,26989,9584,29222
59,43.99,                   Serviços especializados para construção não especificados anteriormente,1380,1797082,502623,21355,201433,149104,56591,74140
