,"Código
PRODLIST
Construção","Classes de atividades 
e 
descrição de produtos","Valor das incorporações, 
obras e/ou serviços
da construção
(1 000 R$)","Como contratante única ou principal Número
de
informantes","Como contratante única ou principal Valor
(1 000 R$)","Como subcontratada Número
de
informantes","Como subcontratada Valor
(1 000 R$)"
3,4222,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",6739248,341,6401545,34,337704
4,4222.2010 ,"Obras de irrigação (barragens, canais, etc.)",556233,12,555665,2,569
5,4222.2020 ,Redes de distribuição de água,1345993,68,1114987,7,231006
6,4222.2030 ,"Redes de esgotos, interceptores, estações de tratamento ou galerias pluviais",3587540,180,3536228,19,51312
7,4222.9010 ,Serviços de manutenção de redes de distribuição de água,256218,17,218778,1,37440
8,4222.9020 ,"Serviços de manutenção de redes de esgotos, interceptores, estações de tratamento ou galerias pluviais",993264,64,975887,5,17377
9,4223,"Construção de redes de transportes por duto, exceto para água e esgoto",3548989,42,3515389,6,33601
10,4223.2010 ,"Dutos (oleodutos, gasodutos, minerodutos, etc.)",2023500,29,1993009,5,30491
11,4223.9010 ,"Serviços de manutenção de dutos (oleodutos, gasodutos, minerodutos, etc.)",1525489,13,1522380,1,3110
12,4291,"Obras portuárias, marítimas e fluviais",6234194,67,6119092,7,115102
13,4291.2010 ,Dragagem e aterro hidráulico,451944,23,440666,2,11278
14,4291.2020 ,Instalação de cabos submarinos,16905,-,-,1,16905
15,4291.2030 ,"Obras marítimas e fluviais (portos, marinas, diques, etc.)",5284199,33,5198418,3,85781
16,4291.9010,"Serviço de manutenção de obras marítimas e fluviais (portos, marinas, diques, etc.)",481146,11,480008,1,1138
17,4292,Montagem de instalações industriais e de estruturas metálicas,19329604,238,17245216,45,2084388
18,4292.2010 ,Montagem de estruturas metálicas permanentes,2509756,138,1872862,33,636894
19,4292.2020 ,Plantas de mineração,1291331,9,1291331,-,-
20,4292.2030 ,"Plantas e instalações industriais (tubulações, redes de facilidades, etc.)",15528517,91,14081023,12,1447494
21,4299,Obras de engenharia civil não especificadas anteriormente,17685902,594,16617828,80,1068074
22,4299.2010 ,"Quadras, piscinas, pistas de competição e outras instalações esportivas e recreativas semelhantes",1124517,49,1124517,-,-
23,4299.2020 ,Obras de engenharia civil não especificadas anteriormente,12476597,446,11630064,68,846533
24,4299.9010 ,Serviços de recuperação de obras de engenharia civil não especificadas anteriormente,4084788,99,3863247,12,221541
25,4311,Demolição e preparação de canteiros de obras,1258751,94,1153506,21,105244
26,4311.2010 ,Demolição de edifícios e outras estruturas,224929,41,210386,8,14543
27,4311.2020 ,Preparação de canteiros de obras,330052,46,271506,8,58546
28,4311.9010 ,Serviços de aluguel e operação de equipamentos de demolição,703770,7,671614,5,32155
29,4312,Perfurações e sondagens,1084397,83,755259,16,329138
30,4312.2010 ,Perfurações e sondagens,1084397,83,755259,16,329138
31,4313,Obras de terraplanegem,7871330,517,6974462,88,896869
32,4313.2010 ,Derrocamentos,361730,9,354876,1,6855
33,4313.2020 ,Escavação e movimentação de terras - terraplenagem,6855291,439,6098477,69,756814
34,4313.9010 ,Serviços de aluguel e operação de equipamentos de terraplanagem,654309,69,521109,18,133200
35,4319,Serviços de preparação do terreno não especificados anteriormente,551159,81,501978,17,49181
36,4319.2010 ,Drenagem,341257,52,298859,10,42398
37,4319.2020 ,Rebaixamento de lençol freático,49470,10,45781,3,3689
38,4319.2030 ,Outros tipos de preparações de terreno não especificadas anteriormente,160432,19,157338,4,3094
