,"Códigos
da 
CNAE
2.0","Divisões, grupos
e
classes de atividades
","Número
de 
empresas                                                ativas",,"Pessoal
ocupado
em
31.12",,Custos e despesas Total 1 000 R$,,Custos e despesas Gastos de pessoal Total 1 000 R$,,"Custos e despesas Gastos de pessoal Salários, retiradas e outras remunerações 1 000 R$",
6,,Total das empresas,111931,A,2961190,A,301796485,A,102293354,A,67401299,A
7,,Empresas de 1 a 4 pessoas ocupadas,52233,A,186542,B,11684033,B,3637329,B,2637119,B
8,41,Construção de edifícios,18020,A,78613,B,7424523,B,1676872,B,1154976,B
9,42,Obras de infraestrutura,4962,B,18991,B,1023626,B,383048,B,280905,C
10,43,Serviços especializados para construção,29251,A,88938,B,3235884,B,1577409,B,1201238,B
11,,Empresas de 5 a 29 pessoas ocupadas,47002,A,636615,A,33490114,B,13493854,A,9614185,A
12,41,Construção de edifícios,18727,A,290389,B,17778217,B,5682530,B,3976407,B
13,41.1,Incorporação e empreendimentos imobiliários,1376,B,11780,C,1196991,C,299983,B,220612,B
14,41.2,Construção de edifícios,17351,A,278609,B,16581226,B,5382547,B,3755795,B
15,42,Obras de infraestrutura,4324,B,62440,B,3641002,B,1463778,B,1015172,B
16,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1911,C,20246,B,1243402,B,416898,B,301657,B
17,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",902,B,13714,B,821907,C,330693,C,230168,B
18,42.9,Construção de outras obras de infraestrutura,1511,B,28480,C,1575693,C,716187,B,483347,B
19,43,Serviços especializados para construção,23951,A,283786,A,12070895,B,6347546,A,4622606,A
20,43.1,Demolição e preparação do terreno,2671,A,32357,B,1729104,B,743736,B,587392,B
21,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",7691,B,88869,B,3425838,B,1818043,B,1357598,B
22,43.3,Obras de acabamento,7555,B,75046,B,2868292,B,1793361,B,1264244,B
23,43.9,Outros serviços especializados para construções,6034,B,87514,B,4047661,B,1992406,B,1413372,B
24,,Empresas com 30 ou mais pessoas ocupadas,12696,A,2138033,A,256622338,A,85162171,A,55149995,A
25,41,Construção de edifícios,6267,A,849769,A,97877549,A,27648587,A,18176981,A
26,41.1,Incorporação e empreendimentos imobiliários,269,A,18338,A,5127159,A,963603,A,632786,A
27,41.10,Incorporação e empreendimentos imobiliários,269,A,18338,A,5127159,A,963603,A,632786,A
28,41.2,Construção de edifícios,5998,A,831431,A,92750390,A,26684984,A,17544195,A
29,41.20,Construção de edifícios,5998,A,831431,A,92750390,A,26684984,A,17544195,A
30,42,Obras de infraestrutura,2445,A,864118,A,124708016,A,43556679,A,27729145,A
31,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",982,A,340646,A,53174763,A,14899663,A,9692149,A
32,42.11,Construção de rodovias e ferrovias,635,A,246424,A,41678645,A,10884158,A,7067935,A
33,42.12,Construção de obras de arte especiais,77,A,52217,A,7837091,A,2756137,A,1795533,A
34,42.13,"Obras de urbanização - ruas, praças e calçadas",270,A,42005,A,3659027,A,1259368,A,828681,A
35,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",679,A,250294,A,30908880,A,12342652,A,7952031,A
36,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,434,A,187670,A,22849646,A,9839462,A,6353398,A
37,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",213,A,45392,A,4656938,A,1387131,A,913553,A
38,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",32,B,17232,A,3402296,A,1116059,A,685080,A
39,42.9,Construção de outras obras de infraestrutura,784,A,273178,A,40624373,A,16314364,A,10084965,A
40,42.91,"Obras portuárias, marítimas e fluviais",27,B,8514,A,2628352,A,464628,A,289361,A
41,42.92,Montagem de instalações industriais e de estruturas metálicas,246,A,157377,A,24277997,A,10758390,A,6446146,A
42,42.99,Obras de engenharia civil não especificadas anteriormente,511,A,107287,A,13718024,A,5091346,A,3349458,A
43,43,Serviços especializados para construção,3984,A,424146,A,34036773,A,13956905,A,9243869,A
44,43.1,Demolição e preparação do terreno,558,A,73634,A,8841355,A,2917537,A,1900004,A
45,43.11,Demolição e preparação de canteiros de obras,49,A,7445,A,1112638,B,266531,A,173282,A
46,43.12,Perfurações e sondagens,60,A,6337,A,703649,A,291102,A,173659,A
47,43.13,Obras de terraplenagem,419,A,56865,A,6809444,A,2276176,A,1500168,A
48,43.19,Serviços de preparação do terreno não especificados anteriormente,30,B,2987,A,215624,B,83728,B,52895,A
49,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1174,A,137518,A,10325273,A,4705082,A,3096079,A
50,43.21,Instalações elétricas,643,A,78311,A,5607450,A,2690554,A,1760583,A
51,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",376,A,42415,A,3168235,A,1357238,A,905863,A
52,43.29,Obras de instalações em construções não especificadas anteriormente,155,A,16792,A,1549588,A,657290,A,429633,A
53,43.3,Obras de acabamento,835,A,65742,A,3338917,A,1667852,A,1153706,A
54,43.30,Obras de acabamento,835,A,65742,A,3338917,A,1667852,A,1153706,A
55,43.9,Outros serviços especializados para construção,1417,A,147252,A,11531228,A,4666434,A,3094080,A
56,43.91,Obras de fundações,261,A,32543,A,2802312,A,1133712,A,741486,A
57,43.99,Serviços especializados para construção não especificados anteriormente,1156,A,114709,A,8728916,A,3532722,A,2352594,A
