,"Códigos
da 
CNAE
2.0","Divisões, grupos
e
classes de atividades
","Custos e despesas Custos das obras e/ou
serviços da construção Total 1 000 R$",," Custos e despesas Custos das obras e/ou
serviços da construção Consumo de materiais de construção 1 000 R$",,"Custos e despesas Custos de incorporações de imóveis
construídos por terceiros Total 1 000 R$",,"Custos e despesas Custos de incorporações de imóveis
construídos por terceiros Materiais de construção 1 000 R$",,"Custos e despesas Outros
custos e
despesas 1 000 R$",
5,,Total das empresas,124430146,A,74760025,A,5602884,B,3065415,B,69470099,A
6,,Empresas de 1 a 4 pessoas ocupadas,4048505,C,2491430,C,487049,C,306277,C,3511149,C
7,41,Construção de edifícios,2747119,C,1720531,C,459205,C,292598,C,2541327,C
8,42,Obras de infraestrutura,351190,C,217003,C,23423,D,10035,D,265964,C
9,43,Serviços especializados para construção,950196,B,553896,C,4421,D,3644,D,703858,B
10,,Empresas de 5 a 29 pessoas ocupadas,13466787,C,9916818,B,848948,C,539901,C,5680526,B
11,41,Construção de edifícios,8413366,C,6637494,C,722907,C,434108,C,2959413,C
12,41.1,Incorporação e empreendimentos imobiliários,43259,D,6256,E,568510,C,291196,C,285239,C
13,41.2,Construção de edifícios,8370107,C,6631238,C,154397,E,142912,E,2674174,C
14,42,Obras de infraestrutura,1364805,C,894679,C,27626,C,23372,C,784793,C
15,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",584540,B,381418,C,14,E,13,E,241950,C
16,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",247079,C,150982,B,3404,E,1793,E,240731,E
17,42.9,Construção de outras obras de infraestrutura,533186,D,362279,D,24208,C,21566,C,302112,C
18,43,Serviços especializados para construção,3688616,B,2384645,B,98415,D,82421,E,1936320,B
19,43.1,Demolição e preparação do terreno,560494,B,155599,C,3965,D,898,E,420910,B
20,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1041889,C,674538,C,1502,D,444,E,564404,B
21,43.3,Obras de acabamento,667077,C,464224,C,30509,E,30478,E,377346,C
22,43.9,Outros serviços especializados para construções,1419156,C,1090284,C,62439,E,50601,E,573660,C
23,,Empresas com 30 ou mais pessoas ocupadas,106914854,A,62351777,A,4266887,A,2219237,A,60278424,A
24,41,Construção de edifícios,47148069,A,30431841,A,4045528,A,2047072,A,19035364,A
25,41.1,Incorporação e empreendimentos imobiliários,125622,B,83627,B,2788279,A,1338804,A,1249655,A
26,41.10,Incorporação e empreendimentos imobiliários,125622,B,83627,B,2788279,A,1338804,A,1249655,A
27,41.2,Construção de edifícios,47022447,A,30348214,A,1257249,A,708268,A,17785709,A
28,41.20,Construção de edifícios,47022447,A,30348214,A,1257249,A,708268,A,17785709,A
29,42,Obras de infraestrutura,47487313,A,25103224,A,120727,A,88675,A,33543296,A
30,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",22804554,A,11810989,A,96144,A,79908,A,15374402,A
31,42.11,Construção de rodovias e ferrovias,18135455,A,9299744,A,88909,A,76372,A,12570123,A
32,42.12,Construção de obras de arte especiais,2987471,A,1442009,A,-,Z,-,Z,2093483,A
33,42.13,"Obras de urbanização - ruas, praças e calçadas",1681628,A,1069236,A,7235,B,3536,C,710796,A
34,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",10817154,A,5061750,A,4307,B,2200,C,7744765,A
35,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,7019782,A,3238286,A,1918,C,1648,D,5988483,A
36,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",2177899,A,1344415,A,2389,A,552,B,1089518,A
37,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",1619473,A,479049,A,-,Z,-,Z,666764,A
38,42.9,Construção de outras obras de infraestrutura,13865605,A,8230485,A,20276,B,6567,B,10424129,A
