,"Códigos
da
CNAE
2.0","Divisões, grupos de atividades
e
faixas de pessoal ocupado","Número
de
empresas
ativas","Pessoal
ocupado
em
31.12",Custos e despesas Total 1 000 R$,Custos e despesas Gastos de pessoal Total 1 000 R$,"Custos e despesas Gastos de pessoal Salários,
retiradas e
outras
remune-
rações 1 000 R$","Custos e despesas Custos das obras e/ou
serviços da construção Total 1 000 R$","Custos e despesas Custos das obras e/ou
serviços da construção Consumo de
materiais de
construção 1 000 R$","Custos e despesas Custos de incorporações
de imóveis
construídos por terceiros Total 1 000 R$","Custos e despesas Custos de incorporações
de imóveis
construídos por terceiros Materiais de
construção 1 000 R$","Custos e despesas Outros
custos e
despesas 1 000 R$"
5,,Total,59698,2774648,290112451,98656027,64764179,120381643,72268592,5115838,2759142,65958941
6,,De   5 a 29,46027,514458,34682003,12758734,8983562,13879305,9868436,1777273,1188220,6266690
7,,De  30 a 49,5140,211711,18463255,5816228,4033885,8764588,6122843,472894,211389,3409547
8,,De  50 a 99,4301,324985,28527362,9120442,6108145,13055621,8596348,744693,443937,5606605
9,,De 100 a 249,2818,461477,42818450,14022812,9261025,19751528,12117576,753309,422880,8290800
10,,De 250 a 499,830,294073,32396072,10461607,6837618,14529103,8750097,463958,190516,6941403
11,,Com 500 e mais,582,967944,133225309,46476204,29539944,50401498,26813292,903711,302200,35443896
12,41,Construção de edifícios ,24994,1140158,115655765,33331118,22153389,55561435,37069337,4768435,2481181,21994777
13,,De   5 a 29,18285,215847,19383910,5412867,3712412,8839571,6681665,1649723,1081905,3481749
14,,De  30 a 49,2212,92046,9822184,2483263,1709686,5170636,3826326,446069,188850,1722217
15,,De  50 a 99,2325,173185,16446061,4527738,3031291,8222327,5597600,714384,429438,2981611
16,,De 100 a 249,1558,253190,22526262,6792315,4559854,11295874,7625466,701888,375937,3736185
17,,De 250 a 499,395,139595,15073033,4496275,2955887,7383492,5039514,446772,185962,2746493
18,,Com 500 e mais,219,266295,32404315,9618660,6184259,14649535,8298766,809599,219089,7326522
19,41.1,"Incorporação de empreendimentos
imobiliários",1645,30118,6324150,1263586,853397,168881,89884,3356789,1630000,1534894
20,,De   5 a 29,1431,10506,2588537,414709,292051,62669,19399,1461825,937155,649335
21,,De  30 a 49,88,3582,644989,100236,70771,11946,8337,353730,138278,179077
22,,De  50 a 99,72,5446,859880,188954,127744,29641,22231,391037,215783,250248
23,,De 100 a 249,44,6359,894635,258903,173173,35637,20195,380970,208709,219125
24,,De 250 a 499,8,x,x,x,x,x,x,x,x,x
25,,Com 500 e mais,2,x,x,x,x,x,x,x,x,x
26,41.2,Construção de edifícios,23349,1110040,109331615,32067532,21299992,55392554,36979453,1411646,851181,20459883
27,,De   5 a 29,16854,205341,16795373,4998158,3420361,8776902,6662266,187898,144750,2832414
28,,De  30 a 49,2124,88464,9177195,2383027,1638915,5158690,3817989,92339,50572,1543140
29,,De  50 a 99,2253,167739,15586181,4338784,2903547,8192686,5575369,323347,213655,2731363
30,,De 100 a 249,1514,246831,21631627,6533412,4386681,11260237,7605271,320918,167228,3517060
31,,De 250 a 499,387,136786,14348633,4302348,2832923,7356831,5022119,106103,65620,2583351
32,,Com 500 e mais,217,264879,31792606,9511803,6117565,14647208,8296439,381041,209356,7252555
33,42,Obras de infraestrutura,6769,926558,128349016,45020458,28744317,48852120,25997901,148355,112049,34328085
34,,De   5 a 29,4283,50841,4291188,1557941,1065427,1737160,1106951,32796,22618,963292
35,,De  30 a 49,686,27789,2618804,877130,584115,1180899,687207,7717,5634,553058
36,,De  50 a 99,656,50606,5462606,1851909,1209078,2356281,1400392,5838,1145,1248578
37,,De 100 a 249,612,101192,11615583,3774274,2419847,5255185,2742088,6787,2812,2579336
38,,De 250 a 499,275,98264,12173962,3999931,2596041,5277327,2803250,8638,4262,2888067
39,,Com 500 e mais,257,597866,92186873,32959273,20869809,33045268,17258013,86579,75578,26095754
40,42.1,"Construção de rodovias, ferrovias,
obras urbanas e obras de arte",2893,360892,54418164,15316561,9993806,23389095,12192406,96158,79922,15616351
41,,De   5 a 29,1901,18254,1439784,454079,322201,663978,436601,3479,60,318248
42,,De  30 a 49,253,10048,1055592,284893,197397,527313,272161,4451,2811,238935
43,,De  50 a 99,245,18890,1985996,579758,383331,973832,576402,1030,566,431376
44,,De 100 a 249,268,43649,5724907,1662802,1088859,2661170,1500336,3,3,1400931
45,,De 250 a 499,119,43088,6494795,1797011,1192055,3213071,1850871,962,962,1483752
46,,Com 500 e mais,107,226963,37717090,10538018,6809963,15349731,7556035,86233,75520,11743109
47,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por duto",1581,264008,31730787,12673345,8182199,11064234,5212732,7713,3994,7985496
48,,De   5 a 29,925,13005,1244632,496932,318640,399992,223778,3362,1750,344347
49,,De  30 a 49,152,6186,480305,208448,141020,167398,107552,179,179,104280
50,,De  50 a 99,186,14005,1238218,468799,300808,502560,275774,189,189,266670
51,,De 100 a 249,171,28453,3224294,1099470,686324,1509933,589004,1740,1469,613151
52,,De 250 a 499,76,27695,3154416,1139504,731739,1118774,521879,1898,350,894240
53,,Com 500 e mais,71,174664,22388922,9260192,6003668,7365577,3494745,345,57,5762808
54,42.9,"Construção de outras obras de
infraestrutura",2295,301658,42200065,17030552,10568312,14398791,8592763,44484,28133,10726238
55,,De   5 a 29,1457,19582,1606772,606930,424586,673190,446572,25955,20808,300697
56,,De  30 a 49,281,11555,1082907,383789,245698,486188,307494,3087,2644,209843
57,,De  50 a 99,225,17711,2238392,803352,524939,879889,548216,4619,390,550532
58,,De 100 a 249,173,29090,2666382,1012002,644664,1084082,652748,5044,1340,565254
59,,De 250 a 499,80,27481,2524751,1063416,672247,945482,430500,5778,2950,510075
60,,Com 500 e mais,79,196239,32080861,13161063,8056178,10329960,6207233,1,1,8589837
61,43,"Serviços especializados para
construção",27935,707932,46107670,20304451,13866473,15968088,9201354,199048,165912,9636079
62,,De   5 a 29,23459,247770,11006905,5787926,4205723,3302574,2079820,94754,83697,1821649
63,,De  30 a 49,2242,91876,6022267,2455835,1740084,2413053,1609310,19108,16905,1134272
64,,De  50 a 99,1320,101194,6618695,2740795,1867776,2477013,1598356,24471,13354,1376416
65,,De 100 a 249,648,107095,8676605,3456223,2281324,3200469,1750022,44634,44131,1975279
66,,De 250 a 499,160,56214,5149077,1965401,1285690,1868284,907333,8548,292,1306843
67,,Com 500 e mais,3229,105991,10570458,3661274,2487395,3747570,1542505,19828,9463,3141785
68,43.1,Demolição e preparação do terreno,106,103783,8634121,3898271,2485876,2706695,1256513,7533,7533,2021620
69,,De   5 a 29,2595,26982,1797779,695247,541511,624693,145905,6175,898,471664
70,,De  30 a 49,327,12640,1274287,369843,265962,624466,411937,2802,2785,277176
71,,De  50 a 99,153,11589,1096850,371832,249689,387965,173037,6010,5780,331043
72,,De 100 a 249,104,16902,1969894,624492,402193,710992,243848,-,-,634409
73,,De 250 a 499,26,9020,1307331,366520,233457,500011,139548,4841,-,435959
74,,Com 500 e mais,24,28858,3124317,1233340,794583,899443,428230,-,-,991534
75,43.2,"Instalações elétricas, hidráulicas e
outras instalações em construções",8865,226387,13751112,6523125,4453676,4822980,2748526,36452,34777,2368555
76,,De   5 a 29,7504,80052,2778710,1576692,1184891,689191,491572,1874,873,510953
77,,De  30 a 49,727,29724,2072984,892436,631170,849097,541599,3268,3092,328184
78,,De  50 a 99,336,25915,1775050,764641,518663,695827,457476,2076,1578,312506
79,,De 100 a 249,205,33623,2780039,1174278,786400,1067074,591033,29234,29234,509453
80,,De 250 a 499,57,20806,1430320,694791,447663,503644,284487,-,-,231884
81,,Com 500 e mais,36,36267,2914009,1420287,884889,1018147,382359,-,-,475575
82,43.3,Obras de acabamento,8390,140788,6207211,3461212,2417949,1807534,1294088,37628,37113,900835
83,,De   5 a 29,7540,71906,2895138,1792444,1257315,674491,473846,30698,30658,397504
84,,De  30 a 49,470,19523,790591,391201,282008,290695,225109,3243,2805,105452
85,,De  50 a 99,264,21092,871018,448270,316246,282071,216724,2811,2774,137866
86,,De 100 a 249,91,15395,748464,405437,269783,213663,142408,872,872,128493
87,,De 250 a 499,15,5113,406760,194505,137078,133787,90670,1,1,78466
88,,Com 500 e mais,10,7759,495240,229355,155519,212827,145331,3,3,53054
89,43.9,"Outros serviços especializados
para construção",7451,234766,15578889,6658840,4507453,5590004,3616235,105140,84559,3224904
90,,De   5 a 29,5820,68830,3535278,1723543,1222006,1314199,968497,56007,51268,441528
91,,De  30 a 49,718,29989,1884405,802355,560944,648795,430665,9795,8223,423460
92,,De  50 a 99,567,42598,2875777,1156052,783178,1111150,751119,13574,3222,595001
93,,De 100 a 249,248,41175,3178208,1252016,822948,1208740,772733,14528,14025,702924
94,,De 250 a 499,62,21275,2004666,709585,467492,730842,392628,3706,291,560534
95,,Com 500 e mais,36,30899,2100555,1015289,650885,576278,300593,7530,7530,501457
