,"Códigos
da
CNAE
2.0","Divisões, grupos de atividades
e
faixas de pessoal ocupado","Receita
bruta
total 1 000 R$
","Receita
líquida 1 000 R$","
Valor das incorporações, obras
e/ou serviços da
construção 1 000 R$
","Consumo
intermediário 1 000 R$","Valor bruto
da
produção 1 000 R$","Valor
adicionado
(1) 1 000 R$"
3,,Total,345641547,320870742,339478023,164064581,323488126,159423553
4,,De   5 a 29,50343568,46120877,49670872,19192286,46481929,27289643
5,,De  30 a 49,24585604,22601247,23427431,11182265,22030120,10847856
6,,De  50 a 99,36576033,34018022,35986378,16987540,34069916,17082379
7,,De 100 a 249,53899898,50303295,51602043,25293041,49116356,23823316
8,,De 250 a 499,37826846,35339170,37284048,19104082,35783969,16679890
9,,Com 500 e mais,142409598,132488131,141507251,72305367,136005836,63700469
10,41,Construção de edifícios ,142734224,133369596,142358629,71067333,133600791,62533460
11,,De   5 a 29,27700698,25659009,27464292,12169723,25614390,13444667
12,,De  30 a 49,13348871,12301520,12616031,6465203,11631574,5166372
13,,De  50 a 99,21210141,19911866,21084126,10462522,19879559,9417038
14,,De 100 a 249,28932775,27217731,27338609,13949210,25758453,11809243
15,,De 250 a 499,17218786,16266116,17263802,9322177,16555526,7233349
16,,Com 500 e mais,34322953,32013354,36591769,18698498,34161289,15462791
17,41.1,"Incorporação de empreendimentos
imobiliários",8781357,7966481,8835072,4034235,7837006,3802771
18,,De   5 a 29,4203690,3908996,4178862,1762579,3880033,2117454
19,,De  30 a 49,1232787,923474,1234461,428618,895377,466759
20,,De  50 a 99,1025024,958846,1059091,492987,983473,490486
21,,De 100 a 249,1105844,1001825,1128786,514145,976242,462097
22,,De 250 a 499,x,x,x,x,x,x
23,,Com 500 e mais,x,x,x,x,x,x
24,41.2,Construção de edifícios,133952867,125403115,133523557,67033098,125763785,58730689
25,,De   5 a 29,23497008,21750013,23285430,10407144,21734357,11327213
26,,De  30 a 49,12116084,11378046,11381570,6036585,10736197,4699613
27,,De  50 a 99,20185117,18953020,20025035,9969535,18896086,8926552
28,,De 100 a 249,27826931,26215906,26209823,13435065,24782211,11347146
29,,De 250 a 499,16601169,15674502,16626325,8858831,15969570,7110739
30,,Com 500 e mais,33726558,31431628,35995374,18325938,33645364,15319426
31,42,Obras de infraestrutura,143650594,133369011,139346690,70445360,135055739,64610384
32,,De   5 a 29,6167214,5458658,6268120,2352233,5777169,3424936
33,,De  30 a 49,3422677,3189743,3293288,1518050,3215265,1697216
34,,De  50 a 99,6991113,6477853,6699153,3170162,6412381,3242220
35,,De 100 a 249,14351663,13327182,13981194,6854445,13525464,6671020
36,,De 250 a 499,14410396,13366072,14014153,7030653,13541392,6510740
37,,Com 500 e mais,98307531,91549503,95090782,49519817,92584068,43064252
38,42.1,"Construção de rodovias, ferrovias,
obras urbanas e obras de arte",61201070,56992803,59483409,32234173,57447072,25212900
39,,De   5 a 29,2135259,1986434,2075611,844961,2025220,1180259
40,,De  30 a 49,1410526,1314128,1358621,655585,1312528,656944
41,,De  50 a 99,2677379,2496660,2580847,1204458,2476448,1271990
42,,De 100 a 249,7039535,6560327,6759562,3477391,6565903,3088512
43,,De 250 a 499,7611014,7072453,7413690,4093898,7135727,3041829
44,,Com 500 e mais,40327357,37562801,39295078,21957880,37931246,15973366
45,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por duto",35925424,33312756,34658054,16393490,33509953,17116464
46,,De   5 a 29,1589151,1456727,1528551,602199,1450658,848459
47,,De  30 a 49,675747,627798,631562,237245,605447,368202
48,,De  50 a 99,1588200,1459263,1505035,665894,1451479,785586
49,,De 100 a 249,3811304,3533321,3863546,1910922,3732775,1821853
50,,De 250 a 499,4008010,3686004,3913130,1688542,3784090,2095548
51,,Com 500 e mais,24253012,22549643,23216230,11288688,22485504,11196816
52,42.9,"Construção de outras obras de
infraestrutura",46524100,43063452,45205227,21817697,44098714,22281020
53,,De   5 a 29,2442804,2015497,2663958,905073,2301291,1396218
54,,De  30 a 49,1336404,1247817,1303105,625220,1297290,672070
55,,De  50 a 99,2725534,2521930,2613271,1299810,2484454,1184644
56,,De 100 a 249,3500824,3233534,3358086,1466132,3226786,1760655
57,,De 250 a 499,2791372,2607615,2687333,1248213,2621575,1373363
58,,Com 500 e mais,33727162,31437059,32579474,16273249,32167318,15894070
59,43,"Serviços especializados para
construção",59256729,54132135,57772704,22551888,54831596,32279709
60,,De   5 a 29,16475656,15003210,15938460,4670330,15090370,10420040
61,,De  30 a 49,7814056,7109984,7518112,3199012,7183281,3984268
62,,De  50 a 99,8374779,7628303,8203099,3354856,7777976,4423121
63,,De 100 a 249,10615460,9758382,10282240,4489386,9832439,5343053
64,,De 250 a 499,6197664,5706982,6006093,2751252,5687051,2935801
65,,Com 500 e mais,13035096,11942974,12761886,5461226,12127118,6665892
66,43.1,Demolição e preparação do terreno,9779114,8925274,9824700,4087052,9260479,5173426
67,,De   5 a 29,2481614,2238033,2304089,843846,2231264,1387418
68,,De  30 a 49,1671877,1537361,1671228,764758,1574196,809438
69,,De  50 a 99,1344631,1227771,1305684,561126,1250191,689065
70,,De 100 a 249,2358718,2191265,2320467,1057004,2181074,1124070
71,,De 250 a 499,1641493,1513481,1576562,775050,1513527,738477
72,,Com 500 e mais,3536763,3235063,3583856,1459442,3376866,1917424
73,43.2,"Instalações elétricas, hidráulicas e
outras instalações em construções",18692311,16864118,17760074,6586398,16781804,10195405
74,,De   5 a 29,4921759,4397907,4542018,1096833,4150267,3053434
75,,De  30 a 49,2714848,2462598,2547230,1087090,2458213,1371122
76,,De  50 a 99,2420881,2174483,2326748,922121,2176608,1254487
77,,De 100 a 249,3480403,3172849,3307917,1413530,3205294,1791764
78,,De 250 a 499,1813478,1640947,1733838,669414,1649770,980356
79,,Com 500 e mais,3340942,3015334,3302323,1397410,3141652,1744242
