,"Grandes Regiões 
e
Unidades da Federação
da sede da empresa","
Receita
bruta
total 1 000 R$
","Receita
líquida 1 000 R$","
Valor das incorporações, obras
e/ou serviços da
construção  1 000 R$
","Consumo
intermediário 1 000 R$","Valor bruto
da
produção 1 000 R$","Valor
adicionado
(1) 1 000 R$"
4,Total das empresas,,,,,,
5,Brasil ,363909809,337604437,357722400,170386179,340487553,170101368
6,Norte,13255502,12304706,13167774,5771393,12383906,6612512
7,Nordeste,53667124,49876828,53132570,23551524,50248958,26697432
8,Sudeste,218579414,202569985,215904828,105854724,206295391,100440666
9,Sul,50647070,47172000,48270617,22570289,45863654,23293364
10,Centro-Oeste,27760699,25680918,27246611,12638249,25695644,13057394
11,Empresas de 1 a 4 pessoas ocupadas,,,,,,
12,Brasil ,18268257,16733695,18244373,6321601,16999424,10677820
13,Norte,1320878,1216802,1349701,378139,1263578,885439
14,Nordeste,3893718,3445060,4276861,1185931,3892779,2706847
15,Sudeste,4503104,4101135,4723439,1697269,4510764,2813494
16,Sul,6645705,6269347,5947283,2320731,5565284,3244553
17,Centro-Oeste,1904852,1701351,1947089,739531,1767019,1027487
18,Empresas com 5 ou mais pessoas ocupadas,,,,,,
19,Brasil ,345641552,320870742,339478027,164064578,323488129,159423548
20,Norte,11934624,11087904,11818073,5393254,11120328,5727073
21,Rondônia,882468,808202,1019677,474835,958169,483334
22,Acre,754999,698106,686111,349920,640771,290852
23,Amazonas,3312903,3078940,3302643,1505840,3113405,1607566
24,Roraima,361199,342416,356401,133307,343303,209996
25,Pará,4981721,4630156,4937885,2191939,4615571,2423631
26,Amapá,324998,301198,319320,133105,307030,173924
27,Tocantins,1316336,1228886,1196036,604308,1142079,537770
28, Nordeste,49773406,46431768,48855709,22365593,46356179,23990585
29,Maranhão,3398672,3209410,3490531,1583141,3364525,1781384
30,Piauí,2389991,2262587,2349167,1106327,2244556,1138229
31,Ceará,8821342,8173476,8725466,4099320,8346016,4246696
32,Rio Grande do Norte,4740659,4469776,4229121,2028768,3956346,1927579
33,Paraíba,2811110,2631454,2517818,1075049,2347160,1272111
34,Pernambuco,8528352,7867282,8472446,3909383,8107644,4198261
35,Alagoas,2331656,2232326,2101660,1026421,2016170,989749
36,Sergipe,2306512,2168548,2404866,986383,2231357,1244973
37,Bahia,14445112,13416909,14564634,6550801,13742405,7191603
38,Sudeste,214076310,198468850,211181389,104157455,201784627,97627172
39,Minas Gerais,45075484,41902966,44343269,21106037,41733353,20627316
40,Espírito Santo,5166668,4755851,4977593,2196076,4738371,2542295
41,Rio de Janeiro,43301395,39990419,41808584,21328789,40328692,18999903
42,São Paulo,120532763,111819614,120051943,59526553,114984211,55457658
43,Sul,44001365,40902653,42323334,20249558,40298370,20048811
44,Paraná,17775839,16530921,17421203,8417684,16535542,8117858
45,Santa Catarina,11728161,10902766,10802303,5209209,10488738,5279529
46,Rio Grande do Sul,14497365,13468966,14099828,6622665,13274090,6651424
47,Centro-Oeste,25855847,23979567,25299522,11898718,23928625,12029907
48,Mato Grosso do Sul,2635729,2450326,2488826,1257910,2410201,1152292
49,Mato Grosso,4205390,3958808,4077521,1929149,3966099,2036950
50,Goiás,9247931,8629683,9114767,4129917,8642201,4512283
51,Distrito Federal,9766797,8940750,9618408,4581742,8910124,4328382
