,"Códigos
da
CNAE
2.0","Divisões, grupos
e
classes de atividades","Número
de
empresas
ativas","Pessoal ocupado Em
31.12","Pessoal ocupado Número
médio
no ano","Pessoal ocupado Assalariado Ligado à
construção","Pessoal ocupado Assalariado Não ligado à
construção","Pessoal ocupado Não assalariado Proprietários
e sócios (1)"
4,,Total das empresas,111931,2961190,2979391,2590064,241244,128680
5,,Empresas de 1 a 4 pessoas ocupadas,52233,186542,195017,125263,8428,52759
6,41,Construção de edifícios,18020,78613,83810,57552,3437,17598
7,42,Obras de infraestrutura,4962,18991,18802,12559,1105,5307
8,43,Serviços especializados para construção,29251,88938,92405,55152,3886,29854
9,,Empresas de 5 a 29 pessoas ocupadas,47002,636615,629107,545509,35525,55687
10,41,Construção de edifícios,18727,290389,277153,252984,16359,21064
11,41.1,Incorporação e empreendimentos imobiliários,1376,11780,9586,9088,1201,1488
12,41.2,Construção de edifícios,17351,278609,267567,243896,15158,19576
13,42,Obras de infraestrutura,4324,62440,59834,53471,4017,4986
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1911,20246,18134,16674,1720,1859
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",902,13714,12622,11305,1121,1299
16,42.9,Construção de outras obras de infraestrutura,1511,28480,29078,25492,1176,1828
17,43,Serviços especializados para construção,23951,283786,292120,239054,15149,29637
18,43.1,Demolição e preparação do terreno,2671,32357,30770,26450,2471,3424
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",7691,88869,86384,74990,4007,9888
20,43.3,Obras de acabamento,7555,75046,85463,63679,3045,8341
21,43.9,Outros serviços especializados para construções,6034,87514,89503,73935,5626,7984
22,,Empresas com 30 ou mais pessoas ocupadas,12696,2138033,2155267,1919292,197291,20234
23,41,Construção de edifícios,6267,849769,858285,768541,71187,9353
24,41.1,Incorporação e empreendimentos imobiliários,269,18338,21391,15758,2235,338
25,41.10,Incorporação e empreendimentos imobiliários,269,18338,21391,15758,2235,338
26,41.2,Construção de edifícios,5998,831431,836894,752783,68952,9015
27,41.20,Construção de edifícios,5998,831431,836894,752783,68952,9015
28,42,Obras de infraestrutura,2445,864118,875213,769809,89668,4463
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",982,340646,340603,290642,48252,1697
30,42.11,Construção de rodovias e ferrovias,635,246424,245222,206362,38930,1105
31,42.12,Construção de obras de arte especiais,77,52217,53977,48201,3837,174
32,42.13,"Obras de urbanização - ruas, praças e calçadas",270,42005,41404,36079,5485,418
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",679,250294,249930,228815,20299,1130
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,434,187670,188635,170198,16701,741
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",213,45392,44594,42802,2228,343
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",32,17232,16701,15815,1370,46
37,42.9,Construção de outras obras de infraestrutura,784,273178,284680,250352,21117,1636
38,42.91,"Obras portuárias, marítimas e fluviais",27,8514,8152,6702,1754,58
39,42.92,Montagem de instalações industriais e de estruturas metálicas,246,157377,166788,147798,9162,390
40,42.99,Obras de engenharia civil não especificadas anteriormente,511,107287,109740,95852,10201,1188
41,43,Serviços especializados para construção,3984,424146,421769,380942,36436,6418
42,43.1,Demolição e preparação do terreno,558,73634,74734,66540,5979,1051
43,43.11,Demolição e preparação de canteiros de obras,49,7445,7732,6480,881,80
44,43.12,Perfurações e sondagens,60,6337,6617,5450,773,100
45,43.13,Obras de terraplenagem,419,56865,57699,52208,3787,827
46,43.19,Serviços de preparação do terreno não especificados anteriormente,30,2987,2686,2402,538,44
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1174,137518,136034,122377,13160,1866
48,43.21,Instalações elétricas,643,78311,77376,70859,6391,997
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",376,42415,41265,37005,4755,620
50,43.29,Obras de instalações em construções não especificadas anteriormente,155,16792,17393,14513,2014,249
51,43.3,Obras de acabamento,835,65742,64693,61776,2645,1282
52,43.30,Obras de acabamento,835,65742,64693,61776,2645,1282
53,43.9,Outros serviços especializados para construção,1417,147252,146308,130249,14652,2219
54,43.91,Obras de fundações,261,32543,32079,29349,2697,485
55,43.99,Serviços especializados para construção não especificados anteriormente,1156,114709,114229,100900,11955,1734
