,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
 classes de atividades",Deduções 1 000 R$,"Receita
líquida 1 000 R$","Receita de
aluguéis e
arrendamentos 1 000 R$","Receitas
financeiras 1 000 R$","Demais
receitas
operacionais
(2) 1 000 R$","Outras
receitas 1 000 R$","Receitas de obras
e/ou serviços
da construção
no exterior 1 000 R$"
5,,Total das empresas,26305375,337604435,1917950,5934525,18637982,4045799,721565
6,,Empresas de 1 a 4 pessoas ocupadas,1534563,16733695,43544,228867,327640,378111,3
7,41,Construção de edifícios,925516,9565579,15431,191575,232800,368048,-
8,42,Obras de infraestrutura,175700,1733059,575,11325,7498,2775,2
9,43,Serviços especializados para construção,433347,5435057,27538,25967,87342,7288,1
10,,Empresas de 5 a 29 pessoas ocupadas,3743147,44063661,430991,289899,3186676,139632,1013
11,41,Construção de edifícios,1544617,23465169,314569,236701,2541728,93772,579
12,41.1,Incorporação e empreendimentos imobiliários,121765,2136622,36529,27056,36409,10165,576
13,41.2,Construção de edifícios,1422852,21328547,278040,209645,2505319,83607,3
14,42,Obras de infraestrutura,639258,4820699,32884,38184,21669,25091,-
15,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",130140,1790158,12099,9631,18069,15619,-
16,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",100756,1124342,6076,23877,3106,9126,-
17,42.9,Construção de outras obras de infraestrutura,408362,1906199,14709,4676,494,346,-
18,43,Serviços especializados para construção,1559272,15777793,83538,15014,623279,20769,434
19,43.1,Demolição e preparação do terreno,233769,2141351,41491,3879,13836,2135,-
20,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",566657,4932394,10581,2454,15014,6830,2
21,43.3,Obras de acabamento,296382,3091472,213,176,1505,902,432
22,43.9,Outros serviços especializados para construções,462464,5612576,31253,8505,592924,10902,-
23,,Empresas com 30 ou mais pessoas ocupadas,21027665,276807079,1443415,5415759,15123666,3528056,720549
24,41,Construção de edifícios,7820012,109904427,652108,2329005,7473544,1775749,29110
25,41.1,Incorporação e empreendimentos imobiliários,693111,5829860,19792,192772,1417273,147484,-
26,41.10,Incorporação e empreendimentos imobiliários,693111,5829860,19792,192772,1417273,147484,-
27,41.2,Construção de edifícios,7126901,104074567,632316,2136233,6056271,1628265,29110
28,41.20,Construção de edifícios,7126901,104074567,632316,2136233,6056271,1628265,29110
29,42,Obras de infraestrutura,9642328,128548310,454507,2807942,6473630,1428074,657930
30,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",4078128,55202644,282489,1524778,2577273,448337,23963
31,42.11,Construção de rodovias e ferrovias,2931336,42966697,228475,1361527,2030221,310326,1594
32,42.12,Construção de obras de arte especiais,798275,7785348,8023,128998,382368,61049,22369
33,42.13,"Obras de urbanização - ruas, praças e calçadas",348517,4450599,45991,34253,164684,76962,-
34,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",2511911,32188415,43589,801372,1093902,165118,165484
35,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,1855760,23844397,22974,758862,810521,117383,165484
36,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",399783,5054323,13524,27645,179907,27489,-
37,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",256368,3289695,7091,14865,103474,20246,-
38,42.9,Construção de outras obras de infraestrutura,3052289,41157251,128429,481792,2802455,814619,468483
39,42.91,"Obras portuárias, marítimas e fluviais",221258,3173253,7564,64100,38757,6783,-
40,42.92,Montagem de instalações industriais e de estruturas metálicas,1695551,23338552,11288,249457,2226046,402013,462354
41,42.99,Obras de engenharia civil não especificadas anteriormente,1135480,14645446,109577,168235,537652,405823,6129
42,43,Serviços especializados para construção,3565325,38354342,336800,278812,1176492,324233,33509
43,43.1,Demolição e preparação do terreno,858354,9801623,96525,97559,209017,72381,20821
44,43.11,Demolição e preparação de canteiros de obras,125010,1137380,5048,2710,12231,9170,-
45,43.12,Perfurações e sondagens,79640,686184,255,18164,11581,9248,-
46,43.13,Obras de terraplenagem,624480,7707899,88762,76038,184936,53354,20821
47,43.19,Serviços de preparação do terreno não especificados anteriormente,29224,270160,2460,647,269,609,-
48,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1261537,11931725,52140,66439,376901,27664,612
49,43.21,Instalações elétricas,604141,6432828,2034,37081,300137,14415,526
50,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",463626,3780568,5111,17180,14174,7573,-
51,43.29,Obras de instalações em construções não especificadas anteriormente,193770,1718329,44995,12178,62590,5676,86
52,43.3,Obras de acabamento,349898,3730561,23882,9145,15967,8207,-
53,43.30,Obras de acabamento,349898,3730561,23882,9145,15967,8207,-
54,43.9,Outros serviços especializados para construção,1095536,12890433,164253,105669,574607,215981,12076
55,43.91,Obras de fundações,276269,3262663,17618,38593,61506,12228,436
56,43.99,Serviços especializados para construção não especificados anteriormente,819267,9627770,146635,67076,513101,203753,11640
