,"Códigos
da
CNAE
2.0","Divisões, grupos
e
classes de atividades","Número
de
empresas
ativas","Custos e despesas Total
(1) 1 000 R$",Custos e despesas Custos das obras e/ou serviços da construção Total 1 000 R$,"Custos e despesas Custos das obras e/ou serviços da construção Consumo
de
materiais
de
construção 1 000 R$","Custos e despesas Custos das obras e/ou serviços da construção Consumo de
combustíveis
e
lubrificantes 1 000 R$","Custos e despesas Custos das obras e/ou serviços da construção Obras e/ou serviços
contratados
a terceiros 1 000 R$","Custos e despesas Custos das obras e/ou serviços da construção Serviço de
manutenção e
reparação de
máquinas e
equipamentos
(2) 1 000 R$",Custos e despesas  Custos das obras e/ou serviços da construção Terrenos 1 000 R$
4,,Total das empresas,111931,301796485,124430146,74760025,6923640,33823524,6763350,2159608
5,,Empresas de 1 a 4 pessoas ocupadas,52233,11684033,4048505,2491430,482972,802241,201442,70420
6,41,Construção de edifícios,18020,7424523,2747119,1720531,201912,695447,66809,62420
7,42,Obras de infraestrutura,4962,1023626,351190,217003,39460,35856,51335,7536
8,43,Serviços especializados para construção,29251,3235884,950196,553896,241600,70938,83298,464
9,,Empresas de 5 a 29 pessoas ocupadas,47002,33490114,13466787,9916818,873875,1807324,660845,207924
10,41,Construção de edifícios,18727,17778217,8413366,6637494,229217,1153498,206876,186281
11,41.1,Incorporação e empreendimentos imobiliários,1376,1196991,43259,6256,2059,34347,118,479
12,41.2,Construção de edifícios,17351,16581226,8370107,6631238,227158,1119151,206758,185802
13,42,Obras de infraestrutura,4324,3641002,1364805,894679,162855,184475,117885,4913
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1911,1243402,584540,381418,78545,68236,55757,585
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",902,821907,247079,150982,42449,27792,25856,-
16,42.9,Construção de outras obras de infraestrutura,1511,1575693,533186,362279,41861,88447,36272,4328
17,43,Serviços especializados para construção,23951,12070895,3688616,2384645,481803,469351,336084,16730
18,43.1,Demolição e preparação do terreno,2671,1729104,560494,155599,210756,42858,146652,4628
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",7691,3425838,1041889,674538,81088,218801,63273,4189
20,43.3,Obras de acabamento,7555,2868292,667077,464224,81589,53711,67552,-
21,43.9,Outros serviços especializados para construções,6034,4047661,1419156,1090284,108370,153981,58607,7913
22,,Empresas com 30 ou mais pessoas ocupadas,12696,256622338,106914854,62351777,5566793,31213959,5901063,1881264
23,41,Construção de edifícios,6267,97877549,47148069,30431841,917077,12577575,1490190,1731387
24,41.1,Incorporação e empreendimentos imobiliários,269,5127159,125622,83627,1024,24858,1482,14631
25,41.10,Incorporação e empreendimentos imobiliários,269,5127159,125622,83627,1024,24858,1482,14631
26,41.2,Construção de edifícios,5998,92750390,47022447,30348214,916053,12552717,1488708,1716756
27,41.20,Construção de edifícios,5998,92750390,47022447,30348214,916053,12552717,1488708,1716756
28,42,Obras de infraestrutura,2445,124708016,47487313,25103224,3555904,15660153,3085446,82588
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",982,53174763,22804554,11810989,2059723,7330140,1567461,36242
30,42.11,Construção de rodovias e ferrovias,635,41678645,18135455,9299744,1694594,5849809,1285726,5583
31,42.12,Construção de obras de arte especiais,77,7837091,2987471,1442009,169951,1223781,151695,35
32,42.13,"Obras de urbanização - ruas, praças e calçadas",270,3659027,1681628,1069236,195178,256550,130040,30624
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",679,30908880,10817154,5061750,971063,4049285,723867,11188
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,434,22849646,7019782,3238286,776906,2639793,362914,1883
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",213,4656938,2177899,1344415,157304,563057,104260,8863
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",32,3402296,1619473,479049,36853,846435,256693,442
37,42.9,Construção de outras obras de infraestrutura,784,40624373,13865605,8230485,525118,4280728,794118,35158
38,42.91,"Obras portuárias, marítimas e fluviais",27,2628352,1306568,458575,87052,720929,38216,1797
39,42.92,Montagem de instalações industriais e de estruturas metálicas,246,24277997,7165893,4672342,137782,1906948,448821,-
40,42.99,Obras de engenharia civil não especificadas anteriormente,511,13718024,5393144,3099568,300284,1652851,307081,33361
41,43,Serviços especializados para construção,3984,34036773,12279472,6816712,1093812,2976231,1325427,67289
42,43.1,Demolição e preparação do terreno,558,8841355,3187075,1386907,583222,529744,646513,40690
43,43.11,Demolição e preparação de canteiros de obras,49,1112638,473597,284125,21896,74349,63119,30108
44,43.12,Perfurações e sondagens,60,703649,190045,100703,29801,20060,39077,404
45,43.13,Obras de terraplenagem,419,6809444,2449674,967201,524160,425805,524279,8229
46,43.19,Serviços de preparação do terreno não especificados anteriormente,30,215624,73759,34878,7365,9530,20038,1949
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1174,10325273,3781091,2073989,158410,1292489,254136,2066
48,43.21,Instalações elétricas,643,5607450,1960574,1146967,93102,597821,122211,472
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",376,3168235,1288571,612700,32517,585477,56634,1243
50,43.29,Obras de instalações em construções não especificadas anteriormente,155,1549588,531946,314322,32791,109191,75291,351
51,43.3,Obras de acabamento,835,3338917,1140458,829865,73569,182742,53233,1048
52,43.30,Obras de acabamento,835,3338917,1140458,829865,73569,182742,53233,1048
53,43.9,Outros serviços especializados para construção,1417,11531228,4170848,2525951,278611,971256,371545,23485
54,43.91,Obras de fundações,261,2802312,884209,486204,88297,178028,125584,6096
55,43.99,Serviços especializados para construção não especificados anteriormente,1156,8728916,3286639,2039747,190314,793228,245961,17389
