,"Códigos
da
CNAE
2.0","Divisões,grupos
e
classes de atividades","Gastos
de
pessoal 1 000 R$","Outros custos e despesas Total
(3) 1 000 R$","Outros custos e despesas Aluguéis
e 
arrenda-
mento 1 000 R$","Outros custos e despesas Despesas
com
arrenda-
mento
mercantil 1 000 R$","Outros custos e despesas Depreciação,
amortização
e
exaustão 1 000 R$","Outros custos e despesas Despesas
com
propaganda 1 000 R$ ","Outros custos e despesas Fretes
e
carretos 1 000 R$","Outros custos e despesas Impostos
e
taxas 1 000 R$"
4,,Total das empresas,102293354,69470099,11462001,462297,4987851,1155189,1580429,2869167
5,,Empresas de 1 a 4 pessoas ocupadas,3637329,3511149,268511,12573,179426,66490,21795,238509
6,41,Construção de edifícios,1676872,2541327,112139,7326,113083,52632,7951,196240
7,42,Obras de infraestrutura,383048,265964,28649,94,30423,2694,5850,12098
8,43,Serviços especializados para construção,1577409,703858,127723,5153,35920,11164,7994,30171
9,,Empresas de 5 a 29 pessoas ocupadas,13493854,5680526,707919,68348,486705,145991,92947,343445
10,41,Construção de edifícios,5682530,2959413,232244,6629,199836,120705,33415,213125
11,41.1,Incorporação e empreendimentos imobiliários,299983,285239,12857,46,31800,10771,1012,39433
12,41.2,Construção de edifícios,5382547,2674174,219387,6583,168036,109934,32403,173692
13,42,Obras de infraestrutura,1463778,784793,149766,6219,79380,4989,18056,55875
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",416898,241950,38319,4708,32695,2540,6838,16004
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",330693,240731,51071,255,21866,312,1491,10833
16,42.9,Construção de outras obras de infraestrutura,716187,302112,60376,1256,24819,2137,9727,29038
17,43,Serviços especializados para construção,6347546,1936320,325909,55500,207489,20297,41476,74445
18,43.1,Demolição e preparação do terreno,743736,420910,35135,5903,118043,4658,3697,15824
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1818043,564404,107644,8544,29386,11093,8780,26549
20,43.3,Obras de acabamento,1793361,377346,49858,11563,2747,1105,9795,8319
21,43.9,Outros serviços especializados para construções,1992406,573660,133272,29490,57313,3441,19204,23753
22,,Empresas com 30 ou mais pessoas ocupadas,85162171,60278424,10485571,381376,4321720,942708,1465687,2287213
23,41,Construção de edifícios,27648587,19035364,2175548,67219,815571,816713,284393,1069830
24,41.1,Incorporação e empreendimentos imobiliários,963603,1249655,51394,748,40006,97723,3570,47946
25,41.10,Incorporação e empreendimentos imobiliários,963603,1249655,51394,748,40006,97723,3570,47946
26,41.2,Construção de edifícios,26684984,17785709,2124154,66471,775565,718990,280823,1021884
27,41.20,Construção de edifícios,26684984,17785709,2124154,66471,775565,718990,280823,1021884
28,42,Obras de infraestrutura,43556679,33543296,7041809,201173,2644314,84318,920294,898625
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",14899663,15374402,3006241,94695,1506225,33032,449562,419450
30,42.11,Construção de rodovias e ferrovias,10884158,12570123,2522280,79995,1155960,25212,362598,320593
31,42.12,Construção de obras de arte especiais,2756137,2093483,367530,7036,239149,2695,57765,56685
32,42.13,"Obras de urbanização - ruas, praças e calçadas",1259368,710796,116431,7664,111116,5125,29199,42172
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",12342652,7744765,1963190,49426,511522,20019,149012,223637
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,9839462,5988483,1507392,34489,402563,15472,115019,162314
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",1387131,1089518,231081,12655,78844,1600,22871,45319
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",1116059,666764,224717,2282,30115,2947,11122,16004
37,42.9,Construção de outras obras de infraestrutura,16314364,10424129,2072378,57052,626567,31267,321720,255538
38,42.91,"Obras portuárias, marítimas e fluviais",464628,857156,236396,691,29386,1364,136438,78565
39,42.92,Montagem de instalações industriais e de estruturas metálicas,10758390,6350402,1317450,19757,359946,11667,91382,79390
40,42.99,Obras de engenharia civil não especificadas anteriormente,5091346,3216571,518532,36604,237235,18236,93900,97583
41,43,Serviços especializados para construção,13956905,7699764,1268214,112984,861835,41677,261000,318758
42,43.1,Demolição e preparação do terreno,2917537,2720878,495016,48260,511681,6374,115454,101470
43,43.11,Demolição e preparação de canteiros de obras,266531,372510,47742,2051,61613,2406,9730,13400
44,43.12,Perfurações e sondagens,291102,222502,49392,419,27426,549,12028,13726
45,43.13,Obras de terraplenagem,2276176,2069940,387685,45547,414334,2999,91697,71588
46,43.19,Serviços de preparação do terreno não especificados anteriormente,83728,55926,10197,243,8308,420,1999,2756
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",4705082,1804152,283360,20023,92104,9838,47234,81831
48,43.21,Instalações elétricas,2690554,925122,165878,12884,48414,5042,21205,35885
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",1357238,518677,62882,4980,24020,3067,12439,28439
50,43.29,Obras de instalações em construções não especificadas anteriormente,657290,360353,54600,2159,19670,1729,13590,17507
51,43.3,Obras de acabamento,1667852,523489,89503,6557,16217,2017,13950,23963
52,43.30,Obras de acabamento,1667852,523489,89503,6557,16217,2017,13950,23963
53,43.9,Outros serviços especializados para construção,4666434,2651245,400335,38144,241833,23448,84362,111494
54,43.91,Obras de fundações,1133712,775952,156394,25087,93600,4354,43140,25769
55,43.99,Serviços especializados para construção não especificados anteriormente,3532722,1875293,243941,13057,148233,19094,41222,85725
