,"Códigos
da 
CNAE
2.0","Divisões, grupos
e 
classes de atividades","Custos e despesas Outros custos e despesas Prêmios
de
seguros 1 000 R$","Custos e despesas Outros custos e despesas Variações
monetárias
passivas 1 000 R$","Custos e despesas Outros custos e despesas Despesas
financeiras 1 000 R$","Custos e despesas Outros custos e despesas Custos da
aquisição
de
imóveis
para
revenda 1 000 R$","Custos e despesas Outros custos e despesas Resultados
negativos de
participações
societárias
e em sociedade
em conta de
participação 1 000 R$","Custos e despesas Outros custos e despesas Comissões
pagas a
terceiros 1 000 R$","Custos e despesas Outros custos e despesas Serviços
prestados
por terceiros
(4) 1 000 R$","Custos e despesas Outros custos e despesas Demais
custos e
despesas
operacionais 1 000 R$","Custos e despesas Outros custos e despesas Outras
despesas 1 000 R$
"
4,,Total das empresas,676046,2220605,9855018,1315761,1070733,1014370,12040672,14187802,4479371
5,,Empresas de 1 a 4 pessoas ocupadas,14539,26257,925007,100161,2464,174610,640862,764584,75341
6,41,Construção de edifícios,6727,25318,839358,98745,2044,166518,416544,469823,26864
7,42,Obras de infraestrutura,3375,14,29196,-,3,7164,81163,63504,1737
8,43,Serviços especializados para construção,4437,925,56453,1416,417,928,143155,231257,46740
9,,Empresas de 5 a 29 pessoas ocupadas,70380,27329,652190,283874,5780,145810,1142943,1271052,232979
10,41,Construção de edifícios,26187,20254,426161,265462,2772,136124,561355,621968,92610
11,41.1,Incorporação e empreendimentos imobiliários,1784,148,42741,875,2359,23244,36783,68983,11908
12,41.2,Construção de edifícios,24403,20106,383420,264587,413,112880,524572,552985,80702
13,42,Obras de infraestrutura,12543,1615,91584,783,2974,1119,129547,179766,48737
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",3717,758,31278,-,2971,532,29497,64053,6241
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",2651,853,35411,28,-,467,33300,48324,33830
16,42.9,Construção de outras obras de infraestrutura,6175,4,24895,755,3,120,66750,67389,8666
17,43,Serviços especializados para construção,31650,5460,134445,17629,34,8567,452041,469318,91632
18,43.1,Demolição e preparação do terreno,8267,4916,56763,6627,-,262,55409,76797,28461
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",12388,472,29661,336,34,3475,135667,152200,37911
20,43.3,Obras de acabamento,2606,-,6457,11,-,509,162278,120490,1593
21,43.9,Outros serviços especializados para construções,8389,72,41564,10655,-,4321,98687,119831,23667
22,,Empresas com 30 ou mais pessoas ocupadas,591127,2167019,8277821,931726,1062489,693950,10256867,12152166,4171051
23,41,Construção de edifícios,146163,506083,3404163,628831,624121,593784,3487962,3572597,827566
24,41.1,Incorporação e empreendimentos imobiliários,2169,18453,274169,140119,73719,63248,191675,179783,63139
25,41.10,Incorporação e empreendimentos imobiliários,2169,18453,274169,140119,73719,63248,191675,179783,63139
26,41.2,Construção de edifícios,143994,487630,3129994,488712,550402,530536,3296287,3392814,764427
27,41.20,Construção de edifícios,143994,487630,3129994,488712,550402,530536,3296287,3392814,764427
28,42,Obras de infraestrutura,354234,1599413,4017331,68803,351771,58337,5391378,6911020,2941102
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",188521,356843,2296461,30810,208705,25507,2092363,2730646,1925419
30,42.11,Construção de rodovias e ferrovias,143726,299072,2113611,14543,189855,21904,1795977,2152954,1362025
31,42.12,Construção de obras de arte especiais,32445,56924,98078,8544,7878,115,202941,424494,531189
32,42.13,"Obras de urbanização - ruas, praças e calçadas",12350,847,84772,7723,10972,3488,93445,153198,32205
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",65823,446231,762437,3280,65342,13934,1315089,1602419,526243
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,39600,394881,523810,918,26039,4181,1101506,1218885,439723
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",15000,24990,142404,2203,39303,8368,122137,264105,53167
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",11223,26360,96223,159,-,1385,91446,119429,33353
37,42.9,Construção de outras obras de infraestrutura,99890,796339,958433,34713,77724,18896,1983926,2577955,489440
38,42.91,"Obras portuárias, marítimas e fluviais",12059,18930,39720,-,419,28,118576,180122,4462
39,42.92,Montagem de instalações industriais e de estruturas metálicas,66928,748279,444793,3,14089,193,1457222,1460861,277805
40,42.99,Obras de engenharia civil não especificadas anteriormente,20903,29130,473920,34710,63216,18675,408128,936972,207173
41,43,Serviços especializados para construção,90730,61523,856327,234092,86597,41829,1377527,1668549,402383
42,43.1,Demolição e preparação do terreno,25988,22253,322442,45561,60610,2317,362325,442214,154052
43,43.11,Demolição e preparação de canteiros de obras,1005,338,93638,29191,-,19,14358,26566,70303
44,43.12,Perfurações e sondagens,4697,18157,12947,-,-,17,40591,32475,9090
45,43.13,Obras de terraplenagem,19501,3496,210709,15568,60506,2063,296875,371038,73494
46,43.19,Serviços de preparação do terreno não especificados anteriormente,785,262,5148,802,104,218,10501,12135,1165
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",25844,23592,166179,17609,8217,8740,368251,516530,127134
48,43.21,Instalações elétricas,14265,3210,87352,7849,8217,4206,188629,273141,43596
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",5630,4388,46938,9520,-,3494,118038,162274,31626
50,43.29,Obras de instalações em construções não especificadas anteriormente,5949,15994,31889,240,-,1040,61584,81115,51912
51,43.3,Obras de acabamento,7199,1276,31682,1301,-,2717,147598,160149,18892
52,43.30,Obras de acabamento,7199,1276,31682,1301,-,2717,147598,160149,18892
53,43.9,Outros serviços especializados para construção,31699,14402,336024,169621,17770,28055,499353,549656,102305
54,43.91,Obras de fundações,12245,11077,78019,2057,1135,1332,102180,172133,46577
55,43.99,Serviços especializados para construção não especificados anteriormente,19454,3325,258005,167564,16635,26723,397173,377523,55728
