,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Número
de
empresas
ativas","Valor
bruto
da
produção 1 000 R$",Valor das obras e/ou serviços da construção Total 1 000 R$,"Valor das obras e/ou serviços da construção Entidades
públicas 1 000 R$","Valor das obras e/ou serviços da construção Entidades
privadas 1 000 R$"
3,,Total das empresas,111931,340487552,346650478,116839561,229810918
4,,Empresas de 1 a 4 pessoas ocupadas,52233,16999424,16450168,2207068,14243100
5,41,Construção de edifícios,18020,9972279,9094138,739962,8354176
6,42,Obras de infraestrutura,4962,1608464,1610348,693848,916500
7,43,Serviços especializados para construção,29251,5418681,5745682,773258,4972424
8,,Empresas de 5 a 29 pessoas ocupadas,47002,44401839,44867411,7215249,37652164
9,41,Construção de edifícios,18727,23435186,22600624,3131704,19468922
10,41.1,Incorporação e empreendimentos imobiliários,1376,2111604,174871,15523,159349
11,41.2,Construção de edifícios,17351,21323582,22425753,3116181,19309573
12,42,Obras de infraestrutura,4324,5106948,5556990,2174338,3382652
13,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1911,1799900,1849172,933632,915540
14,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",902,1108672,1166094,518333,647761
15,42.9,Construção de outras obras de infraestrutura,1511,2198376,2541724,722373,1819351
16,43,Serviços especializados para construção,23951,15859705,16709797,1909207,14800590
17,43.1,Demolição e preparação do terreno,2671,2135618,2195926,333400,1862527
18,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",7691,4690598,5101704,707692,4394012
19,43.3,Obras de acabamento,7555,3107670,3209825,321309,2888516
20,43.9,Outros serviços especializados para construções,6034,5925819,6202342,546806,5655535
21,,Empresas com 30 ou mais pessoas ocupadas,12696,279086289,285332899,107417244,177915654
22,41,Construção de edifícios,6267,110165605,110719425,26391007,84328418
23,41.1,Incorporação e empreendimentos imobiliários,269,5725402,328643,57657,270986
24,41.10,Incorporação e empreendimentos imobiliários,269,5725402,328643,57657,270986
25,41.2,Construção de edifícios,5998,104440203,110390782,26333350,84057432
26,41.20,Construção de edifícios,5998,104440203,110390782,26333350,84057432
27,42,Obras de infraestrutura,2445,129948793,133686132,71332969,62353164
28,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",982,55647171,57591652,38352778,19238875
29,42.11,Construção de rodovias e ferrovias,635,43486786,44604723,29980082,14624641
30,42.12,Construção de obras de arte especiais,77,7861395,8581212,5618718,2962494
31,42.13,"Obras de urbanização - ruas, praças e calçadas",270,4298990,4405717,2753978,1651740
32,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",679,32401283,33470382,15052704,18417677
33,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,434,23907255,24445602,8778711,15666890
34,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",213,5061272,5381178,3944708,1436470
35,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",32,3432756,3643602,2329285,1314317
36,42.9,Construção de outras obras de infraestrutura,784,41900339,42624098,17927487,24696612
37,42.91,"Obras portuárias, marítimas e fluviais",27,3165198,3364097,1445162,1918935
38,42.92,Montagem de instalações industriais e de estruturas metálicas,246,24207824,24218952,9359311,14859641
39,42.99,Obras de engenharia civil não especificadas anteriormente,511,14527317,15041049,7123014,7918036
40,43,Serviços especializados para construção,3984,38971891,40927342,9693268,31234072
41,43.1,Demolição e preparação do terreno,558,9991500,10527053,3218224,7308828
42,43.11,Demolição e preparação de canteiros de obras,49,1238845,1255835,54507,1201328
43,43.12,Perfurações e sondagens,60,685010,761667,42772,718895
44,43.13,Obras de terraplenagem,419,7798713,8213228,2998379,5214849
45,43.19,Serviços de preparação do terreno não especificados anteriormente,30,268932,296323,122566,173756
46,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1174,12091205,12649829,2831412,9818416
47,43.21,Instalações elétricas,643,6497307,6864940,1490280,5374660
48,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",376,3760149,3935246,702119,3233127
49,43.29,Obras de instalações em construções não especificadas anteriormente,155,1833749,1849643,639013,1210629
50,43.3,Obras de acabamento,835,3763137,3949951,530274,3419678
51,43.30,Obras de acabamento,835,3763137,3949951,530274,3419678
52,43.9,Outros serviços especializados para construção,1417,13126049,13800509,3113358,10687150
53,43.91,Obras de fundações,261,3257509,3475483,503409,2972074
54,43.99,Serviços especializados para construção não especificados anteriormente,1156,9868540,10325026,2609949,7715076
