,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Consumo intermediário Total
(1) 1 000 R$","Consumo intermediário Custos das obras e/ou serviços da construção Consumo
de combus-
tíveis e
lubrificantes 1 000 R$","Consumo intermediário Custos das obras e/ou serviços da construção Consumo
 de
materiais de
construção 1 000 R$","Consumo intermediário Custos das obras e/ou serviços da construção Obras e/ou serviços
contratados
com terceiros 1 000 R$","Consumo intermediário Custos das obras e/ou serviços da construção Serviços de
manutenção
e reparação
de máquinas
e equipamentos 1 000 R$"
4,,Total das empresas,170386182,6923640,74760025,33823524,6763350
5,,Empresas de 1 a 4 pessoas ocupadas,6321602,482972,2491430,802241,201442
6,41,Construção de edifícios,4283324,201912,1720531,695447,66809
7,42,Obras de infraestrutura,551977,39460,217003,35856,51335
8,43,Serviços especializados para construção,1486301,241600,553896,70938,83298
9,,Empresas de 5 a 29 pessoas ocupadas,17827063,873875,9916818,1807324,660845
10,41,Construção de edifícios,10764287,229217,6637494,1153498,206876
11,41.1,Incorporação e empreendimentos imobiliários,693418,2059,6256,34347,118
12,41.2,Construção de edifícios,10070869,227158,6631238,1119151,206758
13,42,Obras de infraestrutura,1890149,162855,894679,184475,117885
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",735439,78545,381418,68236,55757
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",387955,42449,150982,27792,25856
16,42.9,Construção de outras obras de infraestrutura,766755,41861,362279,88447,36272
17,43,Serviços especializados para construção,5172627,481803,2384645,469351,336084
18,43.1,Demolição e preparação do terreno,755137,210756,155599,42858,146652
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1476074,81088,674538,218801,63273
20,43.3,Obras de acabamento,1055306,81589,464224,53711,67552
21,43.9,Outros serviços especializados para construções,1886110,108370,1090284,153981,58607
22,,Empresas com 30 ou mais pessoas ocupadas,146237517,5566793,62351777,31213959,5901063
23,41,Construção de edifícios,60303046,917077,30431841,12577575,1490190
24,41.1,Incorporação e empreendimentos imobiliários,3340818,1024,83627,24858,1482
25,41.10,Incorporação e empreendimentos imobiliários,3340818,1024,83627,24858,1482
26,41.2,Construção de edifícios,56962228,916053,30348214,12552717,1488708
27,41.20,Construção de edifícios,56962228,916053,30348214,12552717,1488708
28,42,Obras de infraestrutura,68555213,3555904,25103224,15660153,3085446
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",31498734,2059723,11810989,7330140,1567461
30,42.11,Construção de rodovias e ferrovias,25324459,1694594,9299744,5849809,1285726
31,42.12,Construção de obras de arte especiais,4090901,169951,1442009,1223781,151695
32,42.13,"Obras de urbanização - ruas, praças e calçadas",2083374,195178,1069236,256550,130040
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",16005537,971063,5061750,4049285,723867
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,11054790,776906,3238286,2639793,362914
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",2868392,157304,1344415,563057,104260
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",2082355,36853,479049,846435,256693
37,42.9,Construção de outras obras de infraestrutura,21050942,525118,8230485,4280728,794118
38,42.91,"Obras portuárias, marítimas e fluviais",1990419,87052,458575,720929,38216
39,42.92,Montagem de instalações industriais e de estruturas metálicas,11594958,137782,4672342,1906948,448821
40,42.99,Obras de engenharia civil não especificadas anteriormente,7465565,300284,3099568,1652851,307081
41,43,Serviços especializados para construção,17379258,1093812,6816712,2976231,1325427
42,43.1,Demolição e preparação do terreno,4706089,583222,1386907,529744,646513
43,43.11,Demolição e preparação de canteiros de obras,576688,21896,284125,74349,63119
44,43.12,Perfurações e sondagens,330779,29801,100703,20060,39077
45,43.13,Obras de terraplenagem,3688848,524160,967201,425805,524279
46,43.19,Serviços de preparação do terreno não especificados anteriormente,109774,7365,34878,9530,20038
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",5110323,158410,2073989,1292489,254136
48,43.21,Instalações elétricas,2685537,93102,1146967,597821,122211
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",1670850,32517,612700,585477,56634
50,43.29,Obras de instalações em construções não especificadas anteriormente,753936,32791,314322,109191,75291
51,43.3,Obras de acabamento,1575270,73569,829865,182742,53233
52,43.30,Obras de acabamento,1575270,73569,829865,182742,53233
53,43.9,Outros serviços especializados para construção,5987576,278611,2525951,971256,371545
54,43.91,Obras de fundações,1404993,88297,486204,178028,125584
55,43.99,Serviços especializados para construção não especificados anteriormente,4582583,190314,2039747,793228,245961
