,"Códigos
da 
CNAE
2.0","Divisões, grupos
e 
classes de atividades","Ativo imobilizado Baixas Número
de
informantes",Ativo imobilizado Baixas Total 1 000 R$,"Ativo imobilizado Baixas Terrenos
e
edificações 1 000 R$","Ativo imobilizado Baixas Máquinas
e
equipamentos 1 000 R$","Ativo imobilizado Baixas Meios
de
transporte 1 000 R$","Ativo imobilizado Baixas Outras
baixas 1 000 R$"
4,,Total das empresas,6880,3721046,1150044,1430204,751891,388906
5,,Empresas de 1 a 4 pessoas ocupadas,1628,168769,120647,31826,14796,1499
6,41,Construção de edifícios,727,132746,120546,3245,8921,34
7,42,Obras de infraestrutura,181,9157,-,5619,2091,1447
8,43,Serviços especializados para construção,720,26866,101,22962,3784,18
9,,Empresas de 5 a 29 pessoas ocupadas,2888,482475,291601,103925,70112,16838
10,41,Construção de edifícios,1156,210110,165375,11277,27930,5528
11,41.1,Incorporação e empreendimentos imobiliários,106,14589,9122,5088,358,21
12,41.2,Construção de edifícios,1050,195521,156253,6189,27572,5507
13,42,Obras de infraestrutura,364,187475,106778,52668,19166,8863
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",168,177352,106000,49270,13464,8617
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",80,4244,478,1466,2275,25
16,42.9,Construção de outras obras de infraestrutura,116,5879,300,1932,3427,221
17,43,Serviços especializados para construção,1368,84890,19448,39980,23016,2447
18,43.1,Demolição e preparação do terreno,296,59651,16334,32658,8653,2006
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",301,6186,1268,660,4201,57
20,43.3,Obras de acabamento,302,5138,1441,3697,-,-
21,43.9,Outros serviços especializados para construções,469,13915,405,2965,10162,384
22,,Empresas com 30 ou mais pessoas ocupadas,2364,3069802,737796,1294453,666983,370569
23,41,Construção de edifícios,1101,769499,444822,83461,125729,115487
24,41.1,Incorporação e empreendimentos imobiliários,47,22959,17053,1037,3030,1839
25,41.10,Incorporação e empreendimentos imobiliários,47,22959,17053,1037,3030,1839
26,41.2,Construção de edifícios,1054,746540,427769,82424,122699,113648
27,41.20,Construção de edifícios,1054,746540,427769,82424,122699,113648
28,42,Obras de infraestrutura,703,1935705,241382,1004511,450692,239120
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",306,1277098,165050,654184,306781,151083
30,42.11,Construção de rodovias e ferrovias,215,629508,151015,219250,119197,140047
31,42.12,Construção de obras de arte especiais,28,589186,4853,402488,171870,9975
32,42.13,"Obras de urbanização - ruas, praças e calçadas",63,58404,9182,32446,15714,1061
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",203,385376,37229,196787,108352,43008
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,125,300114,32933,159096,77285,30799
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",65,41045,4256,20164,14942,1684
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",13,44217,40,17527,16125,10525
37,42.9,Construção de outras obras de infraestrutura,194,273231,39103,153540,35559,45029
38,42.91,"Obras portuárias, marítimas e fluviais",13,33842,737,27535,4524,1046
39,42.92,Montagem de instalações industriais e de estruturas metálicas,65,113751,14789,70634,13497,14831
40,42.99,Obras de engenharia civil não especificadas anteriormente,116,125638,23577,55371,17538,29152
41,43,Serviços especializados para construção,560,364598,51592,206481,90562,15962
42,43.1,Demolição e preparação do terreno,137,212026,18219,146513,40467,6828
43,43.11,Demolição e preparação de canteiros de obras,15,27719,1291,18306,3211,4911
44,43.12,Perfurações e sondagens,15,14234,8093,2025,3995,121
45,43.13,Obras de terraplenagem,101,168973,8835,126069,32422,1647
46,43.19,Serviços de preparação do terreno não especificados anteriormente,6,1100,-,113,839,149
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",159,43983,6280,5849,27595,4258
48,43.21,Instalações elétricas,88,30657,4747,3972,19473,2465
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",45,7764,1463,736,4944,621
50,43.29,Obras de instalações em construções não especificadas anteriormente,26,5562,70,1141,3178,1172
51,43.3,Obras de acabamento,61,5246,570,1205,2825,646
52,43.30,Obras de acabamento,61,5246,570,1205,2825,646
53,43.9,Outros serviços especializados para construção,203,103343,26523,52914,19675,4230
54,43.91,Obras de fundações,44,18454,4424,9046,4568,416
55,43.99,Serviços especializados para construção não especificados anteriormente,159,84889,22099,43868,15107,3814
