,"Código
PRODLIST
Construção","Classes de atividades
e
descrição de produtos","Valor das incorporações, 
obras e/ou serviços
da construção
(1 000 R$)","Como contratante única ou principal Número
de
informantes","Como contratante única ou principal Valor
(1 000 R$)","Como subcontratada Número
de
informantes","Como subcontratada Valor
(1 000 R$)"
4,4110,Incorporação de empreendimentos imobiliários,8330553,437,8330553,-,-
5,4110.2010,Incorporação de empreendimentos imobiliários executados por terceiros,8330553,437,8330553,-,-
6,4120,Construção de edifícios,111255435,6455,106112792,594,5142641
7,4120.2010,"Edifícios comerciais (shoppings, supermercados, lojas, etc)",8272691,497,7402092,59,870599
8,4120.2020 ,"Edifícios industriais (fábricas, oficinas, galpões industriais, etc)",5595313,177,5148490,18,446822
9,4120.2030 ,"Edifícios não residenciais não especificados anteriormente (hospitais, escolas, hotéis, garagens, estádios, etc.)",7244293,533,6775478,44,468815
10,4120.2040,Edifícios residenciais,60844982,3116,59192516,225,1652466
11,4120.2050 ,"Estações de embarque e desembarque (rodoviárias, aeroportos, portos, estações de metrô e trens, etc.)",3564542,19,3564542,-,-
12,4120.9010 ,Serviços de montagem de edifícios não residenciais pré-fabricados,232554,23,226427,3,6127
13,4120.9020 ,Serviços de montagem de edifícios residenciais pré-fabricados,216232,22,211046,2,5186
14,4120.9030 ,Serviços de reforma ou manutenção de edifícios não residenciais,7909083,703,7311820,47,597262
15,4120.9040 ,Serviços de reforma ou manutenção de edifícios residenciais,17375745,1365,16280381,196,1095364
16,4211,Construção de rodovias e ferrovias,37331839,778,34430790,85,2901048
17,4211.2010 ,"Instalação de sinalização não elétrica em rodovias, ferrovias e pistas de aeroportos",830802,43,671696,5,159106
18,4211.2020 ,"Pavimentação de rodovias, autoestradas e outras vias não urbanas",17701364,377,15413616,36,2287748
19,4211.2030 ,Pistas de aeroportos,201736,5,201736,-,-
20,4211.2040 ,"Rodovias, autoestradas e outras vias não urbanas",6808810,122,6603427,15,205383
21,4211.2050 ,Vias férreas e metropolitanos,2987725,39,2981851,2,5874
22,4211.9010 ,Serviços de recuperação ou reforma de ferrovias,841823,21,807881,2,33941
23,4211.9020 ,Serviços de recuperação ou reforma de pistas de aeroportos,74968,4,74968,-,-
24,4211.9030 ,Serviços de recuperação ou reforma de rodovias,7884611,167,7675615,25,208996
25,4212,Construção de obras de arte especiais,5839690,88,5477472,15,362219
26,4212.2010 ,"Pontes, elevados, túneis e outras obras de arte especiais",3768123,55,3457648,10,310475
27,4212.9010 ,"Seviços de recuperação ou reforma de pontes, elevados, túneis e outras obras de arte especiais",2071567,33,2019824,5,51744
28,4213,"Obras de urbanização - ruas, praças e calçadas",5981882,433,5821186,42,160696
29,4213.2010 ,Instalação de sinalização não elétrica em vias urbanas,20650,8,20650,-,-
30,4213.2020 ,"Ruas, praças, calçadas e outras obras de urbanização",3193049,250,3135501,20,57548
31,4213.9010 ,"Serviços de recuperação de ruas, praças, calçadas e outras obras de urbanização",2768183,175,2665035,22,103148
32,4221,Obras para geração e distribuição de energia elétrica e para telecomunicações,21939826,467,20388409,83,1551420
33,4221.2010,Barragens ou represas para geração de energia elétrica,5375492,21,5033990,2,341503
34,4221.2020 ,Redes de transmissão e distribuição de energia elétrica,2681837,103,2470475,16,211362
35,4221.2030 ,"Redes e instalação de torres de telecomunicações, de longa ou média distâncias",3808868,33,3788433,4,20436
36,4221.2040 ,"Usinas, estações e subestações hidrelétricas, termelétricas, nucleares e eólicas",3015625,35,2796695,7,218931
37,4221.9010 ,"Serviços de manutenção de barragens, represas, usinas e outras obras para geração de energia elétrica",178664,11,178664,-,-
38,4221.9020 ,Serviços de manutenção de redes e torres de telecomunicações,2498494,75,2176255,18,322239
39,4221.9030 ,Serviços de manutenção de redes de transmissão e distribuição de energia elétrica,4380846,189,3943897,36,436949
