,"Código
PRODLIST
Construção","Classes de atividades 
e
descrição de produtos","Valor das incorporações, 
obras e/ou serviços
da construção
(1 000 R$)","Como contratante única ou principal Número
de
informantes","Como contratante única ou principal Valor
(1 000 R$)","Como subcontratada Número
de
informantes","Como subcontratada Valor
(1 000 R$)"
3,4321,Instalações elétricas,7613911,623,6556847,142,1057063
4,4321.2010 ,Instalações elétricas,3493471,264,2883078,56,610393
5,4321.2020 ,Instalações de telecomunicações,514052,81,370780,21,143272
6,4321.9010 ,Serviços de manutenção e reparação de instalações elétricas,3175629,203,2978400,45,197228
7,4321.9020 ,Serviços de manutenção e reparação de instalações de telecomunicações,430759,75,324589,20,106170
8,4322,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",4265985,383,3673601,74,592383
9,4322.2010 ,"Instalações de sistemas de ar condicionado, ventilação, refrigeração ou aquecimento",1429955,104,1316226,17,113729
10,4322.2020 ,"Instalações hidráulicas, sanitárias ou de gás",869639,93,745192,23,124446
11,4322.9010 ,"Serviços de manutenção e reparação de sistemas de ventilação, refrigeração, aquecimento; de instalações hidráulicas e de gás",1966391,186,1612183,34,354208
12,4329,Obras de instalações em construções não especificadas anteriormente,3921864,177,3613415,24,308449
13,4329.2010 ,"Instalação de elevadores, escadas ou de esteiras rolantes",1045652,41,1024583,4,21069
14,4329.2020 ,Instalação de isolamentos térmicos e acústicos,454235,29,427519,3,26716
15,4329.2030 ,"Instalação de sistema de iluminação ou de sinalização elétrica em vias públicas, rodovias, portos ou aeroportos",702148,28,692354,3,9794
16,4329.2040 ,"Instalações em construções, não especificadas anteriormente",1719829,79,1468959,14,250870
17,4330,Obras de acabamento,3905818,708,3134313,267,771504
18,4330.2010 ,Acabamento em gesso ou estuque,344695,87,245624,48,99071
19,4330.2020 ,"Impermeabilização em paredes, caixas d'água, etc.",681384,69,551128,23,130256
20,4330.2030 ,Instalação de cozinhas e outros mobiliários incorporados à construção,1564,1,874,1,690
21,4330.2040,"Instalação de esquadrias de metal, madeira ou outros materiais",145889,30,125067,8,20822
22,4330.2050 ,Pintura (interna ou externa),800324,182,635224,59,165100
23,4330.2060 ,"Revestimento de pisos e paredes, exceto pintura",140019,59,98751,19,41268
24,4330.2070 ,Trabalhos de madeira em interiores,64361,28,49696,10,14664
25,4330.2080 ,Outros serviços de acabamento não especificados anteriormente,1727582,252,1427949,99,299633
26,4391,Obras de fundações,2978685,223,2227232,67,751454
27,4391.2010 ,Fundações,2753360,206,2009949,63,743412
28,4391.9010 ,Serviços de aluguel e operação de equipamentos para execução de fundações,225325,17,217283,4,8042
29,4399,Serviços especializados para construção não especificados anteriormente,12097197,1130,10159493,261,1937704
30,4399.2010 ,Administração de obras,4911583,340,4183592,52,727991
31,4399.2020 ,Alvenaria,2258496,360,1870991,117,387505
32,4399.2030 ,Poços de água,377864,44,372206,2,5658
33,4399.2040 ,"Montagem e desmontagem de escoramentos, andaimes, arquibancadas e outras estruturas temporárias",756587,67,722465,16,34122
34,4399.2050 ,"Telhados, coberturas, caixas d'água, churrasqueiras e outras partes de edifícios",109829,35,88004,6,21825
35,4399.2060 ,Outros serviços especializados de construção não especificados anteriormente,2970049,203,2273979,53,696070
36,4399.9010 ,Serviços de aluguél e operação de equipamento para transporte e elevação de cargas e pessoas para uso em obras,712789,81,648256,15,64533
