,"Códigos
da 
CNAE 2.0","Divisões, grupos
 e classes de atividades
","Número de
empresas ativas","Pessoal
ocupado
em 31.12","Salários, retiradas
e outras
remunerações 1 000 R$","Valor das incorporações, obras e/ou serviços
da construção 1 000 R$"
3,,Empresas de 1 a 4 pessoas ocupadas,67059,181085,3122607,22634860
4,41,Construção de edifícios,23758,70074,1198513,13272448
5,42,Obras de infraestrutura,4625,12679,247383,1724482
6,43,Serviços especializados para construção,38676,98332,1676711,7637930
7,,Empresas de 5 a 29 pessoas ocupadas,51331,552822,11155533,60637720
8,41,Construção de edifícios,21371,236532,4993335,36048990
9,41.1,Incorporação e empreendimentos imobiliários,1606,13439,301897,4830865
10,41.2,Construção de edifícios,19765,223093,4691438,31218125
11,42,Obras de infraestrutura,4619,51791,1111162,6014404
12,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1506,17157,371009,2452127
13,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",1139,14657,319045,1600490
14,42.9,Construção de outras obras de infraestrutura,1974,19977,421108,1961787
15,43,Serviços especializados para construção,25341,264499,5051036,18574326
16,43.1,Demolição e preparação do terreno,2707,27817,659340,2968660
17,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",8205,82466,1693810,5823529
18,43.3,Obras de acabamento,6855,66069,1159820,4078532
19,43.9,Outros serviços especializados para construções,7574,88147,1538066,5703605
20,,Empresas com 30 ou mais pessoas ocupadas,13097,1705522,54298880,271086220
21,41,Construção de edifícios,6623,672476,18302128,116385100
22,41.1,Incorporação e empreendimentos imobiliários,294,14855,527591,8013037
23,41.10,Incorporação e empreendimentos imobiliários,294,14855,527591,8013037
24,41.2,Construção de edifícios,6329,657621,17774537,108372063
25,41.20,Construção de edifícios,6329,657621,17774537,108372063
26,42,Obras de infraestrutura,2576,644587,25025975,112229999
27,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1034,265267,10041927,52388581
28,42.11,Construção de rodovias e ferrovias,675,181058,7145535,37052185
29,42.12,Construção de obras de arte especiais,61,38244,1609839,9758990
30,42.13,"Obras de urbanização - ruas, praças e calçadas",298,45965,1286553,5577406
31,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",745,228227,8825541,34619860
32,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,480,185751,7382769,26380508
33,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",239,34837,1010278,5895409
34,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",26,7639,432494,2343943
35,42.9,Construção de outras obras de infraestrutura,797,151093,6158507,25221558
36,42.91,"Obras portuárias, marítimas e fluviais",34,7553,360949,2623469
37,42.92,Montagem de instalações industriais e de estruturas metálicas,262,75216,3574936,12097733
38,42.99,Obras de engenharia civil não especificadas anteriormente,501,68324,2222622,10500356
39,43,Serviços especializados para construção,3898,388459,10970777,42471121
40,43.1,Demolição e preparação do terreno,499,47398,1510458,8343885
41,43.11,Demolição e preparação de canteiros de obras,49,5820,187232,1068480
42,43.12,Perfurações e sondagens,57,5702,185776,765184
43,43.13,Obras de terraplenagem,373,34316,1087063,6271375
44,43.19,Serviços de preparação do terreno não especificados anteriormente,20,1560,50387,238846
45,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1227,152978,4495681,16103845
46,43.21,Instalações elétricas,677,82551,2207113,7538701
47,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",382,41581,1107622,4197993
48,43.29,Obras de instalações em construções não especificadas anteriormente,168,28846,1180946,4367151
49,43.3,Obras de acabamento,815,60482,1259596,3820345
50,43.30,Obras de acabamento,815,60482,1259596,3820345
51,43.9,Outros serviços especializados para construção,1357,127601,3705042,14203046
52,43.91,Obras de fundações,225,20680,677961,2900093
53,43.99,Serviços especializados para construção não especificados anteriormente,1132,106921,3027081,11302953
