,"Grandes Regiões 
e
Unidades da Federação
da sede da empresa","Número de
empresas ativas","Pessoal ocupado
em 31.12","Salários, retiradas e
outras remunerações 1 000 R$","Valor das incorporações,
obras e/ou serviços
da construção 1 000 R$"
2,Total das empresas,,,,
3,Brasil,131487,2439429,68577016,354358797
4,Norte,4469,98453,2162076,12598976
5,Nordeste,17660,492141,10827832,55874467
6,Sudeste,63374,1294405,41408220,204892007
7,Sul,34761,378072,9721835,54456801
8,Centro-Oeste,11223,176358,4457053,26536546
9,Empresas de 1 a 4 pessoas ocupadas,,,,
10,Brasil,67059,181085,3122606,22634859
11,Norte,1804,7901,142781,1150518
12,Nordeste,7156,23485,361240,3235256
13,Sudeste,33251,87444,1527034,10376446
14,Sul,19011,42086,801412,5814951
15,Centro-Oeste,5837,20169,290139,2057688
16,Empresas com 5 ou mais pessoas ocupadas,,,,
17,Brasil,64428,2258344,65454410,331723938
18, Norte,2665,90552,2019295,11448458
19,Rondônia,385,6821,144588,938655
20,Acre,161,5956,126847,604072
21,Amazonas,573,20364,483439,2943229
22,Roraima,98,2768,53217,284513
23,Pará,958,40042,911638,5014256
24,Amapá,147,4109,74403,356114
25,Tocantins,343,10492,225163,1307619
26,Nordeste,10504,468656,10466592,52639211
27,Maranhão,653,35564,702738,3710092
28,Piauí,481,22867,489505,2307697
29,Ceará,1843,100807,2455162,12776934
30,Rio Grande do Norte,964,34561,630229,4023877
31,Paraíba,1228,34593,594099,3126578
32,Pernambuco,1558,77565,1799795,8541137
33,Alagoas,507,22143,380795,2031621
34,Sergipe,470,28537,524514,2875574
35,Bahia,2800,112019,2889755,13245701
36,Sudeste,30123,1206961,39881186,194515561
37,Minas Gerais,7654,291161,8781183,40101693
38,Espírito Santo,1552,40779,978165,5083752
39,Rio de Janeiro,4682,236874,8049333,38334844
40,São Paulo,16235,638147,22072505,110995272
41, Sul,15750,335986,8920423,48641850
42,Paraná,5510,129506,3718336,18992183
43,Santa Catarina,4424,90102,2364718,12925618
44,Rio Grande do Sul,5816,116378,2837369,16724049
45,Centro-Oeste,5386,156189,4166914,24478858
46,Mato Grosso do Sul,791,21503,471979,2433150
47,Mato Grosso,1237,29116,739965,5238320
48,Goiás,2010,62586,1711914,9571145
49,Distrito Federal,1348,42984,1243056,7236243
