,"Códigos
da
CNAE
2.0","Divisões, grupos de atividades
e
faixas de pessoal ocupado","Número
de
empresas
ativas","Pessoal
ocupado
em
31.12",Custos e despesas Total 1 000 R$,Custos e despesas Gastos de pessoal Total 1 000 R$,"Custos e despesas Gastos de pessoal Salários,
retiradas e
outras
remune-
rações 1 000 R$","Custos e despesas Custos das obras e/ou
serviços da construção Total  1 000 R$","Custos e despesas Custos das obras e/ou
serviços da construção Consumo de
materiais de
construção 1 000 R$","Custos e despesas Custos de incorporações
de imóveis
construídos por terceiros Total 1 000 R$","Custos e despesas Custos de incorporações
de imóveis
construídos por terceiros Materiais de
construção 1 000 R$","Custos e despesas Outros
custos e
despesas 1 000 R$"
4,,Total,64428,2258344,286155455,95678729,65454408,108745508,63936978,6235059,2026599,75496158
5,,De   5 a 29,52655,544499,50654576,16218905,11978114,19614973,13942014,3527751,838793,11292948
6,,De  30 a 49,4717,195318,19875124,6589437,4664817,8537960,5553908,638675,290557,4109052
7,,De  50 a 99,3606,271888,30802992,10092732,6948161,12748058,7897202,1134115,531551,6828086
8,,De 100 a 249,2300,359677,43978807,14251540,9664425,18325853,10911724,320520,200077,11080894
9,,De 250 a 499,725,248997,32070410,10683308,7164154,12927108,7495609,454372,97018,8005620
10,,Com 500 e mais,425,637965,108773546,37842807,25034737,36591556,18136521,159626,68603,34179558
11,41,Construção de edifícios ,27994,909008,120820544,34114626,23295461,52734844,33934321,6153402,1984455,27817671
12,,De   5 a 29,22174,232453,32169318,7687569,5516147,13451670,9846752,3496571,828310,7533508
13,,De  30 a 49,2357,97529,11807610,3267382,2289055,5637371,3858807,625332,283499,2277524
14,,De  50 a 99,1878,142353,17090186,5009098,3429569,7556564,5099457,1119450,523965,3405073
15,,De 100 a 249,1119,175725,22365197,6308746,4252102,10089023,6488326,307246,189762,5660184
16,,De 250 a 499,329,111999,13648040,4199746,2803855,6125897,3763282,445900,91031,2876496
17,,Com 500 e mais,137,148949,23740193,7642085,5004733,9874319,4877697,158903,67888,6064886
18,41.1,"Incorporação de empreendimentos
imobiliários",1900,28294,9797323,1230662,829487,14246,4868,5514708,1632623,3037704
19,,De   5 a 29,1741,14639,5781078,555042,369691,8140,2524,3251253,704754,1966643
20,,De  30 a 49,72,2918,957301,119430,79847,1341,734,538625,226944,297904
21,,De  50 a 99,53,3687,1619627,232676,153785,3452,562,1053180,477999,330318
22,,De 100 a 249,26,3739,616527,141835,102404,1313,1048,249726,142153,223654
23,,De 250 a 499,7,x,x,x,x,x,x,x,x,x
24,,Com 500 e mais,1,x,x,x,x,x,x,x,x,x
25,41.2,Construção de edifícios,26094,880714,111023221,32883964,22465974,52720598,33929453,638694,351832,24779967
26,,De   5 a 29,20433,217814,26388240,7132527,5146456,13443530,9844228,245318,123556,5566865
27,,De  30 a 49,2285,94611,10850309,3147952,2209208,5636030,3858073,86707,56555,1979620
28,,De  50 a 99,1825,138666,15470559,4776422,3275784,7553112,5098895,66270,45966,3074755
29,,De 100 a 249,1093,171986,21748670,6166911,4149698,10087710,6487278,57520,47609,5436530
30,,De 250 a 499,322,109647,12886574,4039525,2693927,6125897,3763282,42180,27052,2678972
31,,Com 500 e mais,136,147990,23678869,7620627,4990901,9874319,4877697,140699,51094,6043225
32,42,Obras de infraestrutura,7195,696378,117427481,38927095,26137135,41394556,21482390,31195,16281,37074635
33,,De   5 a 29,4784,52042,4902530,1672610,1235797,2078588,1433594,2282,1298,1149050
34,,De  30 a 49,731,29816,3307992,1169988,815715,1376267,843479,4524,2349,757213
35,,De  50 a 99,652,48633,7273326,2234546,1527088,2981936,1465087,11190,4457,2045654
36,,De 100 a 249,583,93408,13493444,4422609,2987662,5583009,3058380,7505,4976,3480321
37,,De 250 a 499,247,85329,14051274,4388980,2943678,5565935,3072493,4971,2486,4091387
38,,Com 500 e mais,198,387150,74398915,25038362,16627195,23808821,11609357,723,715,25551010
39,42.1,"Construção de rodovias, ferrovias,
obras urbanas e obras de arte",2540,282424,52756647,15419846,10412934,21044071,10788368,15750,8199,16276981
40,,De   5 a 29,1570,17300,1975012,550104,403155,956079,635598,1348,1282,467482
41,,De  30 a 49,242,10027,1291874,417267,285136,571177,361593,2035,1580,301395
42,,De  50 a 99,265,19860,2855657,828313,572673,1221452,702958,6845,2352,799046
43,,De 100 a 249,267,42343,6922374,2053580,1402807,2822763,1450782,5387,2858,2040645
44,,De 250 a 499,119,40448,7717449,2212794,1523939,3391870,1905177,106,106,2112679
45,,Com 500 e mais,77,152446,31994281,9357788,6225224,12080730,5732260,29,21,10555734
46,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por duto",1884,242884,40132259,13655092,9144586,11898685,6590972,10536,6128,14567946
47,,De   5 a 29,1158,13753,1321841,492518,359963,491151,346205,-,-,338171
48,,De  30 a 49,223,8917,724164,326016,228912,246693,146514,782,688,150673
49,,De  50 a 99,182,13368,2281771,714075,492303,1105645,425095,2771,942,459281
50,,De 100 a 249,178,28655,3700486,1272341,849114,1587408,902872,2118,2118,838619
51,,De 250 a 499,72,24780,3637455,1129242,708017,1106675,706768,4865,2380,1396673
52,,Com 500 e mais,71,153411,28466542,9720900,6506277,7361113,4063518,-,-,11384529
53,42.9,"Construção de outras obras de
infraestrutura",2771,171070,24538575,9852157,6579615,8451800,4103050,4909,1954,6229708
54,,De   5 a 29,2056,20989,1605677,629988,472679,631358,451791,934,16,343397
55,,De  30 a 49,266,10872,1291954,426705,301667,558397,335372,1707,81,305145
56,,De  50 a 99,205,15405,2135898,692158,462112,654839,337034,1574,1163,787327
57,,De 100 a 249,138,22410,2870584,1096688,735741,1172838,704726,-,-,601057
58,,De 250 a 499,56,20101,2696370,1046944,711722,1067390,460548,-,-,582035
59,,Com 500 e mais,50,81293,13938092,5959674,3895694,4366978,1813579,694,694,3610747
60,43,"Serviços especializados para
construção",29239,652958,47907430,22637008,16021812,14616108,8520267,50462,25863,10603852
61,,De   5 a 29,25697,260004,13582728,6858726,5226170,4084715,2661668,28898,9185,2610390
62,,De  30 a 49,1629,67973,4759522,2152067,1560047,1524322,851622,8819,4709,1074315
63,,De  50 a 99,1076,80902,6439480,2849088,1991504,2209558,1332658,3475,3129,1377359
64,,De 100 a 249,598,90544,8120166,3520185,2424661,2653821,1365018,5769,5339,1940389
65,,De 250 a 499,149,51669,4371096,2094582,1416621,1235276,659834,3501,3501,1037737
66,,Com 500 e mais,90,101866,10634438,5162360,3402809,2908416,1649467,-,-,2563662
67,43.1,Demolição e preparação do terreno,3206,75215,9215148,3124404,2169797,3525769,1495192,20728,1404,2544247
68,,De   5 a 29,2713,26847,2342707,867385,647381,915815,287164,20232,1021,539275
69,,De  30 a 49,250,9959,1088961,380488,270812,418163,139606,-,-,290311
70,,De  50 a 99,118,8700,1132050,398212,278287,424004,218882,-,-,309834
71,,De 100 a 249,96,14438,1998313,653110,449297,775944,251278,496,383,568762
72,,De 250 a 499,18,6352,877472,312024,208999,356207,174187,-,-,209240
73,,Com 500 e mais,11,8919,1775645,513185,315021,635636,424075,-,-,626825
74,43.2,"Instalações elétricas, hidráulicas e
outras instalações em construções",9432,235444,17317523,8801890,6189491,4658573,2817698,4250,3325,3852811
75,,De   5 a 29,8291,80833,4167484,2282937,1718668,971483,748473,2146,1930,910919
76,,De  30 a 49,500,20454,1382988,683456,493132,410560,247214,1504,1025,287467
77,,De  50 a 99,345,25857,1979836,963079,678526,637167,409943,485,255,379106
78,,De 100 a 249,197,29346,2244898,1117559,777466,708798,424946,115,115,418426
79,,De 250 a 499,63,21401,1599016,797570,537966,433273,229369,-,-,368173
80,,Com 500 e mais,36,57553,5943301,2957289,1983733,1497292,757753,-,-,1488720
81,43.3,Obras de acabamento,7670,126551,5426139,3217145,2419417,1374274,803922,2129,2085,832592
82,,De   5 a 29,6947,65447,2543718,1530567,1204545,551123,385120,1367,1344,460662
83,,De  30 a 49,369,15654,619348,376195,279327,150626,105616,759,740,91769
84,,De  50 a 99,241,18260,948790,493573,356417,329155,152279,3,1,126058
85,,De 100 a 249,88,13843,562243,346286,243881,139646,88756,-,-,76310
86,,De 250 a 499,15,5228,237007,151576,107585,49007,27125,-,-,36425
87,,Com 500 e mais,10,8119,515033,318948,227662,154717,45026,-,-,41368
88,43.9,"Outros serviços especializados
para construção",8931,215748,15948620,7493569,5243107,5057492,3403455,23355,19049,3374202
89,,De   5 a 29,7746,86877,4528819,2177837,1655576,1646294,1240911,5153,4890,699534
90,,De  30 a 49,510,21906,1668225,711928,516776,544973,359186,6556,2944,404768
91,,De  50 a 99,372,28085,2378804,994224,678274,819232,551554,2987,2873,562361
92,,De 100 a 249,217,32917,3314712,1403230,954017,1029433,600038,5158,4841,876891
93,,De 250 a 499,53,18688,1657601,833412,562071,396789,229153,3501,3501,423899
94,,Com 500 e mais,33,27275,2400459,1372938,876393,620771,422613,-,-,406749
