,"Grandes Regiões 
e
Unidades da Federação
da sede da empresa","
Receita
bruta
total 1 000 R$
","Receita
líquida 1 000 R$","
Valor das incorporações, obras
e/ou serviços da
construção 1 000 R$
","Consumo
intermediário 1 000 R$","Valor bruto
da
produção 1 000 R$","Valor
adicionado
(1) 1 000 R$"
4,Total das empresas,,,,,,
5,Brasil ,352677842,323971242,354358797,158817946,331430245,172612299
6,Norte,12939504,11853378,12598976,4849345,11763955,6914610
7,Nordeste,55924325,51735623,55874467,23731711,52507437,28775725
8,Sudeste,201441245,184450412,204892007,93397965,191185289,97787324
9,Sul,55803140,51443693,54456801,24906436,51211512,26305077
10,Centro-Oeste,26569628,24488136,26536546,11932489,24762052,12829563
11,Empresas de 1 a 4 pessoas ocupadas,,,,,,
12,Brasil ,23318699,21689953,22634859,7658324,21321510,13663186
13,Norte,1251080,1154418,1150518,376369,1046948,670579
14,Nordeste,3816437,3555865,3235256,1189631,3020878,1831247
15,Sudeste,9964639,9173067,10376446,3073711,9650667,6576956
16,Sul,6164502,5835277,5814951,2200674,5616222,3415548
17,Centro-Oeste,2122041,1971326,2057688,817939,1986795,1168856
18,Empresas com 5 ou mais pessoas ocupadas,,,,,,
19,Brasil ,329359143,302281289,331723938,151159622,310108735,158949113
20,Norte,11688424,10698960,11448458,4472976,10717007,6244031
21,Rondônia,867644,807367,938655,277139,888036,610897
22,Acre,619316,567418,604072,240923,581721,340797
23,Amazonas,3036601,2748456,2943229,1255818,2766994,1511176
24,Roraima,308986,282053,284513,88842,264865,176024
25,Pará,4934434,4502991,5014256,2021968,4658708,2636740
26,Amapá,346636,327835,356114,91503,342075,250573
27,Tocantins,1574807,1462840,1307619,496783,1214608,717824
28, Nordeste,52107888,48179758,52639211,22542080,49486559,26944478
29,Maranhão,3708461,3388844,3710092,1555505,3481194,1925689
30,Piauí,2332488,2186954,2307697,1012345,2181330,1168985
31,Ceará,13424252,12582428,12776934,6338468,12093202,5754734
32,Rio Grande do Norte,3338326,3115750,4023877,1502040,3808131,2306090
33,Paraíba,3489347,3241235,3126578,1347515,2884988,1537473
34,Pernambuco,7883696,7187885,8541137,3218051,7915892,4697841
35,Alagoas,2106556,1992027,2031621,938572,1921266,982694
36,Sergipe,2682088,2465853,2875574,1139945,2628664,1488719
37,Bahia,13142674,12018782,13245701,5489639,12571892,7082253
38,Sudeste,191476606,175277345,194515561,90324254,181534622,91210368
39,Minas Gerais,41798581,37833792,40101693,17888999,36425294,18536295
40,Espírito Santo,5401948,4918338,5083752,2124553,4799192,2674639
41,Rio de Janeiro,38055272,35090696,38334844,19123936,36753143,17629207
42,São Paulo,106220805,97434519,110995272,51186766,103556993,52370227
43,Sul,49638638,45608416,48641850,22705762,45595290,22889529
44,Paraná,19263754,17846864,18992183,8946728,17789675,8842948
45,Santa Catarina,13593281,12398977,12925618,6108936,12214535,6105599
46,Rio Grande do Sul,16781603,15362575,16724049,7650098,15591080,7940982
47,Centro-Oeste,24447587,22516810,24478858,11114550,22775257,11660707
48,Mato Grosso do Sul,2547944,2356512,2433150,1105874,2299074,1193200
49,Mato Grosso,5352440,4962751,5238320,2572495,4916555,2344060
50,Goiás,9346030,8566730,9571145,4094935,8826080,4731145
51,Distrito Federal,7201173,6630817,7236243,3341246,6733548,3392302
