,"Códigos
da
CNAE
2.0","Divisões, grupos
e
classes de atividades","Salários, retiradas e outras remunerações  Total 1 000 R$","Salários, retiradas e outras remunerações  Pessoal assalariado Ligado 
à construção 1 000 R$","Salários, retiradas e outras remunerações  Pessoal assalariado Não ligado 
à construção 1 000 R$","Salários, retiradas e outras remunerações  Pessoal não assalariado Proprietários 
e sócios (1) 1 000 R$"
4,,Total das empresas,68577020,57247124,8247565,3082330
5,,Empresas de 1 a 4 pessoas ocupadas,3122607,2060658,153215,908735
6,41,Construção de edifícios,1198513,816348,46810,335355
7,42,Obras de infraestrutura,247383,159351,9262,78771
8,43,Serviços especializados para construção,1676711,1084959,97143,494609
9,,Empresas de 5 a 29 pessoas ocupadas,11155533,9215549,907403,1032582
10,41,Construção de edifícios,4993335,4087654,495360,410322
11,41.1,Incorporação e empreendimentos imobiliários,301897,206251,43018,52628
12,41.2,Construção de edifícios,4691438,3881403,452342,357694
13,42,Obras de infraestrutura,1111162,902775,100327,108060
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",371009,312011,32437,26561
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",319045,261994,23194,33857
16,42.9,Construção de outras obras de infraestrutura,421108,328770,44696,47642
17,43,Serviços especializados para construção,5051036,4225120,311716,514200
18,43.1,Demolição e preparação do terreno,659340,541955,53581,63804
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1693810,1412430,96611,184769
20,43.3,Obras de acabamento,1159820,926119,99848,133853
21,43.9,Outros serviços especializados para construções,1538066,1344616,61676,131774
22,,Empresas com 30 ou mais pessoas ocupadas,54298880,45970917,7186947,1141013
23,41,Construção de edifícios,18302128,15099908,2649524,552696
24,41.1,Incorporação e empreendimentos imobiliários,527591,429688,72614,25289
25,41.10,Incorporação e empreendimentos imobiliários,527591,429688,72614,25289
26,41.2,Construção de edifícios,17774537,14670220,2576910,527407
27,41.20,Construção de edifícios,17774537,14670220,2576910,527407
28,42,Obras de infraestrutura,25025975,21517437,3189740,318798
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",10041927,8640105,1273483,128338
30,42.11,Construção de rodovias e ferrovias,7145535,6195250,860952,89332
31,42.12,Construção de obras de arte especiais,1609839,1431485,165954,12400
32,42.13,"Obras de urbanização - ruas, praças e calçadas",1286553,1013370,246577,26606
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",8825541,7580205,1137370,107967
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,7382769,6293719,1020203,68847
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",1010278,920347,74362,15569
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",432494,366139,42805,23551
37,42.9,Construção de outras obras de infraestrutura,6158507,5297127,778887,82493
38,42.91,"Obras portuárias, marítimas e fluviais",360949,304894,43846,12209
39,42.92,Montagem de instalações industriais e de estruturas metálicas,3574936,3170016,377061,27859
40,42.99,Obras de engenharia civil não especificadas anteriormente,2222622,1822217,357980,42425
41,43,Serviços especializados para construção,10970777,9353572,1347683,269519
42,43.1,Demolição e preparação do terreno,1510458,1268278,207858,34321
43,43.11,Demolição e preparação de canteiros de obras,187232,155765,29229,2237
44,43.12,Perfurações e sondagens,185776,147408,34060,4308
45,43.13,Obras de terraplenagem,1087063,924242,135715,27106
46,43.19,Serviços de preparação do terreno não especificados anteriormente,50387,40863,8854,670
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",4495681,3804258,593727,97696
48,43.21,Instalações elétricas,2207113,1932897,230513,43704
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",1107622,907720,165617,34285
50,43.29,Obras de instalações em construções não especificadas anteriormente,1180946,963641,197597,19707
51,43.3,Obras de acabamento,1259596,1147882,75176,36537
52,43.30,Obras de acabamento,1259596,1147882,75176,36537
53,43.9,Outros serviços especializados para construção,3705042,3133154,470922,100965
54,43.91,Obras de fundações,677961,570034,89468,18459
55,43.99,Serviços especializados para construção não especificados anteriormente,3027081,2563120,381454,82506
