,"Códigos
da
CNAE
2.0","Divisões, grupos
e
classes de atividades","Número
de
empresas
ativas ",Gastos de pessoal Total 1 000 R$,"Gastos de pessoal Salários,
retiradas e
outras remu-
nerações 1 000 R$","Gastos de pessoal Contribui-
ções para
previdência
social 1 000 R$",Gastos de pessoal FGTS 1 000 R$,"Gastos de pessoal Contribui-
ções para
previdência
privada 1 000 R$","Gastos de pessoal Indeni-
zações
trabalhistas 1 000 R$","Gastos de pessoal Benefícios
concedidos
aos
empregados 1 000 R$"
3,,Total das empresas,131487,99690617,68577020,9913632,6100249,396024,4728314,9975381
4,,Empresas de 1 a 4 pessoas ocupadas,67059,4011887,3122607,256568,193140,36510,274277,128783
5,41,Construção de edifícios,23758,1628934,1198513,136024,75394,4489,163711,50801
6,42,Obras de infraestrutura,4625,305488,247383,19445,14271,1011,13571,9807
7,43,Serviços especializados para construção,38676,2077465,1676711,101099,103475,31010,96995,68175
8,,Empresas de 5 a 29 pessoas ocupadas,51331,14895426,11155533,1377722,901133,63296,653577,744168
9,41,Construção de edifícios,21371,6824637,4993335,800671,422072,32966,290814,284781
10,41.1,Incorporação e empreendimentos imobiliários,1606,423100,301897,71993,24181,424,11882,12725
11,41.2,Construção de edifícios,19765,6401537,4691438,728678,397891,32542,278932,272056
12,42,Obras de infraestrutura,4619,1486850,1111162,137713,85985,4189,71568,76233
13,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1506,500117,371009,48953,28929,1165,29695,20365
14,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",1139,432625,319045,40159,24672,488,21405,26856
15,42.9,Construção de outras obras de infraestrutura,1974,554108,421108,48601,32384,2536,20468,29012
16,43,Serviços especializados para construção,25341,6583939,5051036,439338,393076,26141,291195,383154
17,43.1,Demolição e preparação do terreno,2707,880789,659340,79385,51977,3409,49610,37068
18,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",8205,2230602,1693810,123971,132827,11705,84185,184105
19,43.3,Obras de acabamento,6855,1461580,1159820,84136,87513,5626,74400,50084
20,43.9,Outros serviços especializados para construções,7574,2010968,1538066,151846,120759,5401,83000,111897
21,,Empresas com 30 ou mais pessoas ocupadas,13097,80783304,54298880,8279342,5005976,296218,3800460,9102430
22,41,Construção de edifícios,6623,27289988,18302128,3313401,1620794,98226,1315862,2639578
23,41.1,Incorporação e empreendimentos imobiliários,294,807562,527591,106750,45813,3276,56910,67223
24,41.10,Incorporação e empreendimentos imobiliários,294,807562,527591,106750,45813,3276,56910,67223
25,41.2,Construção de edifícios,6329,26482426,17774537,3206651,1574981,94950,1258952,2572355
26,41.20,Construção de edifícios,6329,26482426,17774537,3206651,1574981,94950,1258952,2572355
27,42,Obras de infraestrutura,2576,37440245,25025975,3380594,2414540,145834,1816284,4657019
28,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1034,14919728,10041927,1398617,1017256,46768,710247,1704914
29,42.11,Construção de rodovias e ferrovias,675,10417569,7145535,941979,702085,26793,474402,1126775
30,42.12,Construção de obras de arte especiais,61,2592188,1609839,240000,203359,17823,173122,348046
31,42.13,"Obras de urbanização - ruas, praças e calçadas",298,1909971,1286553,216638,111812,2152,62723,230093
32,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",745,13222468,8825541,1204330,804007,65299,657112,1666178
33,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,480,11043984,7382769,968264,661038,61902,555301,1414710
34,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",239,1502098,1010278,171208,92153,1169,72761,154529
35,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",26,676386,432494,64858,50816,2228,29050,96939
36,42.9,Construção de outras obras de infraestrutura,797,9298049,6158507,777647,593277,33767,448925,1285927
37,42.91,"Obras portuárias, marítimas e fluviais",34,565326,360949,71135,33732,60,22188,77263
38,42.92,Montagem de instalações industriais e de estruturas metálicas,262,5460197,3574936,374680,351317,4416,283673,871175
39,42.99,Obras de engenharia civil não especificadas anteriormente,501,3272526,2222622,331832,208228,29291,143064,337489
40,43,Serviços especializados para construção,3898,16053071,10970777,1585347,970642,52158,668314,1805833
41,43.1,Demolição e preparação do terreno,499,2243615,1510458,221736,139011,13193,112863,246353
42,43.11,Demolição e preparação de canteiros de obras,49,299873,187232,28919,19641,4376,19076,40629
43,43.12,Perfurações e sondagens,57,303826,185776,27494,16174,2052,25803,46526
44,43.13,Obras de terraplenagem,373,1565307,1087063,157841,98526,6595,64070,151212
45,43.19,Serviços de preparação do terreno não especificados anteriormente,20,74609,50387,7482,4670,170,3914,7986
46,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1227,6571288,4495681,635662,395097,15531,225508,803809
47,43.21,Instalações elétricas,677,3194267,2207113,315201,189615,7438,96883,378017
48,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",382,1633969,1107622,164011,96234,4335,55545,206221
49,43.29,Obras de instalações em construções não especificadas anteriormente,168,1743052,1180946,156450,109248,3758,73080,219571
50,43.3,Obras de acabamento,815,1755566,1259596,163675,103555,6341,72218,150182
51,43.30,Obras de acabamento,815,1755566,1259596,163675,103555,6341,72218,150182
52,43.9,Outros serviços especializados para construção,1357,5482602,3705042,564274,332979,17093,257725,605489
53,43.91,Obras de fundações,225,980014,677961,94261,64263,1110,37142,105277
54,43.99,Serviços especializados para construção não especificados anteriormente,1132,4502588,3027081,470013,268716,15983,220583,500212
