,"Códigos
da
CNAE
2.0","Divisões, grupos
e
classes de atividades","Número
de
empresas
ativas",Custos e despesas Total 1 000 R$,Custos e despesas Custos das obras e/ou serviços da construção Total 1 000 R$,"Custos e despesas Custos das obras e/ou serviços da construção Consumo
de
materiais
de
construção 1 000 R$","Custos e despesas Custos das obras e/ou serviços da construção Consumo de
combustíveis
e
lubrificantes 1 000 R$","Custos e despesas Custos das obras e/ou serviços da construção Obras e/ou serviços
contratados
a terceiros 1 000 R$","Custos e despesas Custos das obras e/ou serviços da construção Serviço de
manutenção e
reparação de
máquinas e
equipamentos
(1) 1 000 R$",Custos e despesas Custos das obras e/ou serviços da construção Terrenos 1 000 R$
4,,Total das empresas,131487,299205735,113565940,67120239,6996467,30354144,6748331,2346757
5,,Empresas de 1 a 4 pessoas ocupadas,67059,13050281,4820435,3183258,316991,848639,220531,251015
6,41,Construção de edifícios,23758,7387768,3022682,2056409,58199,705420,62859,139794
7,42,Obras de infraestrutura,4625,960042,362630,197653,27629,36079,14656,86613
8,43,Serviços especializados para construção,38676,4702471,1435123,929196,231163,107140,143016,24608
9,,Empresas de 5 a 29 pessoas ocupadas,51331,41050887,15474581,11256985,952295,2007532,820947,436823
10,41,Construção de edifícios,21371,24205532,10024597,7608447,196618,1447945,414110,357477
11,41.1,Incorporação e empreendimentos imobiliários,1606,3754587,4654,1535,2290,45,773,11
12,41.2,Construção de edifícios,19765,20450945,10019943,7606912,194328,1447900,413337,357466
13,42,Obras de infraestrutura,4619,4081827,1704341,1200883,200173,196622,102890,3773
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1506,1707337,809432,541595,109328,103655,52104,2750
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",1139,1070809,394280,293228,39088,35555,25743,666
16,42.9,Construção de outras obras de infraestrutura,1974,1303681,500629,366060,51757,57412,25043,357
17,43,Serviços especializados para construção,25341,12763528,3745643,2447655,555504,362965,303947,75573
18,43.1,Demolição e preparação do terreno,2707,2292324,850929,251864,299158,131959,157504,10444
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",8205,3981057,886749,685143,93824,63353,44397,33
20,43.3,Obras de acabamento,6855,2451145,540820,377741,26595,49842,23316,63326
21,43.9,Outros serviços especializados para construções,7574,4039002,1467145,1132907,135927,117811,78730,1770
22,,Empresas com 30 ou mais pessoas ocupadas,13097,245104567,93270924,52679996,5727181,27497973,5706853,1658919
23,41,Construção de edifícios,6623,96615012,42710247,26325874,907072,12487331,1463639,1526332
24,41.1,Incorporação e empreendimentos imobiliários,294,6042735,9592,3333,528,1786,3795,150
25,41.10,Incorporação e empreendimentos imobiliários,294,6042735,9592,3333,528,1786,3795,150
26,41.2,Construção de edifícios,6329,90572277,42700655,26322541,906544,12485545,1459844,1526182
