,"Códigos
da
CNAE
2.0","Divisões, grupos
e
classes de atividades",Custos e despesas Custos de incorporação de imóveis construídos por terceiros Total 1 000 R$,"Custos e despesas Custos de incorporação de imóveis construídos por terceiros Materiais
de
construção 1 000 R$",Custos e despesas Custos de incorporação de imóveis construídos por terceiros Obras contratadas 1 000 R$,"Custos e despesas Custos de incorporação de imóveis construídos por terceiros Serviço de engenharia
e arquitetura 1 000 R$",Custos e despesas Custos de incorporação de imóveis construídos por terceiros Custos dos terrenos 1 000 R$
4,,Total das empresas,7638073,2253484,4144643,372820,867128
5,,Empresas de 1 a 4 pessoas ocupadas,1403018,226887,869884,148710,157538
6,41,Construção de edifícios,1382903,214750,869462,143763,154928
7,42,Obras de infraestrutura,4592,2199,146,192,2055
8,43,Serviços especializados para construção,15523,9938,276,4755,555
9,,Empresas de 5 a 29 pessoas ocupadas,2111019,452222,1155632,34981,468185
10,41,Construção de edifícios,2082972,444297,1135970,34523,468183
11,41.1,Incorporação e empreendimentos imobiliários,1918813,351937,1098493,8794,459590
12,41.2,Construção de edifícios,164159,92360,37477,25729,8593
13,42,Obras de infraestrutura,691,201,401,89,-
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",124,58,24,42,-
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",167,127,40,-,-
16,42.9,Construção de outras obras de infraestrutura,400,16,337,47,-
17,43,Serviços especializados para construção,27356,7724,19261,369,2
18,43.1,Demolição e preparação do terreno,20119,919,19015,185,-
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1809,1631,112,66,-
20,43.3,Obras de acabamento,575,552,3,18,2
21,43.9,Outros serviços especializados para construções,4853,4622,131,100,-
22,,Empresas com 30 ou mais pessoas ocupadas,4124036,1574375,2119127,189129,241405
23,41,Construção de edifícios,4070430,1540158,2108369,186743,235160
24,41.1,Incorporação e empreendimentos imobiliários,3595896,1280687,1975306,132707,207196
25,41.10,Incorporação e empreendimentos imobiliários,3595896,1280687,1975306,132707,207196
26,41.2,Construção de edifícios,474534,259471,133063,54036,27964
27,41.20,Construção de edifícios,474534,259471,133063,54036,27964
28,42,Obras de infraestrutura,30503,16080,9017,967,4440
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",15626,8140,2427,954,4105
30,42.11,Construção de rodovias e ferrovias,6187,2482,647,358,2700
31,42.12,Construção de obras de arte especiais,3725,1352,893,507,973
32,42.13,"Obras de urbanização - ruas, praças e calçadas",5714,4306,887,89,432
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",10369,6002,4033,-,335
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,2312,2177,-,-,135
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",8057,3825,4033,-,200
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",-,-,-,-,-
37,42.9,Construção de outras obras de infraestrutura,4508,1938,2557,13,-
38,42.91,"Obras portuárias, marítimas e fluviais",-,-,-,-,-
39,42.92,Montagem de instalações industriais e de estruturas metálicas,1707,81,1613,13,-
40,42.99,Obras de engenharia civil não especificadas anteriormente,2801,1857,944,-,-
41,43,Serviços especializados para construção,23103,18137,1741,1419,1805
42,43.1,Demolição e preparação do terreno,609,485,3,121,-
43,43.11,Demolição e preparação de canteiros de obras,4,1,3,-,-
44,43.12,Perfurações e sondagens,1,1,-,-,-
45,43.13,Obras de terraplenagem,604,483,-,121,-
46,43.19,Serviços de preparação do terreno não especificados anteriormente,-,-,-,-,-
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",2440,1693,338,409,-
48,43.21,Instalações elétricas,1529,804,338,387,-
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",894,872,-,22,-
50,43.29,Obras de instalações em construções não especificadas anteriormente,17,17,-,-,-
51,43.3,Obras de acabamento,1554,1533,5,15,-
52,43.30,Obras de acabamento,1554,1533,5,15,-
53,43.9,Outros serviços especializados para construção,18500,14426,1395,874,1805
54,43.91,Obras de fundações,5872,4998,808,66,-
55,43.99,Serviços especializados para construção não especificados anteriormente,12628,9428,587,808,1805
