,"Códigos
da
CNAE
2.0","Divisões,grupos
e
classes de atividades","Custos e despesas Gastos
de
pessoal 1 000 R$","Custos e despesas Outros custos e despesas Total
(2) 1 000 R$",Custos e despesas Outros custos e despesas Aluguéis 1 000 R$,"Custos e despesas Outros custos e despesas Despesas
com
arrenda-
mento
mercantil 1 000 R$","Custos e despesas Outros custos e despesas Depreciação,
amortização
e
exaustão 1 000 R$","Custos e despesas Outros custos e despesas Despesas
com
propaganda 1 000 R$","Custos e despesas Outros custos e despesas Fretes
e
carretos 1 000 R$","Custos e despesas Outros custos e despesas Impostos
e
taxas 1 000 R$"
4,,Total das empresas,99690617,78311100,10402486,356261,5202984,1413842,1093195,3254017
5,,Empresas de 1 a 4 pessoas ocupadas,4011887,2814941,233996,10002,198895,122815,32081,179442
6,41,Construção de edifícios,1628934,1353251,108019,1570,85097,114836,15305,113889
7,42,Obras de infraestrutura,305488,287331,22475,389,13127,1941,4570,16438
8,43,Serviços especializados para construção,2077465,1174359,103502,8043,100671,6038,12206,49115
9,,Empresas de 5 a 29 pessoas ocupadas,14895426,8569862,713634,22775,705733,195474,83483,537812
10,41,Construção de edifícios,6824637,5273326,401133,296,292436,173892,35810,375360
11,41.1,Incorporação e empreendimentos imobiliários,423100,1408020,57376,-,132830,77629,764,82853
12,41.2,Construção de edifícios,6401537,3865306,343757,296,159606,96263,35046,292507
13,42,Obras de infraestrutura,1486850,889946,81507,4090,152150,4126,17483,54526
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",500117,397664,29324,2443,97790,1092,11810,23136
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",432625,243738,23538,1490,30427,2510,4024,15334
16,42.9,Construção de outras obras de infraestrutura,554108,248544,28645,157,23933,524,1649,16056
17,43,Serviços especializados para construção,6583939,2406590,230994,18389,261147,17456,30190,107926
18,43.1,Demolição e preparação do terreno,880789,540487,70022,597,165316,1881,9137,30138
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",2230602,861896,81320,16827,29477,3855,8306,34787
20,43.3,Obras de acabamento,1461580,448171,31350,421,9702,8904,2127,11304
21,43.9,Outros serviços especializados para construções,2010968,556036,48302,544,56652,2816,10620,31697
22,,Empresas com 30 ou mais pessoas ocupadas,80783304,66926297,9454856,323484,4298356,1095553,977631,2536763
23,41,Construção de edifícios,27289988,22544346,1913246,51613,958466,939684,199397,1259532
24,41.1,Incorporação e empreendimentos imobiliários,807562,1629685,48487,1267,32379,142636,4465,96537
25,41.10,Incorporação e empreendimentos imobiliários,807562,1629685,48487,1267,32379,142636,4465,96537
26,41.2,Construção de edifícios,26482426,20914661,1864759,50346,926087,797048,194932,1162995
27,41.20,Construção de edifícios,26482426,20914661,1864759,50346,926087,797048,194932,1162995
28,42,Obras de infraestrutura,37440245,36184689,6245701,193654,2567119,111977,572692,903353
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",14919728,15879317,2829940,126209,1434814,51848,353731,412346
30,42.11,Construção de rodovias e ferrovias,10417569,11400394,2219294,116764,1068171,20698,239190,315020
31,42.12,Construção de obras de arte especiais,2592188,3391800,465380,2482,236453,1329,75093,49628
32,42.13,"Obras de urbanização - ruas, praças e calçadas",1909971,1087123,145266,6963,130190,29821,39448,47698
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",13222468,14324208,1892598,50010,719568,43239,128134,329680
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,11043984,12250573,1503664,40572,599782,38354,88422,141528
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",1502098,1637149,254797,5462,88081,3363,31109,169338
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",676386,436486,134137,3976,31705,1522,8603,18814
37,42.9,Construção de outras obras de infraestrutura,9298049,5981164,1523163,17435,412737,16890,90827,161327
38,42.91,"Obras portuárias, marítimas e fluviais",565326,1130010,486527,423,45859,3234,17140,33356
39,42.92,Montagem de instalações industriais e de estruturas metálicas,5460197,2677210,641339,1605,162109,8334,40124,51499
40,42.99,Obras de engenharia civil não especificadas anteriormente,3272526,2173944,395297,15407,204769,5322,33563,76472
41,43,Serviços especializados para construção,16053071,8197262,1295909,78217,772771,43892,205542,373878
42,43.1,Demolição e preparação do terreno,2243615,2003760,338810,17956,356753,3059,58529,81872
43,43.11,Demolição e preparação de canteiros de obras,299873,238274,61439,458,31159,528,4397,16639
44,43.12,Perfurações e sondagens,303826,248762,53666,852,30731,716,9478,8679
45,43.13,Obras de terraplenagem,1565307,1478767,220958,16646,279025,1722,43956,53726
46,43.19,Serviços de preparação do terreno não especificados anteriormente,74609,37957,2747,-,15838,93,698,2828
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",6571288,2990914,452454,15062,136762,20248,54692,153007
48,43.21,Instalações elétricas,3194267,1232896,239264,11052,61544,13908,16671,81688
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",1633969,591937,60431,3022,26951,2499,13313,38461
50,43.29,Obras de instalações em construções não especificadas anteriormente,1743052,1166081,152759,988,48267,3841,24708,32858
51,43.3,Obras de acabamento,1755566,384421,60122,7997,15105,3110,8466,25658
52,43.30,Obras de acabamento,1755566,384421,60122,7997,15105,3110,8466,25658
53,43.9,Outros serviços especializados para construção,5482602,2818167,444523,37202,264151,17475,83855,113341
54,43.91,Obras de fundações,980014,721950,124076,14754,96539,3947,44331,28156
55,43.99,Serviços especializados para construção não especificados anteriormente,4502588,2096217,320447,22448,167612,13528,39524,85185
