,"Códigos
da 
CNAE
2.0","Divisões, grupos
e 
classes de atividades","Custos e despesas Outros custos e despesas Prêmios
de
seguros 1 000 R$","Custos e despesas Outros custos e despesas Variações
monetárias
passivas 1 000 R$","Custos e despesas Outros custos e despesas Despesas
financeiras 1 000 R$","Custos e despesas Outros custos e despesas Custos da
aquisição
de
imóveis
para
revenda 1 000 R$","Custos e despesas Outros custos e despesas Resultados
negativos de
participações
societárias
e em sociedade
em conta de
participação 1 000 R$","Custos e despesas Outros custos e despesas Comissões
pagas a
terceiros 1 000 R$","Custos e despesas Outros custos e despesas Serviços
prestados
por terceiros
(3) 1 000 R$","Custos e despesas Outros custos e despesas Demais
custos e
despesas
operacionais 1 000 R$","Custos e despesas Outros custos e despesas Outras
despesas
1 000 R$"
4,,Total das empresas,782832,6530514,11938933,1261199,3112993,1157149,12264275,13179865,6286696
5,,Empresas de 1 a 4 pessoas ocupadas,17661,70367,225831,200956,1002,90608,493421,732400,205371
6,41,Construção de edifícios,6606,68655,162917,81335,4,73991,230390,270565,20067
7,42,Obras de infraestrutura,1771,35,15426,118886,50,549,40805,48950,1853
8,43,Serviços especializados para construção,9284,1677,47488,735,948,16068,222226,412885,183451
9,,Empresas de 5 a 29 pessoas ocupadas,80067,65185,1577127,224436,14801,215546,1345887,2209643,574036
10,41,Construção de edifícios,34502,53820,1213436,204495,10090,201110,606643,1198865,468035
11,41.1,Incorporação e empreendimentos imobiliários,5418,4433,717990,32581,-,39076,74063,101528,81477
12,41.2,Construção de edifícios,29084,49387,495446,171914,10090,162034,532580,1097337,386558
13,42,Obras de infraestrutura,14857,8173,135602,19217,543,4179,134604,216181,42627
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",8306,7781,45123,7181,424,1141,54368,88354,19391
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",3795,51,20941,12036,119,2358,40745,69188,17103
16,42.9,Construção de outras obras de infraestrutura,2756,341,69538,-,-,680,39491,58639,6133
17,43,Serviços especializados para construção,30708,3192,228089,724,4168,10257,604640,794597,63374
18,43.1,Demolição e preparação do terreno,9600,1007,57099,701,3404,1659,71318,108581,9370
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",10908,1087,81035,6,60,1647,270343,281957,40271
20,43.3,Obras de acabamento,2843,54,19097,-,704,550,98586,259461,2997
21,43.9,Outros serviços especializados para construções,7357,1044,70858,17,-,6401,164393,144598,10736
22,,Empresas com 30 ou mais pessoas ocupadas,685104,6394962,10135975,835807,3097190,850995,10424967,10237822,5507289
23,41,Construção de edifícios,193252,491803,4587185,745625,1518596,756404,4036422,3641322,1235694
24,41.1,Incorporação e empreendimentos imobiliários,4760,29999,486511,105732,16829,106723,246075,257043,50190
25,41.10,Incorporação e empreendimentos imobiliários,4760,29999,486511,105732,16829,106723,246075,257043,50190
26,41.2,Construção de edifícios,188492,461804,4100674,639893,1501767,649681,3790347,3384279,1185504
27,41.20,Construção de edifícios,188492,461804,4100674,639893,1501767,649681,3790347,3384279,1185504
28,42,Obras de infraestrutura,384800,5630023,4456030,32036,1351065,36356,4899893,4998325,3786126
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",201572,759204,2130839,22406,935463,12722,2374611,2422475,1805122
30,42.11,Construção de rodovias e ferrovias,150694,244918,1540820,13115,532953,4701,1668810,1936584,1326421
31,42.12,Construção de obras de arte especiais,38209,509319,289382,4286,401008,1486,612989,274365,426685
32,42.13,"Obras de urbanização - ruas, praças e calçadas",12669,4967,300637,5005,1502,6535,92812,211526,52016
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",130126,4536221,1335778,4982,321957,12542,1572760,1473809,1769463
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,104396,4517919,798767,1087,265026,11426,1417926,1047786,1671013
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",16968,12549,496074,3870,51845,1104,126854,283034,92618
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",8762,5753,40937,25,5086,12,27980,142989,5832
37,42.9,Construção de outras obras de infraestrutura,53102,334598,989413,4648,93645,11092,952522,1102041,211541
38,42.91,"Obras portuárias, marítimas e fluviais",8587,123068,137675,63,17938,212,102913,70117,77462
39,42.92,Montagem de instalações industriais e de estruturas metálicas,21538,161290,535628,702,24071,1038,383820,605805,37819
40,42.99,Obras de engenharia civil não especificadas anteriormente,22977,50240,316110,3883,51636,9842,465789,426119,96260
41,43,Serviços especializados para construção,107052,273136,1092760,58146,227529,58235,1488652,1598175,485469
42,43.1,Demolição e preparação do terreno,26407,28600,342471,14082,1528,2510,272930,297510,160111
43,43.11,Demolição e preparação de canteiros de obras,2585,358,34485,10482,993,20,52227,20250,2198
44,43.12,Perfurações e sondagens,4345,25000,46074,211,-,417,28575,31641,8359
45,43.13,Obras de terraplenagem,18361,3239,257129,3389,535,2035,189461,238681,149345
46,43.19,Serviços de preparação do terreno não especificados anteriormente,1116,3,4783,-,-,38,2667,6938,209
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",37478,99074,331370,22000,174630,37121,661495,670005,109379
48,43.21,Instalações elétricas,23582,7303,111144,17410,11917,3739,340815,252578,39142
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",7800,1222,71926,682,2972,1545,170298,164836,25549
50,43.29,Obras de instalações em construções não especificadas anteriormente,6096,90549,148300,3908,159741,31837,150382,252591,44688
51,43.3,Obras de acabamento,5533,5418,63385,12,138,4490,77061,82665,24744
52,43.30,Obras de acabamento,5533,5418,63385,12,138,4490,77061,82665,24744
53,43.9,Outros serviços especializados para construção,37634,140044,355534,22052,51233,14114,477166,547995,191235
54,43.91,Obras de fundações,15708,8447,92836,1,6811,1906,105430,135296,43663
55,43.99,Serviços especializados para construção não especificados anteriormente,21926,131597,262698,22051,44422,12208,371736,412699,147572
