,"Códigos
da 
CNAE
2.0","Divisões, grupos 
e
classes de atividades","Receita bruta Incorporação de
imóveis,
construídos
por outras
empresas 1 000 R$","Receita bruta Serviços
técnicos de
escritório, de
campo e de
laboratório 1 000 R$","Receita bruta Venda
de materiais
de construção
e de demolição 1 000 R$","Receita bruta Revenda
de
imóveis 1 000 R$","Receita bruta Locação
de
mão de obra 1 000 R$","Custos dos terrenos De obras e/ou
serviços da
construção 1 000 R$","Custos dos terrenos De
incorporação
de imóveis
construídos
por terceiros 1 000 R$"
3,,Total das empresas,16409772,336418,2353529,1268395,346428,2346757,867128
4,,Empresas de 1 a 4 pessoas ocupadas,3195540,6207,148992,24775,5611,251015,157538
5,41,Construção de edifícios,3186673,1370,60535,17715,1444,139794,154928
6,42,Obras de infraestrutura,6762,794,31214,388,3186,86613,2055
7,43,Serviços especializados para construção,2105,4043,57243,6672,981,24608,555
8,,Empresas de 5 a 29 pessoas ocupadas,4883678,80509,224372,579590,72349,436823,468185
9,41,Construção de edifícios,4859125,32958,66793,564542,25220,357477,468183
10,41.1,Incorporação e empreendimentos imobiliários,4786667,5822,9737,242582,9089,11,459590
11,41.2,Construção de edifícios,72458,27136,57056,321960,16131,357466,8593
12,42,Obras de infraestrutura,3146,5881,48915,10072,17647,3773,-
13,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",2930,3627,12689,9592,15492,2750,-
14,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",152,2250,33484,480,950,666,-
15,42.9,Construção de outras obras de infraestrutura,64,4,2742,-,1205,357,-
16,43,Serviços especializados para construção,21407,41670,108664,4976,29482,75573,2
17,43.1,Demolição e preparação do terreno,5746,36883,1850,498,10537,10444,-
18,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",14164,3882,20332,-,17715,33,-
19,43.3,Obras de acabamento,17,408,48729,-,1029,63326,2
20,43.9,Outros serviços especializados para construções,1480,497,37753,4478,201,1770,-
21,,Empresas com 30 ou mais pessoas ocupadas,8330554,249702,1980165,664030,268468,1658919,241405
22,41,Construção de edifícios,8277930,71592,146025,505844,96830,1526332,235160
23,41.1,Incorporação e empreendimentos imobiliários,7965790,7687,1,61409,2,150,207196
24,41.10,Incorporação e empreendimentos imobiliários,7965790,7687,1,61409,2,150,207196
25,41.2,Construção de edifícios,312140,63905,146024,444435,96828,1526182,27964
26,41.20,Construção de edifícios,312140,63905,146024,444435,96828,1526182,27964
27,42,Obras de infraestrutura,38587,117247,1528536,98997,36575,44951,4440
28,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",20156,24814,417116,86149,19886,16362,4105
29,42.11,Construção de rodovias e ferrovias,7483,23099,248832,40476,17203,7136,2700
30,42.12,Construção de obras de arte especiais,9828,443,136664,2303,1150,594,973
31,42.13,"Obras de urbanização - ruas, praças e calçadas",2845,1272,31620,43370,1533,8632,432
32,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",15257,74475,976034,7773,3439,9397,335
33,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,3221,58225,951069,270,3265,3087,135
34,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",12036,6087,4414,7212,174,6310,200
35,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",-,10163,20551,291,-,-,-
36,42.9,Construção de outras obras de infraestrutura,3174,17958,135386,5075,13250,19192,-
37,42.91,"Obras portuárias, marítimas e fluviais",-,1289,334,279,-,415,-
38,42.92,Montagem de instalações industriais e de estruturas metálicas,25,7499,50891,352,1992,1006,-
39,42.99,Obras de engenharia civil não especificadas anteriormente,3149,9170,84161,4444,11258,17771,-
40,43,Serviços especializados para construção,14037,60863,305604,59189,135063,87636,1805
41,43.1,Demolição e preparação do terreno,660,1143,32649,13264,8537,53403,-
42,43.11,Demolição e preparação de canteiros de obras,74,902,1863,8736,2149,51588,-
43,43.12,Perfurações e sondagens,-,-,-,205,-,328,-
44,43.13,Obras de terraplenagem,586,241,15170,4323,6388,1330,-
45,43.19,Serviços de preparação do terreno não especificados anteriormente,-,-,15616,-,-,157,-
46,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",2803,29107,161994,5102,61428,4076,-
47,43.21,Instalações elétricas,2473,13369,105022,-,15576,3036,-
48,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",237,12189,39624,1078,41200,1006,-
49,43.29,Obras de instalações em construções não especificadas anteriormente,93,3549,17348,4024,4652,34,-
50,43.3,Obras de acabamento,129,1983,51734,12477,1383,204,-
51,43.30,Obras de acabamento,129,1983,51734,12477,1383,204,-
52,43.9,Outros serviços especializados para construção,10445,28630,59227,28346,63715,29953,1805
53,43.91,Obras de fundações,2067,130,27731,-,7154,2114,-
54,43.99,Serviços especializados para construção não especificados anteriormente,8378,28500,31496,28346,56561,27839,1805
