,"Códigos
da 
CNAE
2.0","Divisões, grupos
e 
classes de atividades","Número
de
empresas
ativas","Ativo imobilizado Aquisições de terceiros e produção própria Número
de
informantes",Ativo imobilizado Aquisições de terceiros e produção própria Total 1 000 R$,"Ativo imobilizado Aquisições de terceiros e produção própria Terrenos
e
edificações 1 000 R$","Ativo imobilizado Aquisições de terceiros e produção própria Máquinas
e
equipamentos 1 000 R$","Ativo imobilizado Aquisições de terceiros e produção própria Meios
de
transporte 1 000 R$","Ativo imobilizado Aquisições de terceiros e produção própria Outras
aquisições 1 000 R$"
5,,Total das empresas,131487,22749,10374797,3098397,4088760,2154839,1032794
6,,Empresas de 1 a 4 pessoas ocupadas,67059,8574,1439376,503254,400812,466630,68680
7,41,Construção de edifícios,23758,2875,732766,290096,51884,373720,17066
8,42,Obras de infraestrutura,4625,388,85900,64746,9740,8469,2945
9,43,Serviços especializados para construção,38676,5311,620710,148412,339188,84441,48669
10,,Empresas de 5 a 29 pessoas ocupadas,51331,8898,1913409,851992,737047,269134,55233
11,41,Construção de edifícios,21371,4462,922265,737426,87837,75226,21776
12,41.1,Incorporação e empreendimentos imobiliários,1606,318,96802,91462,1478,1550,2312
13,41.2,Construção de edifícios,19765,4144,825463,645964,86359,73676,19464
14,42,Obras de infraestrutura,4619,1070,222374,48194,78522,90657,4999
15,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1506,358,128827,44226,55430,28210,960
16,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",1139,279,74645,2900,16426,53158,2160
17,42.9,Construção de outras obras de infraestrutura,1974,433,18902,1068,6666,9289,1879
18,43,Serviços especializados para construção,25341,3366,768770,66372,570688,103251,28458
19,43.1,Demolição e preparação do terreno,2707,652,536060,14093,478550,39635,3782
20,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",8205,1017,95610,14522,41336,19726,20026
21,43.3,Obras de acabamento,6855,397,9692,64,1566,7403,658
22,43.9,Outros serviços especializados para construções,7574,1300,127408,37693,49236,36487,3992
23,,Empresas com 30 ou mais pessoas ocupadas,13097,5277,7022012,1743151,2950901,1419075,908881
24,41,Construção de edifícios,6623,2587,2247420,1246202,464320,294097,242800
25,41.1,Incorporação e empreendimentos imobiliários,294,93,221160,179558,16499,8712,16391
26,41.10,Incorporação e empreendimentos imobiliários,294,93,221160,179558,16499,8712,16391
27,41.2,Construção de edifícios,6329,2494,2026260,1066644,447821,285385,226409
28,41.20,Construção de edifícios,6329,2494,2026260,1066644,447821,285385,226409
29,42,Obras de infraestrutura,2576,1356,3772918,353414,1994174,857580,567751
30,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1034,565,2428736,171641,1487431,519185,250479
31,42.11,Construção de rodovias e ferrovias,675,382,1025191,84033,608158,211200,121800
32,42.12,Construção de obras de arte especiais,61,36,1211422,61122,758731,274088,117481
33,42.13,"Obras de urbanização - ruas, praças e calçadas",298,147,192123,26486,120542,33897,11198
34,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",745,418,645231,92724,254396,197447,100665
35,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,480,273,473479,65857,161675,156936,89012
36,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",239,128,146500,24895,82645,29828,9133
37,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",26,17,25252,1972,10076,10683,2520
38,42.9,Construção de outras obras de infraestrutura,797,373,698951,89049,252347,140948,216607
39,42.91,"Obras portuárias, marítimas e fluviais",34,19,23570,303,6852,12912,3503
40,42.92,Montagem de instalações industriais e de estruturas metálicas,262,137,414307,46417,116958,81834,169098
41,42.99,Obras de engenharia civil não especificadas anteriormente,501,217,261074,42329,128537,46202,44006
42,43,Serviços especializados para construção,3898,1334,1001674,143535,492407,267398,98330
43,43.1,Demolição e preparação do terreno,499,238,342200,42300,202160,80381,17358
44,43.11,Demolição e preparação de canteiros de obras,49,23,26596,3468,16538,3478,3111
45,43.12,Perfurações e sondagens,57,28,22507,1334,14740,4436,1998
46,43.13,Obras de terraplenagem,373,177,275286,35821,168221,59119,12124
47,43.19,Serviços de preparação do terreno não especificados anteriormente,20,10,17811,1677,2661,13348,125
48,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1227,457,229450,33661,66842,88075,40870
49,43.21,Instalações elétricas,677,240,128841,19750,30995,63167,14929
50,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",382,151,46687,8449,12376,11643,14218
51,43.29,Obras de instalações em construções não especificadas anteriormente,168,66,53922,5462,23471,13265,11723
52,43.3,Obras de acabamento,815,171,32230,6883,10839,7575,6932
53,43.30,Obras de acabamento,815,171,32230,6883,10839,7575,6932
54,43.9,Outros serviços especializados para construção,1357,468,397794,60691,212566,91367,33170
55,43.91,Obras de fundações,225,87,130053,27108,80296,10528,12121
56,43.99,Serviços especializados para construção não especificados anteriormente,1132,381,267741,33583,132270,80839,21049
