,"Códigos
da 
CNAE
2.0","Divisões, grupos
e 
classes de atividades","Ativo imobilizado Melhorias Número
de
informantes",Ativo imobilizado Melhorias Total 1 000 R$,"Ativo imobilizado Melhorias Terrenos
e
edificações 1 000 R$","Ativo imobilizado Melhorias Máquinas
e
equipamentos 1 000 R$","Ativo imobilizado Melhorias Meios
de
transporte 1 000 R$","Ativo imobilizado Melhorias Outras
aquisições 1 000 R$"
4,,Total das empresas,1052,271076,132040,39803,48625,50611
5,,Empresas de 1 a 4 pessoas ocupadas,440,8291,4270,638,2767,615
6,41,Construção de edifícios,80,4623,4159,85,379,-
7,42,Obras de infraestrutura,44,120,-,31,23,65
8,43,Serviços especializados para construção,316,3548,111,522,2365,550
9,,Empresas de 5 a 29 pessoas ocupadas,315,47145,19795,10530,2728,14094
10,41,Construção de edifícios,150,7169,4826,2029,274,41
11,41.1,Incorporação e empreendimentos imobiliários,33,4771,4771,-,-,-
12,41.2,Construção de edifícios,117,2398,55,2029,274,41
13,42,Obras de infraestrutura,34,721,328,172,189,32
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",25,515,269,82,140,24
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",2,42,4,36,2,-
16,42.9,Construção de outras obras de infraestrutura,7,164,55,54,47,8
17,43,Serviços especializados para construção,131,39255,14641,8329,2265,14021
18,43.1,Demolição e preparação do terreno,25,10301,47,8034,2149,71
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",31,15098,1077,33,111,13878
20,43.3,Obras de acabamento,-,-,-,-,-,-
21,43.9,Outros serviços especializados para construções,75,13856,13517,262,5,72
22,,Empresas com 30 ou mais pessoas ocupadas,297,215640,107975,28635,43130,35902
23,41,Construção de edifícios,134,77586,43719,3817,3883,26167
24,41.1,Incorporação e empreendimentos imobiliários,6,1845,1845,-,-,-
25,41.10,Incorporação e empreendimentos imobiliários,6,1845,1845,-,-,-
26,41.2,Construção de edifícios,128,75741,41874,3817,3883,26167
27,41.20,Construção de edifícios,128,75741,41874,3817,3883,26167
28,42,Obras de infraestrutura,87,98444,44762,14927,32737,6019
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",38,47757,9805,9754,23739,4460
30,42.11,Construção de rodovias e ferrovias,26,27508,6239,9716,10759,795
31,42.12,Construção de obras de arte especiais,2,3448,3448,-,-,-
32,42.13,"Obras de urbanização - ruas, praças e calçadas",10,16801,118,38,12980,3665
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",28,32258,19631,4129,7350,1148
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,16,27307,16327,2973,6913,1094
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",12,4951,3304,1156,437,54
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",-,-,-,-,-,-
37,42.9,Construção de outras obras de infraestrutura,21,18429,15326,1044,1648,411
38,42.91,"Obras portuárias, marítimas e fluviais",-,-,-,-,-,-
39,42.92,Montagem de instalações industriais e de estruturas metálicas,7,3589,3570,-,10,8
40,42.99,Obras de engenharia civil não especificadas anteriormente,14,14840,11756,1044,1638,403
41,43,Serviços especializados para construção,76,39610,19494,9891,6510,3716
42,43.1,Demolição e preparação do terreno,12,12272,3895,8293,-,84
43,43.11,Demolição e preparação de canteiros de obras,-,-,-,-,-,-
44,43.12,Perfurações e sondagens,4,7713,15,7634,-,64
45,43.13,Obras de terraplenagem,8,4559,3880,659,-,20
46,43.19,Serviços de preparação do terreno não especificados anteriormente,-,-,-,-,-,-
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",22,7175,1816,116,5161,82
48,43.21,Instalações elétricas,11,5754,450,115,5161,29
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",10,1219,1164,1,-,53
50,43.29,Obras de instalações em construções não especificadas anteriormente,1,202,202,-,-,-
51,43.3,Obras de acabamento,13,4915,360,243,1114,3198
52,43.30,Obras de acabamento,13,4915,360,243,1114,3198
53,43.9,Outros serviços especializados para construção,29,15248,13423,1239,235,352
54,43.91,Obras de fundações,6,434,412,-,-,22
55,43.99,Serviços especializados para construção não especificados anteriormente,23,14814,13011,1239,235,330
