,"Códigos
da 
CNAE
2.0","Divisões,  grupos 
e 
classes de atividades","Número
de
empresas ativas",Consumo de materiais de construção Total 1 000 R$,Consumo de materiais de construção Tipos selecionados  Total 1 000 R$,Consumo de materiais de construção Tipos selecionados  Asfalto 1 000 R$,Consumo de materiais de construção Tipos selecionados  Cimento 1 000 R$,Consumo de materiais de construção Tipos selecionados  Concreto 1 000 R$,Consumo de materiais de construção Tipos selecionados  Tijolos 1 000 R$,Consumo de materiais de construção Tipos selecionados  Vergalhões 1 000 R$
4,,Total das empresas,131487,67120239,17848440,2388099,4684421,4619417,2547665,3608833
5,,Empresas de 1 a 4 pessoas ocupadas,67059,3183258,732565,26456,290279,126801,155243,133786
6,41,Construção de edifícios,23758,2056409,638061,12034,261339,106822,140055,117811
7,42,Obras de infraestrutura,4625,197653,42945,13892,11418,5952,4932,6750
8,43,Serviços especializados para construção,38676,929196,51559,530,17522,14027,10256,9225
9,,Empresas de 5 a 29 pessoas ocupadas,51331,11256985,2958533,137699,906982,652733,697165,563952
10,41,Construção de edifícios,21371,7608447,2413912,36419,723029,550194,608746,495524
11,41.1,Incorporação e empreendimentos imobiliários,1606,1535,924,356,68,427,70,3
12,41.2,Construção de edifícios,19765,7606912,2412988,36063,722961,549767,608676,495521
13,42,Obras de infraestrutura,4619,1200883,350000,95889,111556,57603,41320,43631
14,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1506,541595,234856,90778,64776,31757,25933,21612
15,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",1139,293228,64217,4687,35511,12940,4610,6469
16,42.9,Construção de outras obras de infraestrutura,1974,366060,50927,424,11269,12906,10777,15550
17,43,Serviços especializados para construção,25341,2447655,194621,5391,72397,44936,47099,24797
18,43.1,Demolição e preparação do terreno,2707,251864,46599,4010,17627,3381,17940,3641
19,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",8205,685143,20789,209,6798,5525,4003,4254
20,43.3,Obras de acabamento,6855,377741,6434,10,2690,255,1248,2231
21,43.9,Outros serviços especializados para construções,7574,1132907,120799,1162,45282,35775,23908,14671
22,,Empresas com 30 ou mais pessoas ocupadas,13097,52679996,14157342,2223944,3487160,3839883,1695257,2911095
23,41,Construção de edifícios,6623,26325874,8115212,467081,2023463,2551998,1405772,1666897
24,41.1,Incorporação e empreendimentos imobiliários,294,3333,1940,77,712,603,302,245
25,41.10,Incorporação e empreendimentos imobiliários,294,3333,1940,77,712,603,302,245
26,41.2,Construção de edifícios,6329,26322541,8113272,467004,2022751,2551395,1405470,1666652
27,41.20,Construção de edifícios,6329,26322541,8113272,467004,2022751,2551395,1405470,1666652
28,42,Obras de infraestrutura,2576,20281507,5286307,1646386,1206376,1107581,203651,1122311
29,42.1,"Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais",1034,10246772,3488367,1394454,668850,641889,91730,691444
30,42.11,Construção de rodovias e ferrovias,675,7403676,2720388,1117812,530336,487889,55181,529171
31,42.12,Construção de obras de arte especiais,61,1813968,317855,46288,51156,85198,4237,130976
32,42.13,"Obras de urbanização - ruas, praças e calçadas",298,1029128,450124,230354,87358,68802,32312,31297
33,42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",745,6297745,992661,144776,320175,250050,49202,228456
34,42.21,Obras para geração e distribuição de energia elétrica e para telecomunicações,480,4539215,639562,72366,207589,165865,26049,167693
35,42.22,"Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas",239,1417393,260857,60800,72920,59839,19251,48046
36,42.23,"Construção de redes de transportes por dutos, exceto para água e esgoto",26,341137,92242,11610,39666,24346,3902,12717
37,42.9,Construção de outras obras de infraestrutura,797,3736990,805279,107156,217351,215642,62719,202411
38,42.91,"Obras portuárias, marítimas e fluviais",34,238559,125227,8206,19129,33180,1316,63395
39,42.92,Montagem de instalações industriais e de estruturas metálicas,262,1352951,83487,892,14275,19149,9046,40126
40,42.99,Obras de engenharia civil não especificadas anteriormente,501,2145480,596565,98058,183947,163313,52357,98890
41,43,Serviços especializados para construção,3898,6072615,755823,110477,257321,180304,85834,121887
42,43.1,Demolição e preparação do terreno,499,1243329,174332,65957,46356,38226,7999,15796
43,43.11,Demolição e preparação de canteiros de obras,49,35400,3659,178,1051,676,1153,601
44,43.12,Perfurações e sondagens,57,88717,14761,1204,3489,6448,943,2678
45,43.13,Obras de terraplenagem,373,1088891,152548,64049,41035,29873,5666,11926
46,43.19,Serviços de preparação do terreno não especificados anteriormente,20,30321,3364,526,781,1229,237,591
47,43.2,"Instalações elétricas, hidráulicas e outras instalações em construções",1227,2132556,114720,5563,32789,36354,24395,15618
48,43.21,Instalações elétricas,677,978460,63026,3835,19275,21927,11137,6851
49,43.22,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",382,565864,31953,756,11131,1616,11433,7017
50,43.29,Obras de instalações em construções não especificadas anteriormente,168,588232,19741,972,2383,12811,1825,1750
51,43.3,Obras de acabamento,815,426182,35278,11730,8424,5081,3648,6394
52,43.30,Obras de acabamento,815,426182,35278,11730,8424,5081,3648,6394
53,43.9,Outros serviços especializados para construção,1357,2270548,431493,27227,169752,100643,49792,84079
54,43.91,Obras de fundações,225,339649,73010,4477,10469,17003,12350,28711
55,43.99,Serviços especializados para construção não especificados anteriormente,1132,1930899,358483,22750,159283,83640,37442,55368
